period,scope,scope_value,n_rows,mean_bull_gap_ppg,mean_residual,mean_absolute_error,plus3_rate,plus5_rate,spearman_gap_residual,spearman_gap_absolute_error
full_2017_2025,all,all,3010,0.6416684150783634,-0.09568698697585012,2.3297734118457836,0.15016611295681062,0.05913621262458472,0.05176059148782554,0.050920760613473795
full_2017_2025,position,QB,306,0.9080008267867933,0.05461761977466321,3.1504253369108492,0.22875816993464052,0.11437908496732026,0.16173209071101077,0.0166878691456291
full_2017_2025,position,RB,837,0.6920186723497077,0.09554597811731319,2.6605475059843737,0.1935483870967742,0.0884109916367981,-0.00397831827895879,0.014242841531722015
full_2017_2025,position,TE,571,0.47709035548770296,-0.1857055908907416,1.6495659045573612,0.08231173380035026,0.021015761821366025,-0.015296469838289854,0.09885523429466342
full_2017_2025,position,WR,1296,0.6187773569822,-0.21501922356013398,2.2220736285107368,0.13348765432098766,0.04398148148148148,0.08467730729976548,-0.008658049645493876
full_2017_2025,quartile,Q1,794,0.26369804732606256,-0.1275706566584065,2.538201590354813,0.16498740554156172,0.06926952141057935,-0.024243033371887917,0.13753996506310273
full_2017_2025,quartile,Q2,846,0.5314590986402694,0.04799163076492496,2.396567426565084,0.17257683215130024,0.06264775413711583,0.10380316555835756,0.13236697405836229
full_2017_2025,quartile,Q3,731,0.7410911750959429,-0.2197796364783891,2.262058529318283,0.1354309165526676,0.0533515731874145,0.12844726022789169,0.05426551153052262
full_2017_2025,quartile,Q4,639,1.143495513871953,-0.1043329182659753,2.0598201550991573,0.1189358372456964,0.048513302034428794,0.05677637533665945,0.18884682178756973
recent_2023_2025,all,all,1162,0.6726296778163708,-0.21851130708012728,2.278858874590071,0.14027538726333907,0.055077452667814115,0.0249320508612984,0.08022843163131547
recent_2023_2025,position,QB,121,1.0059313355282002,-0.07922248500675592,2.963738891909715,0.21487603305785125,0.09917355371900827,0.1457458338978458,-0.013724427584338162
recent_2023_2025,position,RB,299,0.7440371144609623,-0.004386611304378465,2.7178620855869617,0.20066889632107024,0.09364548494983277,0.0623846827231712,0.0771461920046688
recent_2023_2025,position,TE,262,0.4906876322347141,-0.15196924775170112,1.5501769591582315,0.07251908396946564,0.019083969465648856,-0.0021655355238237267,0.13920913748565014
recent_2023_2025,position,WR,480,0.643439035738308,-0.4233264134381992,2.2304884988804763,0.12083333333333333,0.03958333333333333,-0.0148570527339814,-0.031055419919775597
recent_2023_2025,quartile,Q1,306,0.3518141299048025,-0.2506912400157945,2.60076945935595,0.16339869281045752,0.06862745098039216,-0.018384907016387998,0.12048872713809813
recent_2023_2025,quartile,Q2,343,0.5871016964769334,0.08589013506450033,2.3491248181182645,0.1836734693877551,0.0641399416909621,0.08575514486263117,0.1564257106934398
recent_2023_2025,quartile,Q3,275,0.7366626088138889,-0.47518929948806915,2.2087791792459592,0.11272727272727273,0.04727272727272727,0.048934537376301906,0.14784916765240472
recent_2023_2025,quartile,Q4,238,1.134380094774562,-0.3192515897066362,1.8446826504350358,0.07983193277310924,0.03361344537815126,0.011198399173238493,0.21788254521129463
