scope,n,mean_pool_overlap_share,median_pool_overlap_share,mean_ypr_profile_distance_delta,mean_td_rate_profile_distance_delta,mean_effective_sample_size_delta
all,1620,0.9155092592592593,0.925,-0.027727081871156193,-0.021327511489750605,0.5228254636623973
wr_te,864,0.8855034722222223,0.8875,-0.039575384360187156,-0.030913647440263894,0.4496366591036189
wr,648,0.8742091049382715,0.875,-0.04456228114770817,-0.032849882849685194,0.33438985115879843
te,216,0.9193865740740741,0.925,-0.02461469399762411,-0.02510494121199997,0.7953770829380802
rb,540,0.9297222222222222,0.9375,-0.019860630637169134,-0.014520698564829593,0.8490577364214019
