scope,period,method,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,ypr_weight,td_rate_weight,positions,primary,recency_half_life,reception_shrinkage,total_match_weight,qb_feature_count,rb_feature_count,wr_feature_count,te_feature_count
all,all_2017_2025,both_w025_wrte,1620.0,1.9127669045413496,2.690539592477392,-0.07375737418003206,0.8148148148148148,0.5105032955263428,0.026395754811041283,20.610592095956225,29.675267114592952,-0.15838819443327543,0.8104938271604938,0.5019125359169134,0.01734725741699522,0.18888888888888888,0.18266434136389922,0.15316816122380175,0.5519543180032033,0.07469135802469136,0.08151422731585593,0.06941495421883895,0.5707606724041924,0.11419753086419752,0.12156515526369485,0.09762010516880627,0.6735361145117242,0.03209876543209877,0.03130455928607643,0.02953340437471946,0.7126422684458399,0.5480379592167542,-0.023903182743511518,-0.7455767440954058,61.36862753183,0.050000000000000024,1.5161758759250534,2.2844122115423797,0.13484937418553794,0.9111111111111111,0.12777777777777777,0.12128134717681403,0.10832867481197991,0.5976389017097962,5.663236281511638,0.36036717750234654,0.17108946127819621,0.25,0.25,"WR,TE",0,12.0,10.0,59.25,13,16,15,15
all,all_2017_2025,both_w050_rbwrte,1620.0,1.9124581840656725,2.6905915695095497,-0.07373167310277327,0.8166666666666667,0.5106893811432116,0.025670177201325806,20.610720787799217,29.667812871731066,-0.1450291602228126,0.8179012345679012,0.501873219585457,0.019016435774773854,0.18888888888888888,0.18290222152026575,0.15315973737762764,0.5508774285970096,0.07469135802469136,0.08223526052740793,0.06943478927731582,0.5711410913060497,0.11419753086419752,0.121934757932527,0.09764661807832399,0.6732460683680196,0.03209876543209877,0.03168290657250816,0.029330268013267012,0.7282979297488226,0.5530437947680388,-0.01025136859200201,-0.7453830111860205,61.610667578886535,0.050000000000000024,1.517270665623671,2.2866827513604147,0.13076831925851254,0.9092592592592592,0.12777777777777777,0.12128367643602707,0.10823838876182089,0.5991774105869924,5.6395341343939975,0.3628153146756753,0.16935321800101652,0.5,0.5,"RB,WR,TE",0,12.0,10.0,61.25,13,18,15,15
all,all_2017_2025,both_w050_wrte,1620.0,1.9124712989879282,2.6905394154894657,-0.07370826445724506,0.8154320987654321,0.5106642649650259,0.02681589696196207,20.606716567842216,29.667023337616957,-0.14834547515243562,0.8154320987654321,0.5017637541234372,0.01916557915120426,0.18888888888888888,0.18251148384132465,0.1532817037409047,0.5488305926124889,0.07469135802469136,0.081737818654981,0.0694912321811704,0.5687593381813771,0.11419753086419752,0.12155763075324658,0.09777672166781151,0.6710311705433657,0.03209876543209877,0.03162953256670623,0.029451444115721228,0.7212764913657771,0.5498610358370108,-0.017874069030238495,-0.7448868995080664,61.32764833341274,0.050000000000000024,1.5163375689371268,2.2845370199768897,0.13199146169409648,0.9092592592592592,0.12777777777777777,0.12115282131585035,0.1082625343148728,0.599734692691399,5.655644549143188,0.36116241531207627,0.17058685376875787,0.5,0.5,"WR,TE",1,12.0,10.0,60.25,13,16,15,15
all,all_2017_2025,both_w100_wrte,1620.0,1.9127585868194643,2.6905696340280683,-0.07358257415662389,0.8148148148148148,0.5110789982365058,0.0228907788601459,20.60724622881682,29.665515366306085,-0.13856092099888176,0.8117283950617284,0.5020039890522113,0.017029010547573997,0.18888888888888888,0.18288967301893663,0.15368850492907435,0.5404293630186727,0.07469135802469136,0.0817458101859798,0.06955520140819896,0.5643486842467982,0.11419753086419752,0.12185277952343036,0.09791339454481829,0.6682060457670214,0.03209876543209877,0.0317622757883456,0.029407618429998287,0.7122865973312402,0.5477192240926226,-0.03139271124550801,-0.7504744263446134,60.84660649112148,0.050000000000000024,1.5185518963781337,2.2870029399717837,0.13028309519022957,0.9067901234567901,0.12777777777777777,0.12112231742420132,0.10833042438617148,0.5975602668116284,5.6505700649281225,0.3620081075882144,0.17037648127896374,1.0,1.0,"WR,TE",0,12.0,10.0,62.25,13,16,15,15
all,all_2017_2025,production,1620.0,1.9130747337398202,2.6905233397557193,-0.07380498980529963,0.8154320987654321,0.5107108286865966,0.028923712543083124,20.6142475132792,29.673370913277868,-0.18933817641317613,0.8123456790123457,0.501714609484731,0.015819274577727915,0.18888888888888888,0.18269115457436982,0.15325987486057108,0.5509520398722655,0.07469135802469136,0.08127107632700652,0.0694128168902955,0.572034248727802,0.11419753086419752,0.12127678199059766,0.09752248408617205,0.6762708352952256,0.03209876543209877,0.030892295450320472,0.02957138630958185,0.7163216248037677,0.5492020816491305,-0.021333688631610934,-0.7447879070844888,61.08784211522414,0.050000000000000024,1.5158156297030325,2.285608207008276,0.13444883041971661,0.9092592592592592,0.12777777777777777,0.12160055538447129,0.10820026225604157,0.600175731902862,5.676644204785133,0.3591332807495283,0.17222334178197166,0.0,0.0,,0,12.0,10.0,58.25,13,16,13,13
all,all_2017_2025,tdrate_w050_wrte,1620.0,1.9129010859507565,2.690487999168579,-0.07373479435335539,0.8160493827160494,0.5103990172481151,0.026986464526852827,20.614373283634336,29.676416705442453,-0.16454259114890812,0.8141975308641975,0.5015542947745993,0.0168713746533789,0.18888888888888888,0.1825737906501442,0.15312021117529567,0.5532724505327246,0.07469135802469136,0.081304989535039,0.06943095145464813,0.5718192293484913,0.11419753086419752,0.12150980400903226,0.0975770148156305,0.6749938788963179,0.03209876543209877,0.03120051142782361,0.02952583440611564,0.7163952119309263,0.548831384548203,-0.019101945217143396,-0.7492862126899544,61.254440315477595,0.050000000000000024,1.515904998146044,2.285031922227841,0.13217063011912455,0.908641975308642,0.12777777777777777,0.12165971019205117,0.1082050911019902,0.6007672030934286,5.670161570980862,0.35983958232759194,0.17165819819776024,0.0,0.5,"WR,TE",0,12.0,10.0,59.25,13,16,14,14
all,all_2017_2025,ypr_w050_wrte,1620.0,1.9132435796539529,2.6905242035801176,-0.07374816139141448,0.8197530864197531,0.5105461205104566,0.02660405122931586,20.611898865250367,29.673869068516233,-0.15644452300918496,0.812962962962963,0.5018383153831297,0.019082831163531766,0.18888888888888888,0.18282257107246383,0.1533186039483539,0.5475472786780872,0.07469135802469136,0.08158945892915556,0.06947267228417098,0.5688089580381411,0.11419753086419752,0.1215574997957058,0.09761316352033249,0.6739655334777286,0.03209876543209877,0.03132389871737514,0.02955857740413012,0.7092572605965463,0.5491895113640244,-0.02167825852699989,-0.7423924158350317,61.21309703936357,0.050000000000000024,1.5160308942105558,2.282876818940646,0.13638807364395863,0.9067901234567901,0.12777777777777777,0.12084190270457297,0.10835195560567626,0.5970884574226215,5.659627596160302,0.36067454254491005,0.17086092327307062,0.5,0.0,"WR,TE",0,12.0,10.0,59.25,13,16,14,14
all,development_2017_2022,both_w025_wrte,1080.0,1.8755652041834747,2.619322824368722,-0.1576759365276614,0.8333333333333334,0.5191706829046342,0.04034535676679252,20.450489801154717,29.18086954099863,-0.37850294333631346,0.8185185185185185,0.5072910858610368,0.036343850221003726,0.18333333333333332,0.18409877522561402,0.14870462263666087,0.5669392336059003,0.075,0.0847238967431263,0.06972477260847591,0.5657138620101583,0.11574074074074074,0.12382662355220572,0.09736979615068135,0.7001382198952879,0.028703703703703703,0.029989957832224322,0.0268115027939673,0.7029890218026384,0.5562182019705912,-0.023514261510093122,-0.7523857000475145,61.007737257151085,0.05000000000000002,1.5114988250976777,2.2572537679746816,0.19462630755084082,0.9120370370370371,0.1287037037037037,0.1208702774839207,0.10955662576974455,0.5992706366256623,5.127670396971062,0.3903534710986563,0.11915293746838587,0.25,0.25,"WR,TE",0,12.0,10.0,59.25,13,16,15,15
all,development_2017_2022,both_w050_rbwrte,1080.0,1.8748276606820207,2.6193731105921176,-0.15762895632504076,0.8361111111111111,0.5197166575767094,0.043767287098836316,20.447611509267922,29.166301513438192,-0.3733336864545613,0.8287037037037037,0.5074798683353434,0.03625376260577656,0.18333333333333332,0.18404628293458983,0.14856081434099727,0.568622735289402,0.075,0.08543380967776165,0.06970436992117823,0.5664924183442702,0.11574074074074074,0.12401956039681163,0.09724758217671378,0.7016712041884817,0.028703703703703703,0.030542186167388588,0.02660444298541062,0.7220701743596052,0.5634348316011489,-0.00313272826117916,-0.7525031660714612,61.27104290054427,0.05000000000000002,1.5132889723793452,2.260339845445899,0.1873310265786184,0.9101851851851852,0.1287037037037037,0.12102666114064317,0.10942207187624513,0.6016177493711725,5.102507144719894,0.39358023528927927,0.1177586860247465,0.5,0.5,"RB,WR,TE",0,12.0,10.0,61.25,13,18,15,15
all,development_2017_2022,both_w050_wrte,1080.0,1.8750553262810539,2.6193276404250576,-0.15761957765296764,0.8324074074074074,0.5195749287054492,0.04235388823929853,20.44378166791048,29.171389621571034,-0.364871960413848,0.825925925925926,0.50724245898132,0.03597460293686272,0.18333333333333332,0.18391237779872313,0.14867146063661404,0.5675633889919605,0.075,0.0849104350317832,0.06984576873532573,0.5617345740802531,0.11574074074074074,0.12372736137627095,0.09746871561926589,0.6987979057591623,0.028703703703703703,0.030399888909649092,0.02671979542087402,0.7120760170976967,0.5592392272468631,-0.01180473691535515,-0.7512488817399259,60.975644957025025,0.05000000000000002,1.5117380296540501,2.2573775936016722,0.19080814799610354,0.9101851851851852,0.1287037037037037,0.12092522660592232,0.10942250279873031,0.603269138143258,5.115713903542383,0.39179672775383895,0.11850142400299284,0.5,0.5,"WR,TE",1,12.0,10.0,60.25,13,16,15,15
