"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"363","Trey Benson","RB","ARZ","14","27.2","10","2.72","15","61","182.2","0","0","0","0.0","0","14","58","0.3","13","11","73","0.2"
"364","Quinn Ewers","QB","MIA","6","27.0","2","13.52","14","40","999.0","61","40","437","2.4","2","5","18","0.1","0","0","0","0.0"
"365","Kenny Pickett","QB","CAR","5","27.0","2","13.49","14","85","999.0","62","40","402","2.4","2","6","26","0.1","0","0","0","0.0"
"366","Erick All","TE","CIN","6","26.9","8","3.36","9","42","999.0","0","0","0","0.0","0","0","0","0.0","13","10","114","0.9"
"367","Jimmy Horn Jr.","WR","CAR","5","26.7","14","1.91","17","112","999.0","0","0","0","0.0","0","6","38","0.0","14","9","100","0.6"
"368","Dont'e Thornton Jr.","WR","LV","13","26.4","15","1.76","17","108","999.0","0","0","0","0.0","0","0","0","0.0","16","10","125","0.7"
"369","Ty Simpson","QB","LA","11","26.4","2","13.21","14","33","241.8","60","37","398","2.3","2","4","27","0.1","0","0","0","0.0"
"370","Josh Whyle","TE","GB","11","26.1","15","1.74","9","74","999.0","0","0","0","0.0","0","0","0","0.0","16","12","93","0.8"
"371","Mitchell Tinsley","WR","CIN","6","25.9","15","1.72","18","214","999.0","0","0","0","0.0","0","0","0","0.0","15","10","111","0.9"
"372","Will Howard","QB","PIT","9","25.7","2","12.85","16","120","999.0","60","37","394","2.2","2","6","27","0.1","0","0","0","0.0"
"373","Sam Roush","TE","CHI","10","25.2","15","1.68","9","167","999.0","0","0","0","0.0","0","0","0","0.0","16","12","91","0.8"
"374","Cedric Tillman","WR","CLV","11","25.0","13","1.93","18","208","999.0","0","0","0","0.0","0","0","0","0.0","16","10","118","0.6"
"375","Marquise Brown","WR","PHI","10","24.8","14","1.77","18","246","999.0","0","0","0","0.0","0","0","0","0.0","16","10","109","0.6"
"376","Kyle Allen","QB","BUF","7","24.2","2","12.09","16","64","999.0","62","38","388","2.2","2","4","13","0.1","0","0","0","0.0"
"377","Eli Heidenreich","RB","PIT","9","24.2","15","1.61","15","205","999.0","0","0","0","0.0","0","18","75","0.4","9","8","57","0.2"
"378","Tommy DeVito","QB","NE","11","24.1","2","12.04","16","43","999.0","52","33","333","1.6","1","9","43","0.3","0","0","0","0.0"
"379","Jaylin Lane","WR","WAS","7","23.7","15","1.58","18","151","999.0","0","0","0","0.0","0","2","11","0.0","13","8","108","0.6"
"380","Tyler Huntley","QB","BLT","13","23.3","2","11.66","16","57","999.0","45","29","294","1.3","1","11","59","0.3","0","0","0","0.0"
"381","Tyler Conklin","TE","DET","6","23.0","15","1.53","9","111","999.0","0","0","0","0.0","0","0","0","0.0","13","10","102","0.5"
"382","Kendre Miller","RB","NO","8","22.9","10","2.29","15","70","224.8","0","0","0","0.0","0","25","102","0.5","5","4","43","0.2"
"383","Hunter Luepke","RB","DAL","14","22.2","15","1.48","15","","2110.0","0","0","0","0.0","0","13","53","0.3","9","7","60","0.3"
"384","Brady Cook","QB","NYJ","13","21.8","2","10.88","16","109","999.0","63","38","386","1.7","2","5","19","0.1","0","0","0","0.0"
"385","Devontez Walker","WR","BLT","13","21.7","15","1.45","18","190","999.0","0","0","0","0.0","0","0","0","0.0","11","7","107","0.6"
"386","Luke McCaffrey","WR","WAS","7","21.3","15","1.42","18","194","999.0","0","0","0","0.0","0","0","0","0.0","13","9","94","0.5"
"387","Durham Smythe","TE","BLT","13","20.5","15","1.37","9","110","999.0","0","0","0","0.0","0","0","0","0.0","10","8","90","0.6"
"388","Darius Cooper","WR","PHI","10","20.4","15","1.36","18","141","999.0","0","0","0","0.0","0","0","0","0.0","14","9","78","0.6"
"389","CJ Daniels","WR","LA","11","20.1","15","1.34","18","335","999.0","0","0","0","0.0","0","0","0","0.0","12","8","91","0.6"
"390","Brevyn Spann-Ford","TE","DAL","14","20.1","15","1.34","9","41","999.0","0","0","0","0.0","0","0","0","0.0","11","8","72","0.8"
"391","Mitchell Evans","TE","CAR","5","20.0","15","1.33","9","49","999.0","0","0","0","0.0","0","0","0","0.0","11","8","87","0.5"
"392","Jackson Hawes","TE","BUF","7","20.0","14","1.43","9","172","999.0","0","0","0","0.0","0","0","0","0.0","10","8","79","0.8"
"393","Jarquez Hunter","RB","LA","11","20.0","10","2.00","15","74","240.6","0","0","0","0.0","0","21","94","0.7","4","3","27","0.1"
"394","Raheim Sanders","RB","CLV","11","19.2","10","1.92","16","181","999.0","0","0","0","0.0","0","24","93","0.6","4","3","27","0.1"
"395","Van Jefferson","WR","WAS","7","19.0","15","1.27","18","220","999.0","0","0","0","0.0","0","0","0","0.0","12","7","88","0.5"
"396","Jerome Ford","RB","WAS","7","19.0","12","1.58","16","149","999.0","0","0","0","0.0","0","14","57","0.2","7","6","49","0.2"
"397","Tai Felton","WR","MIN","6","18.7","15","1.25","18","113","999.0","0","0","0","0.0","0","0","0","0.0","10","7","88","0.6"
"398","Ben Sims","TE","MIA","6","18.7","15","1.24","9","67","999.0","0","0","0","0.0","0","0","0","0.0","11","8","74","0.5"
"399","Alec Ingold","RB","LAC","7","18.4","15","1.23","16","","2190.0","0","0","0","0.0","0","3","8","0.1","10","8","71","0.3"
"400","Andrew Ogletree","TE","IND","13","18.3","15","1.22","9","124","999.0","0","0","0","0.0","0","0","0","0.0","9","6","74","0.8"
"401","Devin Neal","RB","NO","8","18.2","12","1.52","16","66","211.9","0","0","0","0.0","0","16","62","0.3","7","6","36","0.1"
"402","Kaleb Johnson","RB","PIT","9","18.1","14","1.29","16","68","217.5","0","0","0","0.0","0","25","101","0.4","4","3","23","0.1"
"403","Xavier Weaver","WR","ARZ","14","18.1","15","1.21","18","110","999.0","0","0","0","0.0","0","0","0","0.0","8","5","98","0.6"
"404","Arian Smith","WR","NYJ","13","18.0","15","1.20","18","106","999.0","0","0","0","0.0","0","2","13","0.0","10","7","72","0.5"
"405","Ben Yurosek","TE","MIN","6","17.9","15","1.19","9","152","999.0","0","0","0","0.0","0","0","0","0.0","15","11","43","0.5"
"406","Charlie Woerner","TE","ATL","11","17.4","15","1.16","9","90","999.0","0","0","0","0.0","0","0","0","0.0","8","6","84","0.5"
"407","Brenen Thompson","WR","LAC","7","17.0","15","1.13","18","348","999.0","0","0","0","0.0","0","0","0","0.0","9","6","84","0.5"
"408","Eric Saubert","TE","SEA","11","16.6","15","1.10","9","101","999.0","0","0","0","0.0","0","0","0","0.0","10","7","65","0.5"
"409","Salvon Ahmed","RB","CHI","10","16.0","10","1.60","16","111","999.0","0","0","0","0.0","0","21","89","0.5","2","2","15","0.1"
"410","Julian Hill","TE","NE","11","15.8","15","1.05","9","39","999.0","0","0","0","0.0","0","0","0","0.0","8","6","65","0.5"
"411","Davis Allen","TE","LA","11","15.3","15","1.02","9","71","999.0","0","0","0","0.0","0","0","0","0.0","9","6","54","0.6"
"412","KeAndre Lambert-Smith","WR","LAC","7","15.3","12","1.27","18","152","999.0","0","0","0","0.0","0","0","0","0.0","9","6","70","0.4"
"413","Kylen Granson","TE","TEN","9","15.2","15","1.01","9","137","999.0","0","0","0","0.0","0","0","0","0.0","9","7","55","0.5"
"414","Max Bredeson","RB","MIN","6","15.0","15","1.00","16","220","999.0","0","0","0","0.0","0","7","24","0.1","7","6","52","0.2"
"415","Adam Prentice","RB","DEN","10","14.9","15","1.00","16","","2270.0","0","0","0","0.0","0","6","22","0.1","8","6","47","0.2"
"416","Luke Farrell","TE","SF","8","14.9","15","0.99","9","141","999.0","0","0","0","0.0","0","0","0","0.0","8","6","64","0.5"
"417","Jack Stoll","TE","CLV","11","14.7","15","0.98","9","143","999.0","0","0","0","0.0","0","0","0","0.0","8","6","57","0.6"
"418","Emmanuel Henderson Jr.","WR","SEA","11","14.4","15","0.96","18","339","999.0","0","0","0","0.0","0","0","0","0.0","6","4","75","0.5"
"419","Kyle Williams","WR","NE","11","14.2","15","0.95","18","82","222.1","0","0","0","0.0","0","1","7","0.0","7","4","62","0.5"
"420","Riley Leonard","QB","IND","13","13.9","1","13.86","16","37","999.0","34","21","216","1.2","1","2","13","0.1","0","0","0","0.0"
"421","Will Kacmarek","TE","MIA","6","13.8","15","0.92","9","218","999.0","0","0","0","0.0","0","0","0","0.0","8","6","54","0.5"
"422","Mason Tipton","WR","NO","8","13.0","14","0.93","18","205","999.0","0","0","0","0.0","0","2","11","0.0","9","5","46","0.3"
"423","Brenden Bates","TE","CLV","11","13.0","8","1.62","9","50","999.0","0","0","0","0.0","0","0","0","0.0","7","5","53","0.4"
"424","Johnny Mundt","TE","PHI","10","13.0","15","0.86","9","102","999.0","0","0","0","0.0","0","1","4","0.0","7","5","50","0.4"
"425","Jonathan Mingo","WR","DAL","14","12.7","10","1.27","18","203","999.0","0","0","0","0.0","0","0","0","0.0","10","6","46","0.4"
"426","Tanner Koziol","TE","JAX","7","12.6","14","0.90","9","210","999.0","0","0","0","0.0","0","0","0","0.0","6","5","50","0.5"
"427","Marquez Valdes-Scantling","WR","DAL","14","12.5","6","2.08","18","","2330.0","0","0","0","0.0","0","1","5","0.0","7","4","50","0.4"
"428","Nate Adkins","TE","DEN","10","12.5","14","0.89","9","44","999.0","0","0","0","0.0","0","0","0","0.0","7","5","45","0.5"
"429","Jeremy Ruckert","TE","NYJ","13","12.0","15","0.80","9","149","999.0","0","0","0","0.0","0","0","0","0.0","7","5","53","0.3"
"430","Jahdae Walker","WR","CHI","10","11.8","14","0.84","18","138","999.0","0","0","0","0.0","0","0","0","0.0","6","4","62","0.3"
"431","Nate Carter","RB","ATL","11","11.8","5","2.36","16","167","999.0","0","0","0","0.0","0","14","64","0.4","2","2","14","0.1"
"432","Foster Moreau","TE","HST","8","11.6","14","0.83","9","79","999.0","0","0","0","0.0","0","0","0","0.0","7","5","42","0.3"
"433","Austin Trammell","WR","JAX","7","11.1","10","1.11","18","241","999.0","0","0","0","0.0","0","0","0","0.0","7","4","51","0.3"
"434","Payne Durham","TE","TB","10","11.1","15","0.74","9","63","999.0","0","0","0","0.0","0","0","0","0.0","6","4","40","0.4"
"435","Phil Mafah","RB","DAL","14","10.9","10","1.09","16","171","999.0","0","0","0","0.0","0","12","51","0.3","2","2","15","0.1"
"436","Anthony Gould","WR","IND","13","10.9","10","1.09","18","196","999.0","0","0","0","0.0","0","0","0","0.0","6","4","54","0.2"
"437","Tylan Wallace","WR","CLV","11","10.5","14","0.75","18","238","999.0","0","0","0","0.0","0","0","0","0.0","5","3","55","0.3"
"438","Tyrell Shavers","WR","BUF","7","10.5","5","2.09","18","179","999.0","0","0","0","0.0","0","0","0","0.0","5","3","53","0.3"
"439","Mecole Hardman","WR","BUF","7","10.5","10","1.05","18","248","999.0","0","0","0","0.0","0","2","14","0.0","5","4","40","0.2"
"440","Quintin Morris","TE","JAX","7","10.2","15","0.68","9","93","999.0","0","0","0","0.0","0","0","0","0.0","5","4","37","0.5"
"441","Kameron Johnson","WR","TB","10","10.1","10","1.01","18","104","999.0","0","0","0","0.0","0","0","0","0.0","6","4","47","0.3"
"442","Terrell Jennings","RB","NE","11","10.1","10","1.01","16","185","999.0","0","0","0","0.0","0","8","28","0.2","3","3","21","0.1"
"443","David Moore","WR","CAR","5","10.1","10","1.01","18","","2410.0","0","0","0","0.0","0","0","0","0.0","6","4","41","0.3"
"444","Grant Calcaterra","TE","PHI","10","9.8","15","0.65","9","114","999.0","0","0","0","0.0","0","1","4","0.0","4","3","39","0.3"
"445","Myles Price","WR","MIN","6","9.7","14","0.69","18","122","999.0","0","0","0","0.0","0","0","0","0.0","6","4","40","0.4"
"446","Derius Davis","WR","LAC","7","9.5","12","0.79","18","206","999.0","0","0","0","0.0","0","5","33","0.2","3","2","23","0.2"
"447","Ben Skowronek","WR","PIT","9","9.5","14","0.68","18","243","999.0","0","0","0","0.0","0","0","0","0.0","7","4","37","0.2"
"448","Dareke Young","WR","LV","13","9.3","10","0.93","18","269","999.0","0","0","0","0.0","0","0","0","0.0","5","3","45","0.2"
"449","Riley Nowakowski","TE","PIT","9","9.0","15","0.60","9","207","999.0","0","0","0","0.0","0","0","0","0.0","5","3","31","0.4"
"450","Andrew Beck","RB","NYJ","13","8.9","15","0.59","16","113","999.0","0","0","0","0.0","0","1","6","0.0","4","4","36","0.1"
"451","British Brooks","RB","HST","8","8.7","15","0.58","16","79","999.0","0","0","0","0.0","0","15","63","0.3","1","0","3","0.0"
"452","Roschon Johnson","RB","CHI","10","8.7","5","1.75","16","94","999.0","0","0","0","0.0","0","11","48","0.3","1","1","9","0.0"
"453","Lil'Jordan Humphrey","WR","DEN","10","8.6","10","0.86","18","249","999.0","0","0","0","0.0","0","0","0","0.0","5","3","36","0.3"
"454","Will Mallory","TE","IND","13","8.5","7","1.21","9","73","999.0","0","0","0","0.0","0","0","0","0.0","5","3","39","0.2"
"455","LaJohntay Wester","WR","BLT","13","8.5","14","0.61","18","153","999.0","0","0","0","0.0","0","0","0","0.0","4","2","43","0.3"
"456","Tim Patrick","WR","NYJ","13","8.3","5","1.67","18","355","999.0","0","0","0","0.0","0","1","5","0.0","4","2","37","0.3"
"457","Teagan Quitoriano","TE","ARZ","14","8.3","10","0.83","9","119","999.0","0","0","0","0.0","0","0","0","0.0","5","3","33","0.3"
"458","Malachi Corley","WR","CLV","11","8.2","8","1.02","18","186","999.0","0","0","0","0.0","0","5","35","0.1","2","1","19","0.1"
"459","Jack Westover","TE","NE","11","7.9","15","0.53","9","60","999.0","0","0","0","0.0","0","0","0","0.0","5","4","20","0.4"
"460","Tim Jones","WR","JAX","7","7.7","10","0.77","18","288","999.0","0","0","0","0.0","0","0","0","0.0","5","3","35","0.2"
"461","Laquon Treadwell","WR","IND","13","7.7","10","0.77","18","359","999.0","0","0","0","0.0","0","0","0","0.0","5","3","37","0.2"
"462","DeeJay Dallas","RB","JAX","7","7.5","10","0.75","16","110","999.0","0","0","0","0.0","0","7","29","0.1","2","2","17","0.1"
"463","Jeremy McNichols","RB","WAS","7","7.3","5","1.46","16","124","999.0","0","0","0","0.0","0","5","19","0.1","3","3","18","0.1"
"464","Dylan Laube","RB","LV","13","7.3","5","1.46","16","82","999.0","0","0","0","0.0","0","6","23","0.1","2","2","18","0.1"
"465","Drake Dabney","TE","GB","11","7.3","7","1.04","9","154","999.0","0","0","0","0.0","0","0","2","0.0","4","2","28","0.3"
"466","C.J. Williams","WR","JAX","7","7.2","15","0.48","18","310","999.0","0","0","0","0.0","0","0","0","0.0","4","2","34","0.2"
"467","Jared Wiley","TE","KC","5","7.0","10","0.70","9","40","999.0","0","0","0","0.0","0","0","0","0.0","3","3","29","0.3"
"468","Sione Vaki","RB","DET","6","6.6","10","0.66","16","96","999.0","0","0","0","0.0","0","5","22","0.2","1","1","18","0.1"
"469","Albert Okwuegbunam","TE","LV","13","6.6","5","1.32","9","86","999.0","0","0","0","0.0","0","0","0","0.0","4","3","28","0.2"
"470","Jalen Brooks","WR","ARZ","14","6.5","10","0.65","18","211","999.0","0","0","0","0.0","0","0","0","0.0","2","1","33","0.3"
"471","Kevin Austin Jr.","WR","NO","8","6.5","10","0.65","18","300","999.0","0","0","0","0.0","0","1","6","0.0","3","2","26","0.2"
"472","Jake Bobo","WR","SEA","11","6.4","14","0.46","18","209","999.0","0","0","0","0.0","0","0","0","0.0","2","2","34","0.2"
"473","Tyler Badie","RB","DEN","10","5.7","4","1.42","16","131","999.0","0","0","0","0.0","0","2","10","0.0","3","2","18","0.1"
"474","Jacob Cowing","WR","SF","8","5.4","13","0.42","18","185","999.0","0","0","0","0.0","0","2","10","0.0","1","1","28","0.1"
"475","Skyy Moore","WR","GB","11","5.4","7","0.77","18","297","999.0","0","0","0","0.0","0","0","0","0.0","2","2","30","0.2"
"476","Keleki Latu","TE","BUF","7","5.4","10","0.54","9","177","999.0","0","0","0","0.0","0","0","0","0.0","3","2","23","0.2"
"477","Colson Yankoff","TE","WAS","7","5.4","14","0.38","9","","2580.0","0","0","0","0.0","0","0","0","0.0","3","2","19","0.2"
"478","David Martin-Robinson","TE","TEN","9","5.2","15","0.35","9","52","999.0","0","0","0","0.0","0","0","0","0.0","3","3","15","0.2"
"479","Pierre Strong","RB","GB","11","5.1","5","1.03","16","152","999.0","0","0","0","0.0","0","5","23","0.1","1","1","8","0.0"
"480","Isaiah Hodgins","WR","NYG","8","5.1","10","0.51","18","222","999.0","0","0","0","0.0","0","0","0","0.0","3","2","24","0.2"
"481","AJ Dillon","RB","CAR","5","5.1","7","0.72","16","112","999.0","0","0","0","0.0","0","4","16","0.1","2","2","11","0.0"
"482","Kene Nwangwu","RB","NYJ","13","5.0","5","1.01","16","153","999.0","0","0","0","0.0","0","6","25","0.1","1","1","8","0.1"
"483","Patrick Ricard","RB","NYG","8","5.0","15","0.33","17","","2610.0","0","0","0","0.0","0","1","2","0.0","2","2","19","0.2"
"484","Jelani Woods","TE","NYJ","13","4.9","10","0.49","9","117","999.0","0","0","0","0.0","0","0","0","0.0","2","2","22","0.1"
"485","Joshua Simon","TE","ATL","11","4.9","10","0.49","9","170","999.0","0","0","0","0.0","0","0","0","0.0","2","1","27","0.2"
"486","Josh Cuevas","TE","BLT","13","4.8","14","0.35","9","157","999.0","0","0","0","0.0","0","0","0","0.0","2","1","21","0.2"
"487","Brady Russell","RB","SEA","11","4.8","15","0.32","16","35","999.0","0","0","0","0.0","0","1","2","0.0","3","2","15","0.1"
"488","Reggie Gilliam","RB","NE","11","4.7","15","0.31","16","106","999.0","0","0","0","0.0","0","1","3","0.0","2","2","18","0.1"
"489","Ty Chandler","RB","NO","8","4.5","10","0.45","16","143","999.0","0","0","0","0.0","0","8","30","0.1","1","0","2","0.0"
"490","Carter Runyon","TE","LV","13","4.4","10","0.44","9","161","999.0","0","0","0","0.0","0","0","0","0.0","3","2","17","0.1"
"491","Devin Duvernay","WR","ARZ","14","4.2","12","0.35","18","264","999.0","0","0","0","0.0","0","0","0","0.0","1","1","24","0.2"
"492","Theo Wease Jr.","WR","MIA","6","4.2","5","0.84","18","170","999.0","0","0","0","0.0","0","0","0","0.0","2","1","22","0.1"
"493","Jacob Saylors","RB","DET","6","4.2","10","0.42","17","91","999.0","0","0","0","0.0","0","2","7","0.0","2","1","15","0.1"
"494","Josh Williams","RB","TB","10","4.2","5","0.83","17","170","999.0","0","0","0","0.0","0","7","26","0.1","1","0","4","0.0"
"495","Ronnie Rivers","RB","LA","11","4.1","5","0.83","17","147","999.0","0","0","0","0.0","0","5","21","0.1","1","1","5","0.0"
"496","Nikko Remigio","WR","KC","5","3.9","10","0.39","18","189","999.0","0","0","0","0.0","0","0","0","0.0","3","2","17","0.1"
"497","Xavier Restrepo","WR","TEN","9","3.8","5","0.76","18","114","999.0","0","0","0","0.0","0","0","0","0.0","2","1","17","0.1"
"498","Hunter Long","TE","JAX","7","3.6","5","0.73","9","104","999.0","0","0","0","0.0","0","0","0","0.0","2","1","13","0.2"
"499","Beaux Collins","WR","NYG","8","3.6","10","0.36","18","175","999.0","0","0","0","0.0","0","0","0","0.0","2","1","18","0.1"
"500","Thomas Fidone II","TE","NYG","8","3.6","5","0.72","9","174","999.0","0","0","0","0.0","0","0","0","0.0","1","1","17","0.1"
"501","Jason Brownlee","WR","KC","5","3.6","5","0.72","18","178","999.0","0","0","0","0.0","0","0","0","0.0","2","1","14","0.1"
"502","Jaret Patterson","RB","LAC","7","3.6","5","0.72","17","117","999.0","0","0","0","0.0","0","4","17","0.1","1","1","5","0.0"
"503","Kaden Wetjen","WR","PIT","9","3.5","10","0.35","18","308","999.0","0","0","0","0.0","0","0","0","0.0","2","1","15","0.2"
"504","Michael Carter","RB","TEN","9","3.4","5","0.68","17","155","999.0","0","0","0","0.0","0","4","15","0.1","1","1","7","0.0"
"505","Isaac Guerendo","RB","SF","8","3.4","5","0.68","17","98","999.0","0","0","0","0.0","0","3","11","0.1","1","1","9","0.0"
"506","Lan Larison","RB","NE","11","3.4","5","0.68","17","163","999.0","0","0","0","0.0","0","4","15","0.1","1","1","6","0.0"
"507","Scott Miller","WR","CHI","10","3.3","5","0.67","18","254","999.0","0","0","0","0.0","0","0","0","0.0","2","1","16","0.1"
"508","Frank Gore Jr.","RB","BUF","7","3.3","7","0.47","17","83","999.0","0","0","0","0.0","0","3","13","0.1","1","1","6","0.0"
"509","Brittain Brown","RB","CHI","10","3.3","5","0.65","17","140","999.0","0","0","0","0.0","0","3","14","0.1","1","1","7","0.0"
"510","Chris Manhertz","TE","NYG","8","3.2","15","0.21","9","205","999.0","0","0","0","0.0","0","0","0","0.0","2","1","11","0.1"
"511","Gavin Bartholomew","TE","MIN","6","3.1","10","0.31","9","173","999.0","0","0","0","0.0","0","0","0","0.0","2","1","13","0.1"
"512","Dameon Pierce","RB","PHI","10","3.1","5","0.62","17","150","999.0","0","0","0","0.0","0","5","19","0.1","0","0","2","0.0"
"513","Kalel Mullings","RB","TEN","9","3.0","5","0.61","17","176","999.0","0","0","0","0.0","0","5","21","0.1","0","0","2","0.0"
"514","Dylan Drummond","WR","ATL","11","2.8","10","0.28","18","180","999.0","0","0","0","0.0","0","0","0","0.0","2","1","13","0.1"
"515","Cameron Latu","TE","PHI","10","2.8","15","0.18","9","","2770.0","0","0","0","0.0","0","1","4","0.0","1","1","8","0.1"
"516","Messiah Swinson","TE","GB","11","2.7","7","0.39","9","56","999.0","0","0","0","0.0","0","0","0","0.0","1","1","12","0.1"
"517","Devin Culp","TE","TB","10","2.7","7","0.39","9","61","999.0","0","0","0","0.0","0","0","0","0.0","1","1","13","0.1"
"518","Damien Martinez","RB","GB","11","2.6","5","0.52","17","183","999.0","0","0","0","0.0","0","1","6","0.0","1","1","7","0.0"
"519","Jake Briningstool","TE","KC","5","2.6","5","0.52","9","178","999.0","0","0","0","0.0","0","0","0","0.0","2","1","9","0.1"
"520","Stephen Carlson","TE","CHI","10","2.5","10","0.25","9","83","999.0","0","0","0","0.0","0","0","0","0.0","1","1","12","0.1"
"521","CJ Dippre","TE","NE","11","2.5","5","0.50","9","184","999.0","0","0","0","0.0","0","0","0","0.0","1","1","9","0.1"
"522","Eric Gray","RB","NYG","8","2.5","5","0.50","17","89","999.0","0","0","0","0.0","0","2","8","0.0","1","1","6","0.0"
"523","Donovan Edwards","RB","MIA","6","2.5","8","0.31","17","177","999.0","0","0","0","0.0","0","2","8","0.1","1","1","6","0.0"
"524","Elijah Moore","WR","PHI","10","2.4","5","0.48","18","239","999.0","0","0","0","0.0","0","0","0","0.0","1","1","9","0.1"
"525","Dominic Lovett","WR","DET","6","2.4","7","0.34","18","154","999.0","0","0","0","0.0","0","0","0","0.0","2","1","10","0.1"
"526","Cam Grandy","TE","CIN","6","2.3","5","0.46","9","59","999.0","0","0","0","0.0","0","0","0","0.0","1","1","9","0.1"
"527","Brayden Willis","TE","SF","8","2.3","5","0.45","9","70","999.0","0","0","0","0.0","0","0","0","0.0","2","1","8","0.1"
"528","Justin Watson","WR","HST","8","2.1","5","0.43","18","","2835.0","0","0","0","0.0","0","0","0","0.0","1","1","10","0.1"
"529","Bam Knight","RB","ARZ","14","2.1","5","0.42","17","151","999.0","0","0","0","0.0","0","2","7","0.0","1","1","5","0.0"
"530","Efton Chism III","WR","NE","11","2.1","5","0.42","18","163","999.0","0","0","0","0.0","0","0","0","0.0","1","1","11","0.1"
"531","JP Richardson","WR","CHI","10","1.8","5","0.36","18","158","999.0","0","0","0","0.0","0","0","0","0.0","1","1","8","0.0"
"532","Zaire Mitchell-Paden","TE","NO","8","1.7","7","0.25","9","125","999.0","0","0","0","0.0","0","0","0","0.0","1","1","6","0.1"
"533","Ke'Shawn Williams","WR","CIN","6","1.7","5","0.34","18","130","999.0","0","0","0","0.0","0","0","0","0.0","1","1","6","0.1"
"534","Ahmani Marshall","RB","CLV","11","1.7","5","0.33","17","169","999.0","0","0","0","0.0","0","2","9","0.0","0","0","2","0.0"
"535","Gary Brightwell","RB","CIN","6","1.6","5","0.32","17","158","999.0","0","0","0","0.0","0","0","0","0.0","1","1","7","0.0"
"536","Nick Kallerup","TE","SEA","11","1.5","10","0.15","9","153","999.0","0","0","0","0.0","0","0","0","0.0","1","1","7","0.1"
"537","Ulysses Bentley IV","RB","IND","13","1.5","5","0.30","17","168","999.0","0","0","0","0.0","0","2","8","0.0","0","0","2","0.0"
"538","Tom Kennedy","WR","DET","6","1.3","7","0.19","18","259","999.0","0","0","0","0.0","0","0","0","0.0","1","1","6","0.0"
"539","Jared Wayne","WR","HST","8","1.3","5","0.25","18","212","999.0","0","0","0","0.0","0","0","0","0.0","1","0","6","0.0"
"540","Charlie Jones","WR","CIN","6","1.2","5","0.25","18","","2895.0","0","0","0","0.0","0","0","0","0.0","1","1","4","0.0"
"541","Jeshaun Jones","WR","MIN","6","1.2","5","0.24","18","111","999.0","0","0","0","0.0","0","0","0","0.0","1","0","4","0.0"
"541","Dontae Fleming","WR","MIN","6","1.2","5","0.24","18","128","999.0","0","0","0","0.0","0","0","0","0.0","1","0","4","0.0"
"543","Hayden Rucci","TE","SF","8","0.6","5","0.12","9","51","999.0","0","0","0","0.0","0","0","0","0.0","0","0","2","0.0"
"544","Ko Kieft","TE","TB","10","0.6","7","0.08","9","121","999.0","0","0","0","0.0","0","0","0","0.0","0","0","2","0.0"
"545","Chris Brazzell II","WR","CAR","5","0.0","0","0.00","18","98","400.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Lucas Krull","TE","DEN","10","0.0","0","0.00","9","120","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Michael Burton","RB","CLV","11","0.0","0","0.00","17","","2920.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Tyler Scott","WR","LA","11","0.0","0","0.00","18","","2920.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Dayton Wade","WR","BLT","13","0.0","0","0.00","18","100","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Feleipe Franks","TE","CAR","5","0.0","0","0.00","9","133","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Nikola Kalinic","TE","CHI","10","0.0","0","0.00","9","146","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Gardner Minshew","QB","ARZ","14","0.0","0","0.00","16","62","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Mason Rudolph","QB","PIT","9","0.0","0","0.00","16","65","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Princeton Fant","TE","DAL","14","0.0","0","0.00","9","43","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Jordan Watkins","WR","SF","8","0.0","0","0.00","18","150","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Travis Homer","RB","PIT","9","0.0","0","0.00","17","118","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Adam Randall","RB","BLT","13","0.0","0","0.00","17","75","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Lawrence Cager","TE","WAS","7","0.0","0","0.00","9","92","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Brevin Jordan","TE","HST","8","0.0","10","0.00","9","134","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Michael Bandy","WR","DEN","10","0.0","0","0.00","18","289","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"545","Andy Dalton","QB","PHI","10","0.0","0","0.00","16","80","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
