"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"213","Christian Kirk","WR","SF","8","76.7","13","5.90","14","96","241.7","0","0","0","0.0","0","0","0","0.0","39","26","390","2.0"
"214","Darnell Mooney","WR","NYG","8","76.3","15","5.09","14","81","221.1","0","0","0","0.0","0","0","0","0.0","47","28","364","2.0"
"215","Kalif Raymond","WR","CHI","10","76.1","15","5.07","14","","1270.0","0","0","0","0.0","0","0","0","0.0","38","25","387","2.0"
"216","Chris Bell","WR","MIA","6","76.0","13","5.85","14","90","231.4","0","0","0","0.0","0","0","0","0.0","42","28","376","1.8"
"217","Chris Rodriguez Jr.","RB","JAX","7","75.1","14","5.36","12","46","141.6","0","0","0","0.0","0","89","384","3.5","6","5","80","0.4"
"218","MarShawn Lloyd","RB","GB","11","75.0","10","7.50","12","102","999.0","0","0","0","0.0","0","77","331","2.1","20","16","105","0.5"
"219","Zachariah Branch","WR","ATL","11","73.0","15","4.87","14","69","180.4","0","0","0","0.0","0","4","23","0.2","41","26","326","1.9"
"220","Olamide Zaccheaus","WR","ATL","11","71.9","15","4.79","15","255","999.0","0","0","0","0.0","0","0","0","0.0","51","32","285","1.9"
"221","Jordan Mason","RB","MIN","6","71.3","14","5.09","12","39","119.2","0","0","0","0.0","0","91","415","3.5","7","6","28","0.1"
"222","Jahan Dotson","WR","ATL","11","71.2","15","4.75","15","291","999.0","0","0","0","0.0","0","0","0","0.0","48","28","314","1.9"
"223","Dawson Knox","TE","BUF","7","70.3","15","4.69","8","77","999.0","0","0","0","0.0","0","0","0","0.0","31","23","305","2.8"
"224","Mason Taylor","TE","NYJ","13","70.1","15","4.67","8","31","224.3","0","0","0","0.0","0","0","0","0.0","41","31","286","1.8"
"225","Tre Harris","WR","LAC","7","68.6","15","4.58","15","72","194.5","0","0","0","0.0","0","2","14","0.1","35","24","318","1.9"
"226","LeQuint Allen Jr.","RB","JAX","7","68.4","15","4.56","12","173","999.0","0","0","0","0.0","0","39","155","0.9","31","25","180","0.8"
"227","Isaiah Davis","RB","NYJ","13","68.3","14","4.88","12","85","999.0","0","0","0","0.0","0","59","262","1.3","19","16","151","0.6"
"228","Tyler Higbee","TE","LA","11","67.3","14","4.81","8","96","999.0","0","0","0","0.0","0","0","0","0.0","38","27","267","2.3"
"229","Nick Westbrook-Ikhine","WR","IND","13","66.9","15","4.46","15","230","999.0","0","0","0","0.0","0","0","0","0.0","46","28","282","1.8"
"230","Matthew Hibner","TE","BLT","13","66.4","15","4.43","8","166","999.0","0","0","0","0.0","0","0","0","0.0","35","26","268","2.3"
"231","Demond Claiborne","RB","MIN","6","65.4","15","4.36","13","69","218.3","0","0","0","0.0","0","73","310","1.9","14","11","103","0.4"
