"Overall","NAME","POS","TEAM","BYE","TIER","EXODIA"
"1","Ja'Marr Chase","WR","CIN","10","1","-"
"2","Bijan Robinson","RB","ATL","5","2","-"
"3","Jahmyr Gibbs","RB","DET","8","2","-"
"4","Christian McCaffrey","RB","SF","14","2","-"
"5","CeeDee Lamb","WR","DAL","10","2","-"
"6","Puka Nacua","WR","LA","8","2","-"
"7","Malik Nabers","WR","NYG","14","2","-"
"8","Justin Jefferson","WR","MIN","6","2","-"
"9","Saquon Barkley","RB","PHI","9","2","-"
"10","De'Von Achane","RB","MIA","12","2","-"
"11","Nico Collins","WR","HOU","6","2","-"
"12","Ashton Jeanty","RB","LV","8","2","-"
"13","Brian Thomas Jr.","WR","JAC","8","3","-"
"14","A.J. Brown","WR","PHI","9","3","-"
"15","Drake London","WR","ATL","5","3","-"
"16","Derrick Henry","RB","BAL","7","3","-"
"17","Jonathan Taylor","RB","IND","11","3","-"
"18","Amon-Ra St. Brown","WR","DET","8","3","-"
"19","Chase Brown","RB","CIN","10","4",""
"20","Ladd McConkey","WR","LAC","12","4","-"
"21","Bucky Irving","RB","TB","9","4","-"
"22","Brock Bowers","TE","LV","8","4","-"
"23","Tyreek Hill","WR","MIA","12","4","-"
"24","Kenneth Walker III","RB","SEA","8","4",""
"25","Tee Higgins","WR","CIN","10","4","-"
"26","Trey McBride","TE","ARI","8","5","-"
"27","Jayden Daniels","QB","WAS","12","5","-"
"28","Josh Allen","QB","BUF","7","5","-"
"29","Jalen Hurts","QB","PHI","9","5","-"
"30","Lamar Jackson","QB","BAL","7","5","-"
"31","Omarion Hampton","RB","LAC","12","5","-"
"32","Josh Jacobs","RB","GB","5","5","-"
"33","George Kittle","TE","SF","14","5","-"
"34","Kyren Williams","RB","LA","8","5","-"
"35","Jaxon Smith-Njigba","WR","SEA","8","5","-"
"36","Mike Evans","WR","TB","9","6","-"
"37","Davante Adams","WR","LA","8","6","-"
"38","Tetairoa McMillan","WR","CAR","14","6",""
"39","TreVeyon Henderson","RB","NE","14","6","-"
"40","Garrett Wilson","WR","NYJ","9","6","-"
"41","Courtland Sutton","WR","DEN","12","6","-"
"42","RJ Harvey","RB","DEN","12","6",""
"43","James Cook","RB","BUF","7","6","-"
"44","Sam LaPorta","TE","DET","8","7","-"
"45","James Conner","RB","ARI","8","7","-"
"46","Calvin Ridley","WR","TEN","10","7","-"
"47","George Pickens","WR","DAL","10","7","-"
"48","Joe Burrow","QB","CIN","10","7","-"
"49","Rashee Rice","WR","KC","10","7",""
"50","Travis Hunter","WR","JAC","8","7","-"
"51","Alvin Kamara","RB","NO","11","7","-"
"52","Jaylen Waddle","WR","MIA","12","7","-"
"53","Chuba Hubbard","RB","CAR","14","7","-"
"54","Tony Pollard","RB","TEN","10","7","-"
"55","Jerry Jeudy","WR","CLE","9","8","-"
"56","Jameson Williams","WR","DET","8","8","-"
"57","Marvin Harrison Jr.","WR","ARI","8","8","-"
"58","Terry McLaurin","WR","WAS","12","8","-"
"59","Emeka Egbuka","WR","TB","9","8",""
"60","Isiah Pacheco","RB","KC","10","8","-"
"61","DeVonta Smith","WR","PHI","9","8","-"
"62","DK Metcalf","WR","PIT","5","8","-"
"63","Breece Hall","RB","NYJ","9","8","-"
"64","Ricky Pearsall","WR","SF","14","8",""
"65","Chris Olave","WR","NO","11","8","-"
"66","Jordan Addison","WR","MIN","6","8","-"
"67","Xavier Worthy","WR","KC","10","9","-"
"68","Deebo Samuel Sr.","WR","WAS","12","9","-"
"69","Patrick Mahomes","QB","KC","10","9","-"
"70","DJ Moore","WR","CHI","5","9","-"
"71","Zay Flowers","WR","BAL","7","9","-"
"72","Cam Skattebo","RB","NYG","14","9",""
"73","Matthew Golden","WR","GB","5","9","-"
"74","Travis Kelce","TE","KC","10","10","-"
"75","David Njoku","TE","CLE","9","9","-"
"76","Rome Odunze","WR","CHI","5","9","-"
"77","Drake Maye","QB","NE","14","10",""
"78","Brock Purdy","QB","SF","14","10","-"
"79","T.J. Hockenson","TE","MIN","6","10","-"
"80","Tyler Warren","TE","IND","11","10","-"
"81","D'Andre Swift","RB","CHI","5","10","-"
"82","Aaron Jones","RB","MIN","6","10","-"
"83","Bhayshul Tuten","RB","JAX","8","10",""
"84","Zach Charbonnet","RB","SEA","8","10","-"
"85","Jauan Jennings","WR","SF","14","10","-"
"86","Colston Loveland","TE","CHI","5","10","-"
"87","Dak Prescott","QB","DAL","10","10","-"
"88","Stefon Diggs","WR","NE","14","11","-"
"89","Cooper Kupp","WR","SEA","8","11","-"
"90","Bo Nix","QB","DEN","12","11","-"
"91","Luther Burden III","WR","CHI","5","11",""
"92","Josh Downs","WR","IND","11","11","-"
"93","Justin Fields","QB","NYJ","9","11","-"
"94","Evan Engram","TE","DEN","12","11","-"
"95","Jacorey Croskey-Merritt","RB","WAS","12","11","-"
"96","David Montgomery","RB","DET","8","11","-"
"97","Jakobi Meyers","WR","LV","8","11","-"
"98","Kaleb Johnson","RB","PIT","5","11","-"
"99","Rashid Shaheed","WR","NO","11","11","-"
