"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"157","Christian Kirk","WR","HST","6","WR59","165.8","121.4","15","8.10","12","0","0","0","0","0","-","-","-","70.6","45.3","563.1","3.4","-","-","-","-","-"
"158","Cade Otton","TE","TB","9","TE28","222.0","121.2","15","8.08","6","0","0","0","0","0","-","-","-","69.4","49.1","487.7","4.0","-","-","-","-","-"
"159","Kyle Pitts","TE","ATL","5","TE14","115.0","120.4","15","8.03","6","0","0","0","0","0","-","-","-","65.5","43.5","555.9","3.6","-","-","-","-","-"
"160","Mike Gesicki","TE","CIN","10","TE25","213.6","119.9","15","8.00","6","0","0","0","0","0","-","-","-","66.5","51.1","496.0","3.2","-","-","-","-","-"
"161","Jordan Mason","RB","MIN","6","RB35","107.1","119.9","14","8.56","11","0","0","0","0","0","125.9","624.3","4.0","21.3","17.4","131.9","0.6","-","-","-","-","-"
"162","Dont'e Thornton Jr.","WR","LV","8","WR63","179.6","118.9","15","7.93","12","0","0","0","0","0","-","-","-","69.2","44.2","566.9","3.0","-","-","-","-","-"
"163","Dalton Schultz","TE","HST","6","TE29","241.5","118.5","15","7.90","6","0","0","0","0","0","-","-","-","70.3","50.0","504.2","3.1","-","-","-","-","-"
"164","Jerome Ford","RB","CLV","9","RB54","184.1","116.9","14","8.35","11","0","0","0","0","0","123.5","541.2","3.2","28.0","23.9","158.9","0.7","-","-","-","-","-"
"165","Joe Mixon","RB","HST","6","RB24","67.8","116.6","10","11.66","11","0","0","0","0","0","124.6","524.1","4.5","24.2","19.2","147.5","0.6","-","-","-","-","-"
"166","Woody Marks","RB","HST","6","RB60","208.5","116.4","15","7.76","11","0","0","0","0","0","109.3","459.6","3.0","34.1","27.2","205.5","1.0","-","-","-","-","-"
"167","Marquise Brown","WR","KC","10","WR67","193.7","115.9","13","8.91","12","0","0","0","0","0","-","-","-","69.2","42.7","536.3","3.3","-","-","-","-","-"
"168","Tank Bigsby","RB","JAX","8","RB43","145.5","114.4","15","7.63","11","0","0","0","0","0","138.7","612.7","4.5","20.1","15.3","103.1","0.3","-","-","-","-","-"
"169","Trey Benson","RB","ARZ","8","RB47","161.2","114.3","15","7.62","11","0","0","0","0","0","123.9","600.9","3.2","22.0","18.8","150.1","0.4","-","-","-","-","-"
"170","Michael Wilson","WR","ARZ","8","WR87","257.7","112.8","15","7.52","12","0","0","0","0","0","2.2","14.7","0.1","62.8","40.8","504.9","3.3","-","-","-","-","-"
"171","Darius Slayton","WR","NYG","14","WR89","263.9","112.7","15","7.51","12","0","0","0","0","0","-","-","-","65.3","40.4","546.8","3.0","-","-","-","-","-"
"172","Tutu Atwell","WR","LA","8","WR100","287.2","112.0","15","7.46","12","0","0","0","0","0","0.6","3.1","0.0","64.7","42.3","535.7","2.6","-","-","-","-","-"
"173","Quentin Johnston","WR","LAC","12","WR77","228.7","110.6","15","7.37","12","0","0","0","0","0","1.0","4.2","0.0","63.8","39.4","497.1","3.5","-","-","-","-","-"
"174","Juwan Johnson","TE","NO","11","TE34","267.8","109.5","15","7.30","6","0","0","0","0","0","-","-","-","65.5","45.5","467.0","2.9","-","-","-","-","-"
"175","DeMario Douglas","WR","NE","14","WR71","209.5","108.1","15","7.21","12","0","0","0","0","0","1.5","8.9","0.0","62.1","45.7","471.5","2.4","-","-","-","-","-"
"176","Chig Okonkwo","TE","TEN","10","TE24","206.7","107.7","15","7.18","6","0","0","0","0","0","-","-","-","61.7","46.2","462.3","2.6","-","-","-","-","-"
"177","Pat Freiermuth","TE","PIT","5","TE27","217.6","106.9","15","7.13","6","0","0","0","0","0","-","-","-","58.5","42.8","454.7","3.2","-","-","-","-","-"
"178","Joe Flacco","QB","CLV","9","QB35","278.0","105.7","7","15.10","9","259","170","1791","10.0","6","7.4","19.6","0.1","-","-","-","-","-","-","-","-","-"
"179","Rhamondre Stevenson","RB","NE","14","RB39","123.4","103.6","14","7.40","12","0","0","0","0","0","127.7","497.0","3.9","21.6","17.3","109.4","0.5","-","-","-","-","-"
"180","Dylan Sampson","RB","CLV","9","RB53","183.1","102.9","15","6.86","12","0","0","0","0","0","113.2","487.4","2.8","24.6","20.1","143.5","0.6","-","-","-","-","-"
"181","Luther Burden III","WR","CHI","5","WR57","154.1","102.4","15","6.82","13","0","0","0","0","0","3.6","21.8","0.1","59.5","41.0","427.0","2.7","-","-","-","-","-"
"182","Jalen Nailor","WR","MIN","6","WR256","682.3","100.0","14","7.15","13","0","0","0","0","0","0.9","3.0","0.0","56.1","37.3","446.7","3.0","-","-","-","-","-"
"183","Mason Taylor","TE","NYJ","9","TE26","215.4","99.3","15","6.62","7","0","0","0","0","0","-","-","-","58.1","42.2","432.4","2.4","-","-","-","-","-"
"184","Xavier Legette","WR","CAR","14","WR66","191.7","99.3","15","6.62","13","0","0","0","0","0","3.3","13.6","0.1","61.1","37.0","423.6","3.0","-","-","-","-","-"
"185","Jaydon Blue","RB","DAL","10","RB42","143.6","98.5","15","6.56","12","0","0","0","0","0","119.4","526.1","3.5","15.4","13.1","92.7","0.6","-","-","-","-","-"
"186","Isaiah Likely","TE","BLT","7","TE19","170.6","97.8","13","7.52","7","0","0","0","0","0","-","-","-","48.6","35.2","437.5","3.2","-","-","-","-","-"
"187","Elic Ayomanor","WR","TEN","10","WR72","214.7","97.1","15","6.47","13","0","0","0","0","0","-","-","-","56.5","36.7","444.9","2.7","-","-","-","-","-"
"188","AJ Barner","TE","SEA","8","TE65","586.4","97.0","15","6.47","7","0","0","0","0","0","-","-","-","54.9","41.5","395.1","2.7","-","-","-","-","-"
"189","Jalen Coker","WR","CAR","14","WR84","251.5","96.7","15","6.44","13","0","0","0","0","0","-","-","-","58.2","37.6","439.0","2.6","-","-","-","-","-"
"190","Ty Johnson","RB","BUF","7","RB191","696.2","95.4","15","6.36","12","0","0","0","0","0","69.9","328.6","1.9","29.1","23.4","211.9","1.2","-","-","-","-","-"
"191","Alec Pierce","WR","IND","11","WR81","247.5","94.3","15","6.29","13","0","0","0","0","0","-","-","-","60.2","33.5","472.1","2.3","-","-","-","-","-"
"192","Josh Reynolds","WR","NYJ","9","WR371","700.2","94.1","14","6.72","13","0","0","0","0","0","-","-","-","55.5","35.9","449.5","2.2","-","-","-","-","-"
"193","Kyle Williams","WR","NE","14","WR62","173.7","94.0","15","6.27","13","0","0","0","0","0","-","-","-","53.0","35.5","427.1","2.7","-","-","-","-","-"
"194","Tyler Allgeier","RB","ATL","5","RB55","188.1","93.7","15","6.25","12","0","0","0","0","0","124.0","548.4","3.1","12.9","10.9","83.7","0.3","-","-","-","-","-"
"195","Harold Fannin Jr.","TE","CLV","9","TE33","265.7","93.6","15","6.24","7","0","0","0","0","0","-","-","-","54.2","38.8","402.8","2.5","-","-","-","-","-"
"196","Dontayvion Wicks","WR","GB","5","WR93","275.8","92.8","15","6.18","13","0","0","0","0","0","-","-","-","56.5","31.9","404.5","3.5","-","-","-","-","-"
"197","Justice Hill","RB","BLT","7","RB64","227.6","92.5","15","6.17","12","0","0","0","0","0","44.0","213.1","0.8","37.9","31.5","276.9","1.2","-","-","-","-","-"
"198","Travis Etienne","RB","JAX","8","RB32","92.1","91.4","15","6.10","12","0","0","0","0","0","92.0","340.7","2.1","30.7","24.9","175.0","0.5","-","-","-","-","-"
"199","Miles Sanders","RB","DAL","10","RB68","245.6","89.9","14","6.42","12","0","0","0","0","0","100.4","381.2","3.1","22.8","19.0","111.9","0.6","-","-","-","-","-"
"200","Tyler Higbee","TE","LA","8","TE40","283.8","89.7","14","6.40","7","0","0","0","0","0","-","-","-","49.8","38.4","338.5","2.9","-","-","-","-","-"
"201","Russell Wilson","QB","NYG","14","QB32","259.9","89.5","6","14.92","10","196","125","1319","7.4","4","21.6","95.5","0.4","-","-","-","-","-","-","-","-","-"
"202","Devaughn Vele","WR","NO","11","WR240","678.0","89.3","14","6.38","13","0","0","0","0","0","-","-","-","57.9","36.6","393.4","2.3","-","-","-","-","-"
"203","Noah Fant","TE","CIN","10","TE43","298.9","89.2","15","5.95","7","0","0","0","0","0","-","-","-","47.8","37.3","370.2","2.5","-","-","-","-","-"
"204","Roschon Johnson","RB","CHI","5","RB63","226.2","87.0","13","6.69","13","0","0","0","0","0","102.9","405.2","4.8","12.0","10.0","69.8","0.3","-","-","-","-","-"
"205","Ray Davis","RB","BUF","7","RB51","175.6","86.8","15","5.79","13","0","0","0","0","0","112.0","484.5","3.3","11.2","9.3","78.1","0.4","-","-","-","-","-"
"206","Pat Bryant","WR","DEN","12","-","1225.0","86.4","15","5.76","14","0","0","0","0","0","-","-","-","50.9","32.1","400.2","2.4","-","-","-","-","-"
"207","Dillon Gabriel","QB","CLV","9","QB126","698.5","86.2","6","14.37","10","209","133","1361","6.8","5","19.2","88.0","0.3","-","-","-","-","-","-","-","-","-"
"208","Brandon Aiyuk","WR","SF","14","WR53","134.7","86.0","8.5","10.12","14","0","0","0","0","0","-","-","-","46.2","30.7","415.1","2.3","-","-","-","-","-"
"209","Ja'Tavion Sanders","TE","CAR","14","TE30","255.9","85.5","15","5.70","7","0","0","0","0","0","-","-","-","47.6","36.4","356.1","2.3","-","-","-","-","-"
"210","Elijah Arroyo","TE","SEA","8","TE22","186.3","84.6","15","5.64","7","0","0","0","0","0","-","-","-","46.3","34.1","366.9","2.3","-","-","-","-","-"
"211","Rico Dowdle","RB","CAR","14","RB58","197.5","83.9","15","5.59","13","0","0","0","0","0","88.4","387.8","1.9","23.6","19.3","118.6","0.6","-","-","-","-","-"
"212","Olamide Zaccheaus","WR","CHI","5","WR205","665.1","83.5","15","5.56","14","0","0","0","0","0","-","-","-","47.3","32.9","373.8","2.2","-","-","-","-","-"
"213","DeAndre Hopkins","WR","BLT","7","WR70","197.2","81.2","14","5.80","14","0","0","0","0","0","-","-","-","45.4","30.2","355.6","2.6","-","-","-","-","-"
"214","Jaylen Wright","RB","MIA","12","RB56","192.4","81.2","15","5.41","13","0","0","0","0","0","91.5","362.0","2.3","21.1","17.2","111.3","0.6","-","-","-","-","-"
"215","Will Shipley","RB","PHI","9","RB61","219.5","80.2","15","5.35","13","0","0","0","0","0","86.5","429.1","2.5","14.4","12.1","87.6","0.4","-","-","-","-","-"
"216","Van Jefferson","WR","TEN","10","WR318","693.7","79.6","15","5.31","14","0","0","0","0","0","-","-","-","47.6","29.1","376.3","2.2","-","-","-","-","-"
"217","Braelon Allen","RB","NYJ","9","RB48","164.2","79.4","15","5.29","13","0","0","0","0","0","94.8","373.9","2.6","18.6","14.5","101.9","0.4","-","-","-","-","-"
"218","Nick Westbrook-Ikhine","WR","MIA","12","WR243","678.8","79.1","15","5.27","14","0","0","0","0","0","-","-","-","47.9","29.2","380.3","2.0","-","-","-","-","-"
"219","Zay Jones","WR","ARZ","8","WR341","696.8","79.0","14","5.64","14","0","0","0","0","0","-","-","-","48.5","30.6","369.3","1.9","-","-","-","-","-"
"220","Roman Wilson","WR","PIT","5","WR90","265.4","78.3","14","5.60","14","0","0","0","0","0","-","-","-","48.1","28.9","348.8","2.5","-","-","-","-","-"
"221","Spencer Rattler","QB","NO","11","QB121","696.7","78.0","6","13.00","10","192","116","1196","5.9","4","17.1","108.5","0.3","-","-","-","-","-","-","-","-","-"
"222","Darren Waller","TE","MIA","12","TE23","206.7","77.2","13","5.94","8","0","0","0","0","0","-","-","-","44.9","31.8","332.8","2.0","-","-","-","-","-"
"223","Noah Brown","WR","WAS","12","WR352","698.8","77.2","13","5.94","14","0","0","0","0","0","-","-","-","46.3","30.4","359.6","1.8","-","-","-","-","-"
"224","Malik Washington","WR","MIA","12","WR244","678.9","76.7","15","5.11","14","0","0","0","0","0","4.1","23.4","0.1","46.2","32.4","312.6","1.7","-","-","-","-","-"
"225","Elijah Moore","WR","BUF","7","WR265","685.0","76.6","15","5.11","14","0","0","0","0","0","-","-","-","47.5","29.9","319.8","2.5","-","-","-","-","-"
"226","Tim Patrick","WR","DET","8","WR178","651.5","75.7","15","5.04","14","0","0","0","0","0","-","-","-","41.7","28.7","347.3","2.0","-","-","-","-","-"
"227","Nick Chubb","RB","HST","6","RB40","134.4","75.4","12","6.29","13","0","0","0","0","0","97.6","370.1","3.2","14.5","10.9","76.5","0.2","-","-","-","-","-"
"228","Kenneth Gainwell","RB","PIT","5","RB207","700.9","75.2","15","5.01","13","0","0","0","0","0","53.7","226.6","1.1","30.1","24.1","172.6","0.8","-","-","-","-","-"
"229","Jack Bech","WR","LV","8","WR68","195.0","74.4","15","4.96","14","0","0","0","0","0","-","-","-","43.8","29.4","339.2","1.9","-","-","-","-","-"
"230","J.K. Dobbins","RB","DEN","12","RB37","111.5","74.2","10","7.42","13","0","0","0","0","0","80.9","361.8","2.4","17.4","14.3","73.7","0.4","-","-","-","-","-"
"231","Troy Franklin","WR","DEN","12","WR97","279.0","74.1","15","4.94","14","0","0","0","0","0","0.7","2.8","0.0","43.3","27.6","333.5","2.2","-","-","-","-","-"
"232","MarShawn Lloyd","RB","GB","5","RB73","260.0","74.1","13","5.70","13","0","0","0","0","0","71.6","305.4","2.4","17.9","15.4","109.0","0.5","-","-","-","-","-"
"233","Tre Tucker","WR","LV","8","WR292","689.8","74.0","15","4.93","14","0","0","0","0","0","3.4","20.1","0.1","43.3","27.9","324.4","1.9","-","-","-","-","-"
"234","Ollie Gordon II","RB","MIA","12","RB59","204.6","73.7","15","4.92","13","0","0","0","0","0","82.1","352.4","2.8","15.0","12.1","79.7","0.4","-","-","-","-","-"
"235","Terrance Ferguson","TE","LA","8","TE31","258.3","73.3","15","4.88","8","0","0","0","0","0","-","-","-","41.8","32.0","288.7","2.1","-","-","-","-","-"
"236","Adonai Mitchell","WR","IND","11","WR80","246.6","72.5","15","4.84","14","0","0","0","0","0","2.8","16.6","0.1","47.8","25.4","342.3","1.8","-","-","-","-","-"
"237","Michael Mayer","TE","LV","8","TE44","299.4","72.4","14","5.17","8","0","0","0","0","0","-","-","-","42.4","32.1","304.2","1.7","-","-","-","-","-"
"238","Jamari Thrash","WR","CLV","9","WR348","697.8","72.2","14","5.16","14","0","0","0","0","0","-","-","-","48.0","30.6","313.8","1.7","-","-","-","-","-"
"239","Raheem Mostert","RB","LV","8","RB67","244.6","72.2","13","5.55","13","0","0","0","0","0","74.4","289.1","1.9","20.9","17.3","129.6","0.4","-","-","-","-","-"
"240","Gunnar Helm","TE","TEN","10","TE162","690.1","71.8","15","4.79","8","0","0","0","0","0","-","-","-","40.7","30.4","301.3","1.9","-","-","-","-","-"
"241","Samaje Perine","RB","CIN","10","RB162","685.9","70.5","15","4.70","14","0","0","0","0","0","37.9","165.5","0.9","28.3","23.5","199.4","0.9","-","-","-","-","-"
"242","Kareem Hunt","RB","KC","10","RB57","194.5","70.5","14","5.03","14","0","0","0","0","0","74.9","275.2","2.3","18.3","16.4","98.1","0.6","-","-","-","-","-"
"243","Jaylin Noel","WR","HST","6","WR83","251.1","70.4","15","4.69","15","0","0","0","0","0","-","-","-","41.2","26.4","330.8","1.9","-","-","-","-","-"
"244","Kyle Monangai","RB","CHI","5","RB66","239.0","69.9","15","4.66","14","0","0","0","0","0","54.4","238.1","1.7","22.9","18.9","140.1","0.6","-","-","-","-","-"
"245","Mack Hollins","WR","NE","14","WR263","683.8","69.8","15","4.65","15","0","0","0","0","0","-","-","-","40.0","25.1","321.8","2.1","-","-","-","-","-"
"246","Tory Horton","WR","SEA","8","WR79","236.7","68.5","15","4.57","15","0","0","0","0","0","-","-","-","39.7","24.6","323.1","1.9","-","-","-","-","-"
"247","Tommy Tremble","TE","CAR","14","TE104","664.0","67.5","14","4.82","8","0","0","0","0","0","-","-","-","39.0","29.6","262.2","2.0","-","-","-","-","-"
"248","Jalen Tolbert","WR","DAL","10","WR106","302.5","67.0","15","4.47","15","0","0","0","0","0","-","-","-","37.1","24.2","297.7","2.2","-","-","-","-","-"
"249","Brian Robinson","RB","SF","14","RB30","83.5","66.9","15","4.46","14","0","0","0","0","0","76.8","343.4","3.2","8.7","7.1","56.2","0.2","-","-","-","-","-"
"250","Anthony Richardson","QB","IND","11","QB31","242.9","66.9","4","16.72","11","111","59","749","3.8","4","30.8","170.9","1.7","-","-","-","-","-","-","-","-","-"
"251","Sean Tucker","RB","TB","9","RB121","656.9","65.5","14","4.68","14","0","0","0","0","0","80.4","380.7","2.0","10.1","8.2","66.9","0.2","-","-","-","-","-"
"252","Tre Harris","WR","LAC","12","WR55","148.7","65.3","15","4.35","15","0","0","0","0","0","-","-","-","37.8","24.6","295.6","1.9","-","-","-","-","-"
"253","Kendre Miller","RB","NO","11","RB74","265.0","64.0","12","5.34","14","0","0","0","0","0","75.9","297.0","1.8","16.5","12.8","90.6","0.3","-","-","-","-","-"
"254","Noah Gray","TE","KC","10","TE35","269.1","63.4","15","4.23","8","0","0","0","0","0","0.3","0.1","0.1","32.0","25.3","255.8","2.0","-","-","-","-","-"
"255","Savion Williams","WR","GB","5","WR334","696.0","62.8","14","4.49","15","0","0","0","0","0","22.0","133.8","0.4","26.7","17.9","200.0","1.6","-","-","-","-","-"
"256","Luke McCaffrey","WR","WAS","12","WR108","308.9","62.6","15","4.17","15","0","0","0","0","0","-","-","-","37.0","25.9","266.8","1.7","-","-","-","-","-"
"257","Blake Corum","RB","LA","8","RB62","220.9","62.6","15","4.17","14","0","0","0","0","0","80.5","314.3","2.4","10.4","9.6","57.7","0.2","-","-","-","-","-"
"258","Will Dissly","TE","LAC","12","TE147","687.3","60.7","15","4.05","9","0","0","0","0","0","-","-","-","33.2","26.6","250.3","1.5","-","-","-","-","-"
"259","Parker Washington","WR","JAX","8","WR302","690.7","60.1","15","4.01","15","0","0","0","0","0","-","-","-","36.3","23.7","280.5","1.4","-","-","-","-","-"
"260","Austin Hooper","TE","NE","14","TE169","692.4","59.6","15","3.98","9","0","0","0","0","0","-","-","-","34.4","24.9","259.5","1.5","-","-","-","-","-"
"261","Shedeur Sanders","QB","CLV","9","QB24","205.7","58.9","4","14.73","11","134","87","881","4.5","3","16.0","81.5","0.3","-","-","-","-","-","-","-","-","-"
"262","Trevor Etienne","RB","CAR","14","RB78","286.8","58.7","15","3.91","14","0","0","0","0","0","46.4","207.3","1.0","20.6","16.9","120.0","0.6","-","-","-","-","-"
"263","Tahj Brooks","RB","CIN","10","-","1510.0","58.1","15","3.87","14","0","0","0","0","0","76.7","336.5","2.2","8.0","5.9","46.5","0.2","-","-","-","-","-"
"264","Marquez Valdes-Scantling","WR","SEA","8","WR102","289.8","58.0","15","3.87","15","0","0","0","0","0","-","-","-","34.4","17.6","303.4","1.7","-","-","-","-","-"
"265","Foster Moreau","TE","NO","11","TE134","681.2","57.6","15","3.84","9","0","0","0","0","0","-","-","-","34.0","23.5","242.5","1.7","-","-","-","-","-"
"266","Najee Harris","RB","LAC","12","RB41","143.0","55.6","10","5.56","14","0","0","0","0","0","58.3","225.6","1.7","15.2","12.1","88.5","0.3","-","-","-","-","-"
"267","Cole Kmet","TE","CHI","5","TE36","271.8","55.1","15","3.68","9","0","0","0","0","0","-","-","-","28.7","22.2","231.0","1.7","-","-","-","-","-"
"268","Keaton Mitchell","RB","BLT","7","RB65","238.2","55.0","10","5.50","15","0","0","0","0","0","68.7","332.0","1.5","8.0","6.8","53.4","0.2","-","-","-","-","-"
"269","Jahan Dotson","WR","PHI","9","WR353","698.9","54.1","15","3.61","16","0","0","0","0","0","0.3","1.3","0.0","32.2","21.1","243.8","1.4","-","-","-","-","-"
"270","Jalen Royals","WR","KC","10","WR82","249.5","54.0","15","3.60","16","0","0","0","0","0","-","-","-","31.1","20.2","251.9","1.4","-","-","-","-","-"
"271","Tyler Conklin","TE","LAC","12","TE41","289.2","53.9","15","3.59","9","0","0","0","0","0","-","-","-","30.8","23.6","217.4","1.4","-","-","-","-","-"
"272","Dawson Knox","TE","BUF","7","TE152","688.0","53.7","15","3.58","9","0","0","0","0","0","-","-","-","29.3","20.7","229.5","1.7","-","-","-","-","-"
"273","Isaiah Davis","RB","NYJ","9","RB202","700.0","53.3","14","3.81","15","0","0","0","0","0","51.9","233.8","1.2","15.4","11.9","91.5","0.3","-","-","-","-","-"
"274","Isaac TeSlaa","WR","DET","8","WR78","234.0","51.5","15","3.43","16","0","0","0","0","0","-","-","-","30.5","20.5","225.9","1.4","-","-","-","-","-"
"275","Jalen McMillan","WR","TB","9","WR75","224.4","51.2","7","7.31","16","0","0","0","0","0","-","-","-","29.7","19.0","235.6","1.5","-","-","-","-","-"
"276","Oronde Gadsden II","TE","LAC","12","TE39","279.8","50.7","14","3.62","9","0","0","0","0","0","-","-","-","29.0","21.1","214.0","1.4","-","-","-","-","-"
"277","DJ Giddens","RB","IND","11","RB69","248.9","49.7","15","3.31","15","0","0","0","0","0","51.6","230.7","1.4","13.1","9.8","76.3","0.2","-","-","-","-","-"
"278","KhaDarel Hodge","WR","ATL","5","WR279","687.7","49.7","15","3.31","16","0","0","0","0","0","-","-","-","26.9","17.3","249.1","1.3","-","-","-","-","-"
"279","Chris Brooks","RB","GB","5","RB148","677.1","48.2","14","3.45","15","0","0","0","0","0","42.0","196.4","1.1","14.7","12.3","75.7","0.3","-","-","-","-","-"
"280","Diontae Johnson","WR","CLV","9","WR92","275.2","48.1","13","3.70","16","0","0","0","0","0","0.8","4.4","0.0","29.6","19.3","214.6","1.1","-","-","-","-","-"
"281","Greg Dortch","WR","ARZ","8","WR351","698.5","47.4","14","3.39","16","0","0","0","0","0","3.4","22.2","0.1","27.0","19.5","190.5","1.0","-","-","-","-","-"
"282","Arian Smith","WR","NYJ","9","WR349","698.2","46.5","15","3.10","16","0","0","0","0","0","-","-","-","28.0","18.3","218.8","1.1","-","-","-","-","-"
"283","Kayshon Boutte","WR","NE","14","WR103","295.2","46.4","14","3.31","16","0","0","0","0","0","-","-","-","26.5","16.5","216.6","1.4","-","-","-","-","-"
"284","Chimere Dike","WR","TEN","10","WR370","700.1","46.3","15","3.09","16","0","0","0","0","0","-","-","-","27.1","16.9","219.7","1.3","-","-","-","-","-"
"285","Antonio Gibson","RB","NE","14","RB82","308.6","45.5","15","3.04","15","0","0","0","0","0","49.9","211.1","0.9","12.0","9.9","82.0","0.2","-","-","-","-","-"
"286","Devin Singletary","RB","NYG","14","RB80","303.2","45.4","15","3.03","15","0","0","0","0","0","57.2","220.8","1.3","10.9","9.2","54.7","0.2","-","-","-","-","-"
"287","Lucky Jackson","WR","MIN","6","WR176","649.8","45.2","15","3.02","16","0","0","0","0","0","-","-","-","27.0","16.8","210.4","1.3","-","-","-","-","-"
"288","Josh Oliver","TE","MIN","6","TE135","681.5","45.1","15","3.01","10","0","0","0","0","0","-","-","-","25.4","19.0","189.4","1.2","-","-","-","-","-"
"289","Brandin Cooks","WR","NO","11","WR107","303.3","44.8","14","3.20","16","0","0","0","0","0","-","-","-","31.2","18.0","195.3","1.2","-","-","-","-","-"
"290","Kalif Raymond","WR","DET","8","WR306","691.8","44.8","15","2.98","16","0","0","0","0","0","2.5","16.4","0.0","24.1","17.8","209.8","0.7","-","-","-","-","-"
"291","Jaleel McLaughlin","RB","DEN","12","RB77","281.8","44.7","15","2.98","15","0","0","0","0","0","49.3","214.6","0.9","12.2","10.4","55.2","0.3","-","-","-","-","-"
"292","Emari Demercado","RB","ARZ","8","RB197","699.1","42.6","14","3.04","15","0","0","0","0","0","24.3","132.8","0.4","18.8","14.7","100.2","0.4","-","-","-","-","-"
"293","Allen Lazard","WR","NYJ","9","WR324","695.1","42.2","10","4.22","16","0","0","0","0","0","-","-","-","26.0","16.2","203.4","1.0","-","-","-","-","-"
"294","Curtis Samuel","WR","BUF","7","WR342","696.8","41.4","15","2.76","16","0","0","0","0","0","3.5","14.2","0.1","22.9","16.5","158.8","1.1","-","-","-","-","-"
"295","JuJu Smith-Schuster","WR","KC","10","WR355","699.0","41.3","13","3.18","16","0","0","0","0","0","-","-","-","24.3","16.8","182.8","1.1","-","-","-","-","-"
"296","Taysom Hill","TE","NO","11","TE42","293.6","41.3","7","5.90","10","6","4","41","0.2","0","23.8","140.7","1.0","12.2","8.3","79.5","0.5","-","-","-","-","-"
"297","Jimmy Garoppolo","QB","LA","8","QB84","682.1","41.0","3","13.68","12","93","63","659","3.9","2","5.0","9.8","0.1","-","-","-","-","-","-","-","-","-"
"298","Jeremy Ruckert","TE","NYJ","9","TE185","697.9","40.9","15","2.72","10","0","0","0","0","0","-","-","-","24.9","18.4","168.5","1.0","-","-","-","-","-"
"299","Jordan Whittington","WR","LA","8","WR101","287.3","40.7","15","2.71","16","0","0","0","0","0","0.7","4.4","0.0","22.3","16.7","179.9","0.9","-","-","-","-","-"
"300","Chris Rodriguez Jr.","RB","WAS","12","RB172","691.1","40.2","15","2.68","15","0","0","0","0","0","50.0","228.0","2.0","3.6","3.0","21.2","0.1","-","-","-","-","-"
"301","Jeremy McNichols","RB","WAS","12","RB123","659.0","40.0","15","2.67","15","0","0","0","0","0","28.9","123.2","0.7","14.4","12.4","87.2","0.4","-","-","-","-","-"
"302","Cade Stover","TE","HST","6","TE193","700.0","39.9","15","2.66","10","0","0","0","0","0","-","-","-","24.7","18.3","159.7","1.0","-","-","-","-","-"
"303","Jaylin Lane","WR","WAS","12","WR207","666.3","39.4","15","2.62","16","0","0","0","0","0","-","-","-","22.9","14.2","185.4","1.1","-","-","-","-","-"
"304","Isaac Guerendo","RB","SF","14","RB49","167.5","38.7","13","2.98","16","0","0","0","0","0","42.2","202.5","1.2","6.7","5.4","51.6","0.1","-","-","-","-","-"
"305","Jermaine Burton","WR","CIN","10","WR104","299.5","38.5","14","2.75","17","0","0","0","0","0","-","-","-","22.8","12.2","178.3","1.4","-","-","-","-","-"
"306","Luke Schoonmaker","TE","DAL","10","TE176","694.1","38.1","15","2.54","10","0","0","0","0","0","-","-","-","21.7","16.0","151.1","1.2","-","-","-","-","-"
"307","Zach Wilson","QB","MIA","12","QB115","694.9","37.9","3","12.62","12","97","60","605","2.9","2","8.0","43.7","0.2","-","-","-","-","-","-","-","-","-"
"308","Amari Cooper","WR","FA","","-","1735.0","37.7","7","5.38","17","0","0","0","0","0","-","-","-","23.5","14.1","171.3","1.1","-","-","-","-","-"
"309","Kyle Juszczyk","RB","SF","14","-","1740.0","37.3","15","2.49","16","0","0","0","0","0","5.6","25.4","0.6","19.2","14.7","131.7","0.6","-","-","-","-","-"
"310","Julian Hill","TE","MIA","12","TE71","619.1","37.3","15","2.49","10","0","0","0","0","0","-","-","-","22.6","16.6","147.2","1.0","-","-","-","-","-"
"311","Demarcus Robinson","WR","SF","14","WR304","691.7","37.1","13","2.86","17","0","0","0","0","0","-","-","-","21.6","13.0","184.3","1.0","-","-","-","-","-"
"312","Elijah Higgins","TE","ARZ","8","TE75","628.1","36.8","15","2.45","10","0","0","0","0","0","-","-","-","20.3","16.3","153.3","0.9","-","-","-","-","-"
"313","Sincere McCormick","RB","LV","8","RB166","688.5","36.8","14","2.63","16","0","0","0","0","0","40.0","177.7","0.9","9.3","8.0","49.6","0.2","-","-","-","-","-"
"314","Luke Musgrave","TE","GB","5","TE168","692.1","36.7","11","3.34","10","0","0","0","0","0","-","-","-","19.6","14.8","153.1","1.1","-","-","-","-","-"
"315","Brashard Smith","RB","KC","10","RB71","253.9","36.5","14","2.60","16","0","0","0","0","0","21.9","90.9","0.5","15.6","12.8","90.9","0.4","-","-","-","-","-"
"316","Jonathan Mingo","WR","DAL","10","WR321","694.1","35.8","15","2.39","17","0","0","0","0","0","-","-","-","22.2","13.9","153.1","1.1","-","-","-","-","-"
"317","Devin Neal","RB","NO","11","RB72","259.1","35.3","14","2.52","16","0","0","0","0","0","43.3","176.1","1.0","8.3","6.5","48.6","0.1","-","-","-","-","-"
