"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"36","Drake London","WR","ATL","5","WR9","17.1","255.9","15","17.06","4","0","0","0","0","0","1.9","3.1","0.1","139.5","92.2","1157.9","8.0","-","-","-","-","-"
"37","Amon-Ra St. Brown","WR","DET","8","WR4","7.4","250.0","15","16.67","4","0","0","0","0","0","2.5","15.1","0.1","126.0","91.5","1124.6","7.4","-","-","-","-","-"
"38","Chase Brown","RB","CIN","10","RB12","28.2","248.9","15","16.59","4","0","0","0","0","0","230.2","996.2","8.3","58.5","49.9","354.1","2.6","-","-","-","-",""
"39","A.J. Brown","WR","PHI","9","WR10","17.6","245.4","15","16.36","4","0","0","0","0","0","-","-","-","121.2","80.1","1217.6","7.3","-","-","-","-","-"
"40","Jonathan Taylor","RB","IND","11","RB10","23.1","245.0","14","17.50","4","0","0","0","0","0","273.4","1279.5","10.5","38.5","29.5","211.3","0.9","-","-","-","-","-"
"41","Ladd McConkey","WR","LAC","12","WR11","24.6","244.3","15","16.29","4","0","0","0","0","0","-","-","-","116.5","83.4","1235.1","6.4","-","-","-","-",""
"42","Aaron Rodgers","QB","PIT","5","QB27","215.6","243.9","15","16.26","5","505","328","3625","25.0","10","21.2","91.6","0.3","-","-","-","-","-","-","-","-","-"
"43","Tyreek Hill","WR","MIA","12","WR12","25.7","242.9","15","16.19","4","0","0","0","0","0","4.8","30.5","0.1","128.3","88.8","1092.4","6.9","-","-","-","-",""
"44","Tee Higgins","WR","CIN","10","WR14","30.6","242.0","14","17.28","4","0","0","0","0","0","-","-","-","123.7","82.0","1078.7","8.8","-","-","-","-","-"
"45","Trey McBride","TE","ARZ","8","TE2","26.6","241.2","15","16.08","1","0","0","0","0","0","-","-","-","133.1","103.0","1050.6","5.6","-","-","-","-","-"
"46","Josh Jacobs","RB","GB","5","RB8","19.5","241.2","15","16.08","4","0","0","0","0","0","245.9","1072.0","10.6","40.8","34.5","311.3","1.0","-","-","-","-","-"
"47","Michael Penix Jr.","QB","ATL","5","QB22","182.9","240.6","15","16.04","5","483","311","3659","20.8","13","37.7","129.7","2.3","-","-","-","-","-","-","-","-","-"
"48","Bryce Young","QB","CAR","14","QB23","190.1","240.6","15","16.04","5","494","314","3218","20.7","10","55.9","334.8","1.7","-","-","-","-","-","-","-","-","-"
"49","Geno Smith","QB","LV","8","QB30","240.0","240.5","15","16.03","5","499","343","3641","20.1","11","46.5","208.4","1.3","-","-","-","-","-","-","-","-","-"
"50","Mike Evans","WR","TB","9","WR17","39.3","237.9","15","15.86","5","0","0","0","0","0","-","-","-","115.3","73.6","1087.6","9.3","-","-","-","-","-"
"51","Sam Darnold","QB","SEA","8","QB28","221.2","235.7","15","15.71","5","492","315","3554","20.3","11","51.4","215.2","1.1","-","-","-","-","-","-","-","-","-"
"52","Cameron Ward","QB","TEN","10","QB20","163.9","235.3","15","15.69","5","483","313","3460","20.1","11","49.0","241.5","1.1","-","-","-","-","-","-","-","-","-"
"53","Tua Tagovailoa","QB","MIA","12","QB26","212.8","234.2","14","16.73","5","501","350","3669","22.6","10","26.3","76.8","0.5","-","-","-","-","-","-","-","-","-"
"54","Kenneth Walker III","RB","SEA","8","RB17","44.6","234.0","14","16.72","4","0","0","0","0","0","228.4","928.5","9.5","53.6","44.8","326.4","1.3","-","-","-","","-"
"55","Alvin Kamara","RB","NO","11","RB15","40.4","233.4","14","16.67","5","0","0","0","0","0","207.0","848.4","5.7","77.4","60.0","461.8","1.6","-","-","-","-","-"
"56","Brock Bowers","TE","LV","8","TE1","16.2","231.4","15","15.43","1","0","0","0","0","0","-","-","-","120.5","93.0","1038.5","5.8","-","-","-","-","-"
"57","Davante Adams","WR","LA","8","WR19","43.8","228.3","15","15.22","5","0","0","0","0","0","-","-","-","126.6","83.0","1009.5","7.4","-","-","-","","-"
"58","DK Metcalf","WR","PIT","5","WR20","44.2","226.9","15","15.13","5","0","0","0","0","0","-","-","-","122.2","74.6","1043.0","8.1","-","-","-","","-"
"59","Jaxon Smith-Njigba","WR","SEA","8","WR13","29.0","226.4","15","15.09","5","0","0","0","0","0","4.6","24.5","0.0","120.3","80.5","1059.6","6.3","-","-","-","-","-"
"60","Kyren Williams","RB","LA","8","RB11","26.2","226.3","14","16.17","5","0","0","0","0","0","266.7","1137.2","10.6","32.6","27.2","160.3","1.3","-","-","-","-","-"
"61","Jaylen Waddle","WR","MIA","12","WR31","68.4","226.2","15","15.08","5","0","0","0","0","0","1.5","7.9","0.1","121.7","85.2","1044.4","6.0","-","-","-","","-"
"62","James Conner","RB","ARZ","8","RB19","50.9","222.9","15","14.86","5","0","0","0","0","0","215.6","1021.3","8.2","45.2","37.5","304.6","0.9","-","-","-","","-"
"63","Matthew Stafford","QB","LA","8","QB25","211.4","221.8","14","15.84","6","467","313","3438","21.7","9","26.2","36.9","0.8","-","-","-","-","-","-","-","-","-"
"64","Chuba Hubbard","RB","CAR","14","RB18","46.9","220.9","15","14.73","5","0","0","0","0","0","223.4","987.8","9.0","46.7","39.8","231.3","1.1","-","-","-","","-"
"65","Garrett Wilson","WR","NYJ","9","WR15","33.3","220.6","15","14.71","6","0","0","0","0","0","0.9","2.7","0.0","123.2","83.1","1034.3","5.7","-","-","-","-","-"
"66","James Cook","RB","BUF","7","RB13","32.4","218.5","15","14.56","5","0","0","0","0","0","216.5","1043.0","9.9","31.7","26.2","223.8","1.3","-","-","-","-","-"
"67","Omarion Hampton","RB","LAC","12","RB16","41.8","218.3","15","14.55","6","0","0","0","0","0","220.1","1043.9","9.2","37.8","30.9","231.8","1.1","-","-","-","-",""
"68","Xavier Worthy","WR","KC","10","WR26","56.4","215.9","15","14.40","6","0","0","0","0","0","12.8","66.6","0.4","109.8","75.1","946.8","6.3","-","-","-","-","-"
"69","Courtland Sutton","WR","DEN","12","WR23","51.0","214.2","15","14.28","6","0","0","0","0","0","-","-","-","117.1","72.2","946.7","8.0","-","-","-","-","-"
"70","Daniel Jones","QB","IND","11","QB36","278.3","213.7","13","16.44","6","431","273","2867","14.0","9","76.3","397.1","2.6","-","-","-","-","-","-","-","-","-"
"71","Breece Hall","RB","NYJ","9","RB14","34.1","213.3","15","14.22","6","0","0","0","0","0","222.3","969.5","5.7","50.8","40.6","341.1","1.5","-","-","-","-","-"
"72","Tony Pollard","RB","TEN","10","RB27","76.8","213.0","15","14.20","6","0","0","0","0","0","233.4","1015.5","6.7","51.3","42.0","230.0","1.3","-","-","-","","-"
"73","Jerry Jeudy","WR","CLV","9","WR33","74.7","211.3","15","14.09","6","0","0","0","0","0","-","-","-","120.1","80.2","1022.1","4.9","-","-","-","","-"
"74","Marvin Harrison Jr.","WR","ARZ","8","WR16","35.2","210.7","15","14.04","6","0","0","0","0","0","-","-","-","117.8","70.5","933.5","7.9","-","-","-","-","-"
"75","Terry McLaurin","WR","WAS","12","WR18","42.0","210.6","15","14.04","6","0","0","0","0","0","0.6","2.4","0.0","104.7","72.8","997.4","6.4","-","-","-","-","-"
"76","Tetairoa McMillan","WR","CAR","14","WR28","59.4","209.6","15","13.97","6","0","0","0","0","0","-","-","-","119.1","77.2","934.5","6.6","-","-","-","-",""
"77","Calvin Ridley","WR","TEN","10","WR32","71.1","208.7","15","13.91","6","0","0","0","0","0","6.5","39.8","0.1","114.6","67.7","1014.8","5.9","-","-","-","","-"
"78","George Pickens","WR","DAL","10","WR27","58.4","208.4","15","13.89","6","0","0","0","0","0","-","-","-","113.5","70.0","990.7","6.7","-","-","-","-","-"
"79","RJ Harvey","RB","DEN","12","RB23","64.9","208.3","15","13.89","6","0","0","0","0","0","176.7","800.7","5.2","59.1","49.4","366.1","2.1","-","-","-","-","-"
"80","George Kittle","TE","SF","14","TE3","37.9","207.6","15","13.84","2","0","0","0","0","0","-","-","-","95.9","68.8","1026.4","6.1","-","-","-","-",""
"81","Zay Flowers","WR","BLT","7","WR25","55.7","201.4","15","13.43","7","0","0","0","0","0","7.4","46.4","0.2","103.0","68.4","952.3","5.4","-","-","-","-","-"
"82","Jameson Williams","WR","DET","8","WR29","62.2","201.1","15","13.40","7","0","0","0","0","0","11.9","109.4","0.4","94.6","59.6","949.1","5.6","-","-","-","-","-"
"83","David Montgomery","RB","DET","8","RB20","54.0","201.0","15","13.40","7","0","0","0","0","0","188.2","781.4","10.8","37.3","31.8","250.6","0.4","-","-","-","-","-"
"84","Aaron Jones","RB","MIN","6","RB25","69.5","198.9","15","13.26","7","0","0","0","0","0","190.8","832.6","4.6","53.3","44.4","327.7","2.1","-","-","-","-","-"
"85","DeVonta Smith","WR","PHI","9","WR24","53.6","196.9","15","13.12","7","0","0","0","0","0","0.3","1.1","0.0","98.1","68.7","925.3","6.0","-","-","-","-","-"
"86","DJ Moore","WR","CHI","5","WR22","49.0","196.5","15","13.10","7","0","0","0","0","0","7.1","38.8","0.2","109.2","74.3","867.8","5.1","-","-","-","-","-"
"87","Isiah Pacheco","RB","KC","10","RB22","61.6","195.1","15","13.01","7","0","0","0","0","0","219.8","921.2","7.0","39.6","33.9","209.9","1.2","-","-","-","","-"
"88","D'Andre Swift","RB","CHI","5","RB26","70.6","194.9","15","12.99","7","0","0","0","0","0","202.8","830.7","5.9","47.2","38.1","325.6","1.2","-","-","-","-","-"
"89","Travis Kelce","TE","KC","10","TE6","62.4","193.5","15","12.90","2","0","0","0","0","0","-","-","-","106.5","80.1","761.2","6.3","-","-","-","","-"
"90","Jaxson Dart","QB","NYG","14","QB29","237.2","193.2","11","17.56","7","363","230","2581","14.2","8","59.3","328.9","1.8","-","-","-","-","-","-","-","-","-"
"91","Jakobi Meyers","WR","LV","8","WR37","82.1","193.0","15","12.87","7","0","0","0","0","0","-","-","-","107.1","75.2","877.9","5.1","-","-","-","","-"
"92","Travis Hunter","WR","JAX","8","WR30","66.6","192.9","15","12.86","7","0","0","0","0","0","-","-","-","107.2","71.7","883.8","5.5","-","-","-","-","-"
"93","TreVeyon Henderson","RB","NE","14","RB21","60.7","190.7","15","12.71","7","0","0","0","0","0","180.0","833.7","5.5","44.9","36.7","298.8","1.6","-","-","-","-","-"
"94","Deebo Samuel Sr.","WR","WAS","12","WR38","84.2","185.9","15","12.40","8","0","0","0","0","0","26.1","110.0","0.9","94.1","64.5","784.1","4.5","-","-","-","-","-"
"95","Sam LaPorta","TE","DET","8","TE4","47.4","182.0","15","12.13","3","0","0","0","0","0","-","-","-","90.5","69.1","752.3","6.3","-","-","-","-","-"
"96","Jauan Jennings","WR","SF","14","WR46","101.8","179.2","15","11.95","8","0","0","0","0","0","-","-","-","97.9","65.7","830.2","5.2","-","-","-","-","-"
