lock_version,model_run_id,forecast_origin,position,history_group,prior_rows,primary_rmse,projection_only_rmse,selected_source
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2017,QB,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2017,RB,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2017,WR,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2017,TE,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2018,QB,limited_history,7,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2018,RB,limited_history,39,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2018,WR,limited_history,57,2.7774965954482758,2.850552300982421,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2018,TE,limited_history,22,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2019,QB,limited_history,7,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2019,RB,limited_history,83,4.334781011231151,4.552979952888992,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2019,WR,limited_history,107,2.6734347604913964,2.7393972733118197,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2019,TE,limited_history,52,2.033251002971258,2.0643481061718223,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2020,QB,limited_history,18,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2020,RB,limited_history,125,3.8176183171453424,3.960015858221123,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2020,WR,limited_history,162,2.781363261235141,2.7761140749947275,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2020,TE,limited_history,74,2.125614663055638,2.1765721730529184,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2021,QB,limited_history,27,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2021,RB,limited_history,168,3.7096301154527254,3.80357698895634,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T205302Z_20da218f,2021,WR,limited_history,217,2.7764271691307116,2.7722786790796974,conditional_ppg_projection_only
