Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,1,1,1,1,1.0,1
2,Bijan Robinson   ATL (11),RB2,2,2,2,2,2,2.0,2
3,Ja'Marr Chase   CIN (6),WR1,3,3,3,3,3,3.0,3
4,Puka Nacua   LAR (11),WR2,4,4,5,4,4,4.2,4
5,Christian McCaffrey   SF (8),RB3,6,5,7,5,5,5.6,5
6,Jaxon Smith-Njigba   SEA (11),WR3,5,6,6,6,6,5.8,6
7,Jonathan Taylor   IND (13),RB4,7,7,4,7,7,6.4,7
8,Amon-Ra St. Brown   DET (6),WR4,8,9,8,8,8,8.2,8
9,James Cook III   BUF (7),RB5,11,10,9,9,9,9.6,9
10,CeeDee Lamb   DAL (14),WR5,9,8,14,13,11,11.0,10
11,De'Von Achane   MIA (6),RB6,10,12,10,10,13,11.0,13  -2
12,Justin Jefferson   MIN (6),WR6,12,11,16,12,10,12.2,12
13,Saquon Barkley   PHI (10),RB7,13,13,13,14,14,13.4,11  +2
14,Chase Brown   CIN (6),RB8,18,16,11,11,12,13.6,14
15,Ashton Jeanty   LV (13),RB9,14,14,15,17,18,15.6,20  -5
16,Derrick Henry   BAL (13),RB10,15,20,12,18,20,17.0,17  -1
17,Kenneth Walker III   KC (5),RB11,20,19,17,16,16,17.6,16  +1
18,Omarion Hampton   LAC (7),RB12,24,15,20,15,15,17.8,15  +3
19,Drake London   ATL (11),WR7,16,17,19,21,21,18.8,18  +1
20,A.J. Brown   NE (11),WR8,25,18,21,19,17,20.0,19  +1
21,Trey McBride   ARI (14),TE1,17,21,28,20,25,22.2,25  -4
22,Brock Bowers   LV (13),TE2,23,23,27,24,19,23.2,22
23,Josh Allen   BUF (7),QB1,19,22,18,28,31,23.6,24  -1
24,Nico Collins   HOU (8),WR9,26,25,25,25,22,24.6,21  +3
25,George Pickens   DAL (14),WR10,27,24,22,26,26,25.0,23  +2
26,Rashee Rice   KC (5),WR11,21,26,23,34,28,26.4,31  -5
27,Chris Olave   NO (8),WR12,28,30,29,22,24,26.6,28  -1
28,Malik Nabers   NYG (8),WR13,29,28,30,27,23,27.4,27  +1
29,Jeremiyah Love   ARI (14),RB13,22,27,31,29,33,28.4,30  -1
30,Kyren Williams   LAR (11),RB14,36,29,24,30,27,29.2,26  +4
31,Javonte Williams   DAL (14),RB15,31,36,32,23,30,30.4,33  -2
32,Josh Jacobs   GB (11),RB16,33,31,26,32,40,32.4,39  -7
33,Breece Hall   NYJ (13),RB17,30,33,38,31,32,32.8,32  +1
34,DeVonta Smith   PHI (10),WR14,35,35,36,36,29,34.2,29  +5
35,Zay Flowers   BAL (13),WR15,37,42,34,37,34,36.8,35
36,Travis Etienne Jr.   NO (8),RB18,39,45,37,35,35,38.2,44  -8
37,Cam Skattebo   NYG (8),RB19,40,43,33,41,41,39.6,45  -8
