source_player,player_key,keeper_salary,player
Bhayshul Tuten,ab2bf058-accf-56da-b7c3-c7276db2dea6,11.0,Bhayshul Tuten
Cam Skattebo,2f82d513-7207-5697-bf4d-b56975fb8f12,18.0,Cam Skattebo
Chase Brown,f1e6dc08-0452-51b0-aeb1-d9ea3334ec60,34.0,Chase Brown
Christian Mccaffrey,e07d3f8d-4844-56f8-9663-65ceaa3310d8,72.0,Christian McCaffrey
Garrett Wilson,4d52e389-fcf9-50ee-8ef0-6342a68e37ef,37.0,Garrett Wilson
George Pickens,66c24f07-355a-51ad-805a-6010b844efe5,39.0,George Pickens
James Cook,c52fd5b1-43fe-54b2-8bc3-f59cff441066,67.0,James Cook
Javonte Williams,68a8b38b-fadc-5a25-95a2-699a94e5f913,17.0,Javonte Williams
Jaxon Smith Njigba,d6a4da7c-fbd3-597b-974c-e696114f785f,42.0,Jaxon Smith-Njigba
Mike Evans,84d1a6c3-9e01-5bed-b78c-088680454c1a,11.0,Mike Evans
Nico Collins,ab7af06e-aa31-5252-a689-7e8b2072cdbc,42.0,Nico Collins
Quinshon Judkins,67603a88-cade-50e4-9720-302576eb2962,20.0,Quinshon Judkins
Travis Etienne,c7d6b991-01e0-5ca4-b20b-689206d992c5,20.0,Travis Etienne
Tucker Kraft,2d81dad5-0b57-5fc0-b5d9-88263ffa4cf4,11.0,Tucker Kraft
