scenario,block,context,season_score
open_central_choice,0,0,1801.36669921875
open_central_choice,0,1,1733.513916015625
open_central_choice,0,2,1466.3551025390625
open_central_choice,0,3,1430.267333984375
open_central_choice,0,4,1503.890380859375
open_central_choice,0,5,1725.437255859375
open_central_choice,0,6,1486.71044921875
open_central_choice,0,7,1564.432861328125
open_central_choice,0,8,1602.3636474609375
open_central_choice,0,9,1429.349609375
open_central_choice,0,10,1444.38330078125
open_central_choice,0,11,1430.5601806640625
open_central_choice,0,12,1426.0513916015625
open_central_choice,0,13,1959.163818359375
open_central_choice,0,14,1660.2740478515625
open_central_choice,0,15,1826.251708984375
open_central_choice,0,16,1593.653076171875
open_central_choice,0,17,1345.053466796875
open_central_choice,0,18,1496.7052001953125
open_central_choice,0,19,1618.109130859375
open_central_choice,0,20,1771.3548583984375
open_central_choice,0,21,1808.36865234375
open_central_choice,0,22,1728.4508056640625
open_central_choice,0,23,1799.71240234375
open_central_choice,0,24,1716.212158203125
open_central_choice,0,25,1553.109375
open_central_choice,0,26,1554.811279296875
open_central_choice,0,27,1579.3255615234375
open_central_choice,0,28,1520.55322265625
open_central_choice,0,29,1655.364990234375
open_central_choice,0,30,1539.7008056640625
open_central_choice,0,31,1742.2451171875
open_central_choice,0,32,1813.983642578125
open_central_choice,0,33,1683.65478515625
open_central_choice,0,34,1761.6622314453125
open_central_choice,0,35,1825.5146484375
open_central_choice,0,36,1591.06884765625
open_central_choice,0,37,1517.3736572265625
open_central_choice,0,38,1769.1500244140625
open_central_choice,0,39,1744.476806640625
open_central_choice,0,40,1714.3203125
open_central_choice,0,41,1628.640625
open_central_choice,0,42,1372.8067626953125
open_central_choice,0,43,1776.716552734375
open_central_choice,0,44,1477.315185546875
open_central_choice,0,45,1824.661865234375
open_central_choice,0,46,1888.70166015625
open_central_choice,0,47,1584.5672607421875
open_central_choice,0,48,1652.1512451171875
open_central_choice,0,49,1443.6986083984375
open_central_choice,0,50,1585.8040771484375
open_central_choice,0,51,1800.4796142578125
open_central_choice,0,52,1364.3504638671875
open_central_choice,0,53,1555.615478515625
open_central_choice,0,54,1642.078857421875
open_central_choice,0,55,1436.287841796875
open_central_choice,0,56,1528.011474609375
open_central_choice,0,57,1912.551025390625
open_central_choice,0,58,1642.66015625
open_central_choice,0,59,1500.193115234375
open_central_choice,0,60,1637.5970458984375
open_central_choice,0,61,1519.995361328125
open_central_choice,0,62,1557.569580078125
open_central_choice,0,63,1743.127685546875
buy_bijan_105,0,0,1662.168212890625
buy_bijan_105,0,1,1850.912353515625
buy_bijan_105,0,2,1512.85986328125
buy_bijan_105,0,3,1623.2303466796875
buy_bijan_105,0,4,1497.4630126953125
buy_bijan_105,0,5,1914.53173828125
buy_bijan_105,0,6,1486.9610595703125
buy_bijan_105,0,7,1608.8916015625
buy_bijan_105,0,8,1542.01416015625
buy_bijan_105,0,9,1203.881591796875
buy_bijan_105,0,10,1582.4302978515625
buy_bijan_105,0,11,1781.4312744140625
buy_bijan_105,0,12,1454.666015625
buy_bijan_105,0,13,1939.4329833984375
buy_bijan_105,0,14,1854.432373046875
buy_bijan_105,0,15,1751.994873046875
buy_bijan_105,0,16,1592.7060546875
buy_bijan_105,0,17,1787.463134765625
buy_bijan_105,0,18,1559.2359619140625
buy_bijan_105,0,19,1626.7437744140625
buy_bijan_105,0,20,1696.5504150390625
buy_bijan_105,0,21,1575.7630615234375
buy_bijan_105,0,22,1866.5257568359375
buy_bijan_105,0,23,1763.0791015625
buy_bijan_105,0,24,1666.638916015625
buy_bijan_105,0,25,1592.5020751953125
buy_bijan_105,0,26,1647.64404296875
buy_bijan_105,0,27,1793.2032470703125
buy_bijan_105,0,28,1747.675537109375
buy_bijan_105,0,29,1657.13525390625
buy_bijan_105,0,30,1708.420654296875
buy_bijan_105,0,31,1791.4405517578125
buy_bijan_105,0,32,1862.2508544921875
buy_bijan_105,0,33,1719.291015625
buy_bijan_105,0,34,1616.3406982421875
buy_bijan_105,0,35,1703.13720703125
buy_bijan_105,0,36,1799.7275390625
buy_bijan_105,0,37,1514.63427734375
buy_bijan_105,0,38,1871.849609375
buy_bijan_105,0,39,1856.1494140625
buy_bijan_105,0,40,1680.89404296875
buy_bijan_105,0,41,1605.4853515625
buy_bijan_105,0,42,1538.1783447265625
buy_bijan_105,0,43,1613.61572265625
buy_bijan_105,0,44,1545.770751953125
buy_bijan_105,0,45,1742.2177734375
buy_bijan_105,0,46,1516.646484375
buy_bijan_105,0,47,1749.710693359375
buy_bijan_105,0,48,1551.1976318359375
buy_bijan_105,0,49,1593.721923828125
buy_bijan_105,0,50,1911.5811767578125
buy_bijan_105,0,51,1977.429931640625
buy_bijan_105,0,52,1462.2091064453125
buy_bijan_105,0,53,1467.438720703125
buy_bijan_105,0,54,1600.664306640625
