case,variation,gain,se,lcb80,recommendation,block_positive_rate,block_gain_min,block_gain_max,buy_completion,pass_completion,paired_rate
variation0_top_on_reserve_off,0,22.5990102074363,7.998612020778911,15.867208491637214,TARGET,100.0,18.815406322479248,26.620775540669758,100.0,97.91666666666667,97.91666666666667
variation1_top_on_reserve_off_extra,1,23.071837204875365,7.051147255324789,17.13744195374465,TARGET,100.0,18.32101145657626,29.225632508595783,97.91666666666667,100.0,97.91666666666667
variation2_top_on_reserve_off_extra,2,25.964711864789326,7.854829186945923,19.35392083496737,TARGET,100.0,16.29198678334554,38.053266525268555,100.0,100.0,100.0
variation3_top_on_reserve_off_extra,3,22.444781827204157,7.306240224625169,16.295694916575076,TARGET,100.0,10.309911092122396,38.913787841796875,97.91666666666667,97.91666666666667,97.91666666666667
variation4_top_on_reserve_off_extra,4,17.324307878812153,9.604023197571587,9.241358028009069,TARGET,75.0,-4.682149410247803,37.9322125116984,100.0,100.0,100.0
variation5_top_on_reserve_off_extra,5,31.639610687891643,7.657272097557865,25.195087899341537,TARGET,100.0,29.819456418355305,33.91059478123983,100.0,100.0,100.0
variation6_top_on_reserve_off_extra,6,9.840630316734314,11.625405466603816,0.05644222714590974,TARGET,75.0,-22.94341214497884,28.74949248631795,97.91666666666667,97.91666666666667,95.83333333333333
variation14_top_on_reserve_off,14,27.444371736410893,6.778646713786761,21.739318727198697,TARGET,100.0,14.848971684773764,33.80168897455389,97.91666666666667,100.0,97.91666666666667
