branch,player,pos,paths,path_rate,mean_acquisition_salary,pred_ppg
buy,Aaron Jones,RB,2,0.0425531914893617,7.0,8.435749467037397
buy,Adonai Mitchell,WR,4,0.0851063829787234,2.25,6.230238133515505
buy,Alec Pierce,WR,5,0.10638297872340426,7.8,9.469769148033334
buy,Alvin Kamara,RB,7,0.14893617021276595,2.857142857142857,6.937950633900101
buy,Antonio Williams,WR,3,0.06382978723404255,2.0,5.538092510691674
buy,Bhayshul Tuten,RB,47,1.0,11.0,11.212882774417402
buy,Bijan Robinson,RB,47,1.0,105.0,18.772825045792384
buy,Bo Nix,QB,3,0.06382978723404255,2.0,17.153215289744992
buy,Braelon Allen,RB,1,0.02127659574468085,3.0,5.735718929981085
buy,Brenton Strange,TE,2,0.0425531914893617,2.0,7.11822391710393
buy,Brian Robinson,RB,1,0.02127659574468085,2.0,6.3839162161520555
buy,Brock Purdy,QB,5,0.10638297872340426,3.8,17.925773007347512
buy,Cade Otton,TE,3,0.06382978723404255,3.0,6.103326042804461
buy,Caleb Douglas,WR,1,0.02127659574468085,2.0,6.222677661404975
buy,Caleb Williams,QB,2,0.0425531914893617,5.0,17.596931982522573
buy,Chase Brown,RB,47,1.0,34.0,15.216170500896881
buy,Chig Okonkwo,TE,3,0.06382978723404255,2.3333333333333335,6.647157319823752
buy,Chris Godwin Jr.,WR,7,0.14893617021276595,4.285714285714286,9.026425985009654
buy,Chris Rodriguez Jr.,RB,5,0.10638297872340426,3.4,6.906269042035476
buy,DK Metcalf,WR,3,0.06382978723404255,8.666666666666666,9.577577467262685
buy,Dak Prescott,QB,8,0.1702127659574468,5.75,18.062895084123543
buy,Dalton Kincaid,TE,9,0.19148936170212766,3.6666666666666665,8.32526439910349
buy,Dalton Schultz,TE,5,0.10638297872340426,2.4,6.616077693705445
buy,De'Zhaun Stribling,WR,4,0.0851063829787234,3.25,7.177427977391633
buy,Deebo Samuel Sr.,WR,9,0.19148936170212766,3.2222222222222223,8.116224691381703
buy,Demond Claiborne,RB,1,0.02127659574468085,2.0,4.331382751933077
buy,Denzel Boston,WR,3,0.06382978723404255,2.6666666666666665,7.1465135393298995
buy,Devaughn Vele,WR,3,0.06382978723404255,2.0,5.815817957645557
buy,Dylan Sampson,RB,5,0.10638297872340426,2.6,6.437556560778469
buy,Emanuel Wilson,RB,4,0.0851063829787234,2.25,4.684318503600821
buy,Emmett Johnson,RB,1,0.02127659574468085,2.0,5.297610837529561
buy,George Kittle,TE,17,0.3617021276595745,3.9411764705882355,8.890982691253805
buy,Germie Bernard,WR,1,0.02127659574468085,3.0,5.731604033996201
buy,Harold Fannin Jr.,TE,2,0.0425531914893617,3.5,9.378671238910599
buy,Hunter Henry,TE,2,0.0425531914893617,2.0,7.498951156674188
buy,Isaiah Likely,TE,2,0.0425531914893617,7.5,8.014793755629738
buy,Isiah Pacheco,RB,1,0.02127659574468085,2.0,6.834477246016003
buy,Ja'Kobi Lane,WR,5,0.10638297872340426,2.0,6.446555434682832
buy,Jahmyr Gibbs,RB,47,1.0,110.0,18.945767615858642
buy,Jakobi Meyers,WR,15,0.3191489361702128,5.8,8.686701015279505
buy,Jalen Coker,WR,7,0.14893617021276595,3.2857142857142856,7.926712765491676
buy,Jalen McMillan,WR,3,0.06382978723404255,2.0,7.079114583682536
buy,Jalen Nailor,WR,6,0.1276595744680851,2.0,6.594407439913808
buy,Jared Goff,QB,3,0.06382978723404255,2.0,16.79123371719864
buy,Jauan Jennings,WR,1,0.02127659574468085,2.0,6.560538558197282
buy,Jaxson Dart,QB,4,0.0851063829787234,2.25,17.803470232248014
buy,Jayden Reed,WR,7,0.14893617021276595,5.428571428571429,9.076482258848609
buy,Jaylin Noel,WR,2,0.0425531914893617,2.0,6.287410182853303
buy,Jerry Jeudy,WR,2,0.0425531914893617,2.5,6.78452008176921
buy,Jordan Addison,WR,18,0.3829787234042553,4.666666666666667,8.91555149101938
buy,Jordan James,RB,1,0.02127659574468085,2.0,4.572473817823252
buy,Jordan Love,QB,3,0.06382978723404255,2.0,15.826065582306887
buy,Jordyn Tyson,WR,3,0.06382978723404255,4.666666666666667,8.806841547692656
buy,Josh Downs,WR,9,0.19148936170212766,5.111111111111111,8.700180940083406
buy,Justin Herbert,QB,3,0.06382978723404255,3.3333333333333335,16.651435028503723
buy,KC Concepcion,WR,10,0.2127659574468085,3.1,8.429900619176456
buy,Kaelon Black,RB,2,0.0425531914893617,2.5,4.88610540763797
buy,Kaytron Allen,RB,3,0.06382978723404255,2.0,4.3888262109106835
buy,Keaton Mitchell,RB,2,0.0425531914893617,2.0,6.398073269948648
buy,Keenan Allen,WR,1,0.02127659574468085,2.0,6.488601372332277
buy,Kenyon Sadiq,TE,2,0.0425531914893617,5.0,6.9779205827533
buy,Khalil Shakir,WR,8,0.1702127659574468,3.875,7.96685743325348
buy,Kimani Vidal,RB,1,0.02127659574468085,2.0,5.112901569423034
buy,Kyle Monangai,RB,2,0.0425531914893617,4.5,8.895917000857205
buy,Kyle Pitts,TE,2,0.0425531914893617,4.0,9.139308350844432
buy,Kyler Murray,QB,1,0.02127659574468085,2.0,16.009705725485855
buy,Makai Lemon,WR,18,0.3829787234042553,5.555555555555555,8.881125751134372
buy,MarShawn Lloyd,RB,3,0.06382978723404255,2.3333333333333335,5.930533716379444
buy,Mark Andrews,TE,7,0.14893617021276595,3.2857142857142856,8.047885416901709
