scenario,score_mean,score_p10,forecast_spend,contains_bijan,contains_tee_higgins,contains_emeka_egbuka
buy_bijan_105,1655.144859790802,1473.7999267578125,297.9495665554223,1.0,0.0,0.0
open_central_choice,1646.377037525177,1473.3834228515625,297.136699775918,0.0,0.0,0.25
pass_bijan,1646.377037525177,1473.3834228515625,297.0184776317668,0.0,0.0,0.25
pass_bijan_force_two_mid_wrs,1654.9616751670837,1489.0753173828125,297.1977649263679,0.0,1.0,1.0
