policy,seasons,forced_option_count,forced_young_count,candidate_attempts,reoptimization_refine_swaps,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_playoff_points,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,actual_best_keeper_surplus,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg
control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.6580810546875,2.3419189453125,245.29981231689453,50.358266830444336,106.58162069320679,1181.5449981689453,1598.4499206542969,1476.7331237792969,1710.0893249511719,0.5298828706145287,0.0,1652.7830200195312,1531.8131103515625,1784.2272033691406,1540.0700378417969,1435.3700256347656,33.25,396.4099884033203,35.419601436383786,0.77,0.693,0.637,35.896322036089416,0.5,0.5,12.806931734085083
reinvest_k1,1,0.75,0.75,6.0,0.0,4.25,3.5,7.75,296.8467712402344,1.153228759765625,241.2735137939453,55.573256492614746,104.1964910030365,1310.7799987792969,1557.2793579101562,1426.8304443359375,1698.3618469238281,0.5630412101745605,105.92849731445312,1605.0553894042969,1467.2214050292969,1740.3912963867188,1642.8150329589844,1597.7799682617188,36.75,452.02498626708984,41.22307035365792,0.801,0.734,0.6890000000000001,36.67134719552861,0.75,0.5,12.76869511604309
reinvest_k2,1,1.5,1.25,12.0,0.25,3.5,3.5,7.0,295.06848907470703,2.9315109252929688,249.67434692382812,45.39414882659912,104.78593111038208,1199.2450256347656,1558.2951049804688,1400.4022827148438,1683.7899169921875,0.5468678772449493,108.363037109375,1600.9810791015625,1447.0879516601562,1749.5849914550781,1532.0050354003906,1456.4200134277344,42.25,414.2749938964844,43.44754009111735,0.8180000000000001,0.731,0.683,3.8827062845230103,0.25,0.0,10.203694820404053
reinvest_k3,1,2.25,2.0,18.0,1.0,4.0,3.5,7.5,291.3138885498047,6.6861114501953125,252.84117126464844,38.47271490097046,104.28590202331543,1227.9950561523438,1559.2760620117188,1434.0255737304688,1675.2060241699219,0.5925474315881729,96.86822509765625,1607.2083740234375,1473.3657836914062,1759.0228576660156,1581.7150268554688,1526.0199890136719,39.0,438.05000305175787,46.95646737660351,0.83,0.749,0.7070000000000001,17.435085866387592,0.25,0.25,10.57675313949585
