lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.258,0.258,0.239,0.245,17.88,14.15,0.512,0.716,0.422,0.649
0.246,0.255,0.25,0.249,18.49,14.67,0.478,0.692,0.422,0.649
0.247,0.255,0.25,0.248,18.52,14.76,0.479,0.692,0.422,0.649
0.244,0.256,0.25,0.249,18.53,14.7,0.476,0.69,0.422,0.649
0.245,0.255,0.251,0.249,18.54,14.75,0.478,0.691,0.422,0.649
0.248,0.253,0.25,0.249,18.66,15.01,0.48,0.693,0.422,0.649
0.249,0.254,0.246,0.251,18.73,15.11,0.485,0.696,0.422,0.649
0.248,0.252,0.254,0.246,18.74,15.06,0.48,0.693,0.422,0.649
0.248,0.253,0.25,0.249,18.75,15.08,0.485,0.697,0.422,0.649
0.248,0.25,0.252,0.25,18.75,15.0,0.475,0.69,0.422,0.649
0.247,0.253,0.247,0.252,18.83,15.18,0.477,0.69,0.422,0.649
0.253,0.257,0.235,0.255,18.89,15.19,0.474,0.688,0.422,0.649
0.242,0.254,0.253,0.252,18.89,15.09,0.473,0.687,0.422,0.649
0.252,0.258,0.235,0.255,18.9,15.21,0.483,0.695,0.422,0.649
0.262,0.267,0.211,0.26,18.92,15.32,0.483,0.695,0.422,0.649
0.255,0.257,0.233,0.254,18.92,15.26,0.481,0.694,0.422,0.649
0.243,0.251,0.253,0.252,18.92,15.16,0.475,0.689,0.422,0.649
0.26,0.267,0.212,0.26,18.98,15.36,0.476,0.69,0.422,0.649
0.262,0.268,0.211,0.258,19.0,15.39,0.487,0.698,0.422,0.649
0.251,0.256,0.236,0.257,19.01,15.27,0.474,0.688,0.422,0.649
0.255,0.254,0.235,0.256,19.04,15.35,0.479,0.692,0.422,0.649
0.262,0.265,0.213,0.261,19.07,15.4,0.48,0.693,0.422,0.649
0.249,0.253,0.25,0.248,19.07,15.46,0.474,0.688,0.422,0.649
0.251,0.255,0.237,0.257,19.09,15.47,0.467,0.684,0.422,0.649
0.261,0.264,0.214,0.26,19.1,15.5,0.486,0.697,0.422,0.649
0.251,0.26,0.237,0.252,19.11,15.41,0.472,0.687,0.422,0.649
0.259,0.263,0.215,0.263,19.12,15.46,0.475,0.689,0.422,0.649
0.259,0.263,0.215,0.263,19.15,15.48,0.481,0.693,0.422,0.649
0.262,0.266,0.213,0.26,19.16,15.5,0.478,0.691,0.422,0.649
0.26,0.262,0.215,0.263,19.17,15.41,0.469,0.685,0.422,0.649
0.26,0.261,0.215,0.263,19.18,15.46,0.463,0.681,0.422,0.649
0.258,0.263,0.216,0.262,19.19,15.54,0.466,0.682,0.422,0.649
0.259,0.269,0.213,0.259,19.2,15.6,0.484,0.696,0.422,0.649
0.262,0.265,0.214,0.259,19.2,15.59,0.477,0.691,0.422,0.649
0.256,0.266,0.216,0.263,19.22,15.56,0.463,0.681,0.422,0.649
0.259,0.264,0.215,0.262,19.23,15.6,0.482,0.695,0.422,0.649
0.262,0.265,0.213,0.26,19.25,15.66,0.484,0.696,0.422,0.649
0.262,0.263,0.214,0.261,19.25,15.54,0.478,0.691,0.422,0.649
0.259,0.266,0.215,0.26,19.26,15.63,0.475,0.689,0.422,0.649
0.261,0.263,0.215,0.261,19.29,15.71,0.481,0.694,0.422,0.649
0.261,0.265,0.215,0.26,19.3,15.65,0.479,0.692,0.422,0.649
0.26,0.265,0.215,0.261,19.32,15.67,0.479,0.692,0.422,0.649
0.261,0.264,0.216,0.259,19.33,15.73,0.472,0.687,0.422,0.649
0.261,0.263,0.216,0.26,19.33,15.69,0.468,0.684,0.422,0.649
