lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.247,0.248,0.255,0.25,15.35,12.15,0.371,0.609,0.399,0.631
0.25,0.249,0.254,0.247,15.37,12.22,0.376,0.613,0.399,0.631
0.249,0.249,0.254,0.248,15.37,12.22,0.375,0.612,0.399,0.631
0.248,0.247,0.254,0.251,15.37,12.23,0.373,0.611,0.399,0.631
0.248,0.246,0.255,0.25,15.37,12.22,0.373,0.611,0.399,0.631
0.247,0.248,0.256,0.249,15.38,12.25,0.38,0.616,0.399,0.631
0.248,0.248,0.254,0.251,15.38,12.2,0.377,0.614,0.399,0.631
0.249,0.245,0.254,0.252,15.38,12.24,0.376,0.613,0.399,0.631
0.246,0.248,0.255,0.251,15.38,12.26,0.375,0.612,0.399,0.631
0.249,0.248,0.255,0.249,15.39,12.26,0.373,0.611,0.399,0.631
0.247,0.248,0.256,0.249,15.4,12.27,0.376,0.613,0.399,0.631
0.249,0.246,0.255,0.25,15.4,12.25,0.374,0.612,0.399,0.631
0.246,0.247,0.256,0.25,15.4,12.3,0.368,0.607,0.399,0.631
0.248,0.247,0.255,0.25,15.42,12.28,0.373,0.61,0.399,0.631
0.247,0.246,0.257,0.25,15.42,12.25,0.367,0.606,0.399,0.631
0.248,0.246,0.255,0.251,15.43,12.29,0.372,0.61,0.399,0.631
0.247,0.247,0.256,0.25,15.43,12.31,0.371,0.609,0.399,0.631
0.248,0.246,0.255,0.251,15.43,12.28,0.37,0.608,0.399,0.631
0.246,0.246,0.257,0.25,15.43,12.31,0.368,0.606,0.399,0.631
0.248,0.246,0.256,0.251,15.44,12.28,0.371,0.609,0.399,0.631
0.248,0.246,0.256,0.25,15.44,12.29,0.37,0.608,0.399,0.631
0.247,0.249,0.256,0.248,15.45,12.33,0.373,0.611,0.399,0.631
0.249,0.248,0.255,0.248,15.45,12.28,0.37,0.609,0.399,0.631
0.248,0.247,0.256,0.248,15.45,12.3,0.37,0.608,0.399,0.631
0.248,0.249,0.256,0.247,15.45,12.32,0.367,0.606,0.399,0.631
0.253,0.244,0.257,0.247,15.47,12.32,0.372,0.61,0.399,0.631
0.25,0.247,0.257,0.246,15.47,12.28,0.371,0.609,0.399,0.631
0.245,0.247,0.257,0.251,15.47,12.31,0.366,0.605,0.399,0.631
0.247,0.245,0.256,0.252,15.47,12.33,0.366,0.605,0.399,0.631
0.248,0.248,0.257,0.247,15.53,12.39,0.378,0.615,0.399,0.631
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.257,0.254,0.233,0.256,1.08,0.85,0.415,0.644,0.381,0.617
0.263,0.259,0.217,0.261,1.08,0.86,0.386,0.622,0.381,0.617
0.261,0.262,0.216,0.261,1.09,0.86,0.413,0.642,0.381,0.617
0.262,0.26,0.217,0.261,1.09,0.86,0.41,0.64,0.381,0.617
0.261,0.259,0.219,0.262,1.09,0.86,0.409,0.639,0.381,0.617
0.262,0.26,0.216,0.262,1.09,0.86,0.409,0.64,0.381,0.617
0.256,0.256,0.233,0.255,1.09,0.86,0.408,0.639,0.381,0.617
0.262,0.261,0.216,0.261,1.09,0.86,0.407,0.638,0.381,0.617
0.257,0.25,0.235,0.258,1.09,0.86,0.407,0.638,0.381,0.617
0.261,0.261,0.217,0.261,1.09,0.87,0.406,0.638,0.381,0.617
0.262,0.261,0.216,0.262,1.09,0.87,0.404,0.636,0.381,0.617
0.263,0.26,0.217,0.261,1.09,0.87,0.402,0.634,0.381,0.617
0.261,0.26,0.217,0.262,1.09,0.87,0.4,0.632,0.381,0.617
0.262,0.262,0.216,0.261,1.1,0.87,0.406,0.637,0.381,0.617
0.261,0.26,0.216,0.262,1.1,0.87,0.405,0.636,0.381,0.617
0.261,0.259,0.219,0.261,1.1,0.87,0.405,0.636,0.381,0.617
0.258,0.251,0.237,0.254,1.1,0.87,0.404,0.636,0.381,0.617
0.261,0.262,0.217,0.26,1.1,0.87,0.404,0.636,0.381,0.617
0.261,0.262,0.218,0.259,1.1,0.87,0.402,0.634,0.381,0.617
0.261,0.26,0.218,0.261,1.1,0.86,0.402,0.634,0.381,0.617
0.26,0.26,0.218,0.261,1.1,0.87,0.401,0.633,0.381,0.617
0.262,0.262,0.216,0.26,1.1,0.87,0.401,0.633,0.381,0.617
0.261,0.259,0.217,0.262,1.1,0.86,0.399,0.632,0.381,0.617
0.261,0.261,0.217,0.261,1.1,0.87,0.398,0.631,0.381,0.617
0.261,0.259,0.219,0.262,1.1,0.87,0.398,0.631,0.381,0.617
0.26,0.259,0.219,0.262,1.1,0.87,0.397,0.63,0.381,0.617
0.26,0.259,0.219,0.262,1.1,0.87,0.392,0.626,0.381,0.617
0.258,0.251,0.237,0.254,1.11,0.87,0.412,0.642,0.381,0.617
