lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.247,0.248,0.254,0.252,14.17,11.3,0.38,0.617,0.402,0.634
0.245,0.248,0.255,0.252,14.27,11.33,0.373,0.611,0.402,0.634
0.248,0.242,0.256,0.254,14.31,11.36,0.379,0.616,0.402,0.634
0.248,0.243,0.255,0.253,14.31,11.39,0.377,0.614,0.402,0.634
0.249,0.246,0.254,0.251,14.31,11.4,0.372,0.61,0.402,0.634
0.249,0.246,0.254,0.251,14.32,11.37,0.37,0.608,0.402,0.634
0.245,0.243,0.257,0.255,14.33,11.44,0.375,0.612,0.402,0.634
0.249,0.24,0.257,0.255,14.35,11.42,0.371,0.609,0.402,0.634
0.247,0.251,0.248,0.254,14.35,11.35,0.357,0.598,0.402,0.634
0.245,0.246,0.256,0.253,14.36,11.4,0.37,0.609,0.402,0.634
0.246,0.25,0.258,0.246,14.45,11.46,0.355,0.596,0.402,0.634
0.249,0.25,0.247,0.254,14.46,11.5,0.365,0.604,0.402,0.634
0.251,0.247,0.247,0.254,14.5,11.51,0.362,0.602,0.402,0.634
0.249,0.253,0.25,0.248,14.66,11.62,0.351,0.593,0.402,0.634
0.259,0.258,0.224,0.259,14.67,11.72,0.359,0.599,0.402,0.634
0.257,0.257,0.226,0.26,14.68,11.65,0.352,0.593,0.402,0.634
0.26,0.26,0.221,0.26,14.73,11.71,0.35,0.592,0.402,0.634
0.254,0.258,0.227,0.261,14.75,11.73,0.348,0.59,0.402,0.634
0.256,0.26,0.224,0.261,14.77,11.73,0.347,0.589,0.402,0.634
0.255,0.257,0.227,0.261,14.77,11.71,0.343,0.586,0.402,0.634
0.255,0.257,0.227,0.261,14.79,11.78,0.346,0.588,0.402,0.634
0.255,0.259,0.224,0.262,14.79,11.75,0.344,0.587,0.402,0.634
0.261,0.259,0.222,0.258,14.83,11.79,0.344,0.586,0.402,0.634
0.257,0.258,0.224,0.262,14.83,11.81,0.337,0.581,0.402,0.634
0.254,0.256,0.228,0.262,14.83,11.8,0.336,0.58,0.402,0.634
0.259,0.259,0.222,0.26,14.84,11.79,0.347,0.589,0.402,0.634
0.259,0.26,0.223,0.258,14.85,11.76,0.35,0.592,0.402,0.634
0.261,0.259,0.221,0.258,14.87,11.86,0.348,0.59,0.402,0.634
0.258,0.26,0.224,0.259,14.87,11.81,0.342,0.585,0.402,0.634
0.255,0.257,0.225,0.263,14.88,11.82,0.332,0.576,0.402,0.634
0.254,0.259,0.225,0.262,14.89,11.86,0.335,0.579,0.402,0.634
0.255,0.258,0.226,0.261,14.89,11.88,0.331,0.576,0.402,0.634
0.255,0.261,0.224,0.26,14.9,11.87,0.348,0.59,0.402,0.634
0.259,0.259,0.223,0.259,14.91,11.82,0.345,0.587,0.402,0.634
0.256,0.26,0.229,0.255,14.92,11.85,0.34,0.583,0.402,0.634
0.26,0.26,0.223,0.257,14.93,11.89,0.351,0.592,0.402,0.634
0.259,0.259,0.224,0.258,14.93,11.86,0.339,0.582,0.402,0.634
0.255,0.257,0.225,0.262,14.93,11.81,0.331,0.576,0.402,0.634
0.26,0.256,0.224,0.261,14.94,11.92,0.349,0.591,0.402,0.634
0.26,0.254,0.224,0.261,14.95,11.85,0.349,0.591,0.402,0.634
0.259,0.259,0.224,0.258,14.96,11.86,0.335,0.579,0.402,0.634
0.258,0.257,0.225,0.26,14.96,11.91,0.324,0.57,0.402,0.634
0.26,0.258,0.224,0.258,14.97,11.87,0.338,0.581,0.402,0.634
0.259,0.259,0.224,0.258,14.97,11.89,0.336,0.58,0.402,0.634
0.259,0.259,0.224,0.258,14.97,11.89,0.334,0.578,0.402,0.634
0.251,0.259,0.227,0.263,15.0,11.86,0.315,0.561,0.402,0.634
0.26,0.257,0.224,0.259,15.01,11.95,0.345,0.587,0.402,0.634
0.259,0.259,0.225,0.257,15.01,11.92,0.331,0.576,0.402,0.634
0.258,0.26,0.226,0.257,15.02,11.92,0.331,0.575,0.402,0.634
0.26,0.257,0.224,0.259,15.03,11.94,0.346,0.588,0.402,0.634
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.254,0.256,0.229,0.261,1.02,0.81,0.444,0.666,0.338,0.582
0.257,0.25,0.231,0.262,1.03,0.82,0.446,0.668,0.338,0.582
0.262,0.26,0.213,0.265,1.03,0.82,0.439,0.663,0.338,0.582
0.261,0.263,0.213,0.263,1.03,0.81,0.425,0.652,0.338,0.582
0.256,0.249,0.232,0.263,1.04,0.82,0.444,0.666,0.338,0.582
0.255,0.249,0.233,0.263,1.04,0.82,0.444,0.666,0.338,0.582
0.262,0.261,0.213,0.264,1.04,0.82,0.443,0.666,0.338,0.582
0.257,0.248,0.232,0.263,1.04,0.82,0.441,0.664,0.338,0.582
0.26,0.263,0.214,0.263,1.04,0.83,0.441,0.664,0.338,0.582
0.261,0.259,0.214,0.265,1.04,0.83,0.437,0.661,0.338,0.582
0.261,0.261,0.214,0.264,1.04,0.83,0.435,0.66,0.338,0.582
0.261,0.262,0.214,0.263,1.04,0.83,0.434,0.658,0.338,0.582
0.261,0.261,0.215,0.263,1.04,0.82,0.434,0.659,0.338,0.582
0.261,0.263,0.214,0.262,1.04,0.83,0.432,0.657,0.338,0.582
0.26,0.261,0.216,0.263,1.04,0.83,0.431,0.657,0.338,0.582
