lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.275,0.273,0.227,0.225,16.97,13.94,0.698,0.835,0.809,0.899
0.268,0.273,0.23,0.229,17.15,13.97,0.676,0.822,0.809,0.899
0.274,0.271,0.228,0.227,17.16,14.16,0.668,0.817,0.809,0.899
0.277,0.266,0.228,0.229,17.22,13.94,0.654,0.808,0.809,0.899
0.272,0.271,0.228,0.228,17.25,14.27,0.651,0.807,0.809,0.899
0.28,0.263,0.226,0.231,17.27,14.14,0.657,0.81,0.809,0.899
0.276,0.266,0.229,0.23,17.29,14.26,0.645,0.803,0.809,0.899
0.274,0.272,0.227,0.227,17.32,14.29,0.664,0.815,0.809,0.899
0.278,0.259,0.231,0.232,17.35,14.26,0.663,0.814,0.809,0.899
0.275,0.261,0.232,0.232,17.39,14.03,0.657,0.81,0.809,0.899
0.277,0.262,0.231,0.231,17.39,14.41,0.646,0.804,0.809,0.899
0.275,0.265,0.23,0.23,17.41,14.1,0.64,0.8,0.809,0.899
0.277,0.253,0.234,0.235,17.49,14.56,0.65,0.806,0.809,0.899
0.266,0.272,0.231,0.231,17.52,14.35,0.64,0.8,0.809,0.899
0.283,0.252,0.233,0.232,17.6,14.54,0.66,0.813,0.809,0.899
0.277,0.26,0.231,0.232,17.62,14.54,0.647,0.804,0.809,0.899
0.281,0.258,0.23,0.231,17.63,14.5,0.65,0.806,0.809,0.899
0.264,0.28,0.227,0.23,17.64,14.6,0.659,0.812,0.809,0.899
0.269,0.266,0.233,0.232,17.66,14.56,0.658,0.811,0.809,0.899
0.278,0.261,0.231,0.23,17.68,14.52,0.645,0.803,0.809,0.899
0.275,0.264,0.23,0.231,17.71,14.52,0.625,0.79,0.809,0.899
0.271,0.258,0.236,0.234,17.75,14.85,0.664,0.815,0.809,0.899
0.276,0.265,0.227,0.232,17.78,14.66,0.622,0.789,0.809,0.899
0.269,0.268,0.231,0.232,17.85,15.0,0.638,0.799,0.809,0.899
0.272,0.264,0.231,0.233,17.99,14.95,0.658,0.811,0.809,0.899
0.277,0.254,0.235,0.235,17.99,15.18,0.606,0.779,0.809,0.899
0.275,0.27,0.227,0.229,18.09,15.3,0.631,0.795,0.809,0.899
0.273,0.255,0.237,0.236,18.15,14.92,0.635,0.797,0.809,0.899
0.27,0.264,0.232,0.234,18.44,15.43,0.596,0.772,0.809,0.899
0.23,0.266,0.251,0.252,19.53,17.66,0.475,0.689,0.809,0.899
