lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.256,0.255,0.242,0.247,17.65,14.11,0.5,0.707,0.421,0.649
0.249,0.255,0.249,0.247,18.0,14.33,0.495,0.704,0.421,0.649
0.249,0.253,0.25,0.248,18.07,14.42,0.489,0.699,0.421,0.649
0.247,0.254,0.25,0.249,18.08,14.37,0.49,0.7,0.421,0.649
0.248,0.252,0.251,0.249,18.1,14.33,0.49,0.7,0.421,0.649
0.251,0.253,0.252,0.244,18.11,14.57,0.501,0.708,0.421,0.649
0.25,0.252,0.249,0.248,18.13,14.54,0.497,0.705,0.421,0.649
0.251,0.253,0.246,0.25,18.17,14.65,0.498,0.706,0.421,0.649
0.249,0.253,0.25,0.248,18.17,14.55,0.498,0.706,0.421,0.649
0.247,0.252,0.251,0.25,18.22,14.54,0.487,0.698,0.421,0.649
0.256,0.255,0.234,0.254,18.25,14.76,0.501,0.708,0.421,0.649
0.255,0.255,0.235,0.254,18.25,14.69,0.491,0.701,0.421,0.649
0.247,0.251,0.251,0.25,18.27,14.58,0.494,0.703,0.421,0.649
0.253,0.256,0.236,0.255,18.29,14.71,0.492,0.702,0.421,0.649
0.254,0.255,0.236,0.255,18.31,14.79,0.495,0.704,0.421,0.649
0.255,0.258,0.234,0.253,18.32,14.77,0.499,0.706,0.421,0.649
0.249,0.249,0.251,0.25,18.33,14.61,0.491,0.701,0.421,0.649
0.249,0.252,0.247,0.252,18.35,14.76,0.487,0.698,0.421,0.649
0.251,0.253,0.249,0.247,18.36,14.87,0.492,0.701,0.421,0.649
0.254,0.26,0.236,0.25,18.37,14.85,0.498,0.706,0.421,0.649
0.265,0.266,0.208,0.261,18.37,14.85,0.497,0.705,0.421,0.649
0.254,0.255,0.236,0.255,18.39,14.83,0.488,0.698,0.421,0.649
0.263,0.268,0.208,0.261,18.43,14.89,0.488,0.698,0.421,0.649
0.265,0.269,0.208,0.259,18.45,14.96,0.502,0.708,0.421,0.649
0.263,0.263,0.211,0.263,18.47,14.89,0.499,0.707,0.421,0.649
0.261,0.265,0.211,0.262,18.49,14.92,0.491,0.701,0.421,0.649
0.263,0.269,0.208,0.259,18.5,14.99,0.494,0.703,0.421,0.649
0.263,0.265,0.209,0.262,18.5,14.92,0.489,0.699,0.421,0.649
0.264,0.264,0.211,0.261,18.54,15.0,0.501,0.707,0.421,0.649
0.264,0.266,0.208,0.261,18.55,15.09,0.5,0.707,0.421,0.649
0.261,0.265,0.211,0.263,18.55,15.0,0.488,0.698,0.421,0.649
0.263,0.265,0.21,0.261,18.56,15.03,0.5,0.707,0.421,0.649
0.263,0.265,0.21,0.262,18.56,14.96,0.492,0.701,0.421,0.649
0.264,0.265,0.209,0.262,18.57,14.97,0.5,0.707,0.421,0.649
0.264,0.267,0.209,0.259,18.57,15.07,0.499,0.706,0.421,0.649
0.264,0.265,0.211,0.26,18.57,15.06,0.495,0.704,0.421,0.649
0.262,0.263,0.211,0.264,18.58,14.99,0.487,0.698,0.421,0.649
0.264,0.268,0.209,0.259,18.59,15.15,0.499,0.707,0.421,0.649
0.264,0.266,0.21,0.261,18.59,15.07,0.494,0.703,0.421,0.649
0.262,0.267,0.211,0.26,18.6,15.11,0.49,0.7,0.421,0.649
0.262,0.262,0.212,0.264,18.6,15.08,0.483,0.695,0.421,0.649
0.262,0.261,0.213,0.264,18.61,15.08,0.482,0.694,0.421,0.649
0.264,0.265,0.211,0.26,18.62,15.15,0.498,0.705,0.421,0.649
0.264,0.266,0.21,0.261,18.62,15.08,0.494,0.703,0.421,0.649
0.261,0.263,0.212,0.264,18.62,15.04,0.483,0.695,0.421,0.649
0.266,0.265,0.211,0.259,18.63,15.15,0.496,0.704,0.421,0.649
0.264,0.265,0.212,0.259,18.64,15.1,0.488,0.698,0.421,0.649
0.262,0.266,0.211,0.26,18.65,15.16,0.489,0.699,0.421,0.649
0.264,0.264,0.211,0.261,18.66,15.16,0.493,0.702,0.421,0.649
0.262,0.262,0.212,0.264,18.67,15.15,0.488,0.698,0.421,0.649
