lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.254,0.255,0.247,0.244,17.83,14.22,0.492,0.701,0.421,0.649
0.248,0.256,0.249,0.247,18.35,14.77,0.471,0.686,0.421,0.649
0.25,0.253,0.25,0.247,18.37,14.89,0.478,0.691,0.421,0.649
0.247,0.255,0.251,0.247,18.38,14.86,0.471,0.686,0.421,0.649
0.25,0.252,0.251,0.247,18.38,14.81,0.471,0.686,0.421,0.649
0.247,0.254,0.25,0.248,18.42,14.93,0.477,0.691,0.421,0.649
0.249,0.25,0.252,0.25,18.44,14.93,0.474,0.689,0.421,0.649
0.248,0.252,0.251,0.249,18.45,14.89,0.479,0.692,0.421,0.649
0.25,0.252,0.25,0.248,18.47,14.98,0.475,0.689,0.421,0.649
0.249,0.251,0.251,0.25,18.47,14.99,0.473,0.688,0.421,0.649
0.246,0.255,0.252,0.248,18.47,14.92,0.468,0.684,0.421,0.649
0.249,0.252,0.251,0.248,18.48,15.01,0.475,0.689,0.421,0.649
0.249,0.255,0.249,0.247,18.48,15.0,0.474,0.689,0.421,0.649
0.248,0.253,0.251,0.249,18.49,15.03,0.478,0.691,0.421,0.649
0.247,0.253,0.251,0.249,18.49,15.03,0.477,0.691,0.421,0.649
0.242,0.254,0.253,0.251,18.5,14.96,0.474,0.688,0.421,0.649
0.244,0.253,0.252,0.25,18.52,15.0,0.474,0.689,0.421,0.649
0.246,0.251,0.253,0.25,18.52,14.99,0.472,0.687,0.421,0.649
0.245,0.253,0.252,0.249,18.54,15.02,0.473,0.688,0.421,0.649
0.244,0.252,0.253,0.251,18.56,15.03,0.468,0.684,0.421,0.649
0.245,0.254,0.252,0.25,18.57,15.0,0.473,0.688,0.421,0.649
0.244,0.251,0.254,0.251,18.58,15.01,0.467,0.683,0.421,0.649
0.246,0.253,0.251,0.25,18.59,15.15,0.473,0.687,0.421,0.649
0.25,0.251,0.251,0.249,18.61,15.14,0.476,0.69,0.421,0.649
0.244,0.249,0.254,0.252,18.62,15.03,0.474,0.689,0.421,0.649
0.25,0.247,0.253,0.25,18.62,15.08,0.47,0.686,0.421,0.649
0.243,0.253,0.253,0.251,18.63,15.07,0.462,0.68,0.421,0.649
0.249,0.249,0.251,0.25,18.64,15.12,0.465,0.682,0.421,0.649
0.246,0.25,0.253,0.251,18.65,15.13,0.474,0.688,0.421,0.649
0.246,0.248,0.254,0.252,18.67,15.15,0.472,0.687,0.421,0.649
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.248,0.251,0.25,0.251,9.02,6.92,0.422,0.65,0.082,0.287
0.25,0.252,0.248,0.251,9.03,6.89,0.43,0.656,0.082,0.287
0.248,0.252,0.25,0.251,9.03,6.86,0.427,0.653,0.082,0.287
