lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.25,0.249,0.254,0.248,12.75,9.73,0.175,0.419,0.225,0.475
0.248,0.251,0.254,0.247,12.93,9.89,0.185,0.431,0.225,0.475
0.245,0.251,0.255,0.25,12.94,9.88,0.191,0.438,0.225,0.475
0.243,0.251,0.257,0.25,12.96,9.86,0.182,0.426,0.225,0.475
0.247,0.249,0.255,0.249,12.97,9.9,0.183,0.428,0.225,0.475
0.247,0.247,0.256,0.25,12.98,9.84,0.187,0.432,0.225,0.475
0.245,0.249,0.257,0.249,12.99,9.89,0.174,0.417,0.225,0.475
0.249,0.246,0.257,0.249,12.99,9.94,0.174,0.417,0.225,0.475
0.249,0.246,0.255,0.25,13.0,9.92,0.186,0.432,0.225,0.475
0.243,0.25,0.256,0.251,13.0,9.95,0.178,0.422,0.225,0.475
0.244,0.25,0.256,0.25,13.0,9.9,0.177,0.421,0.225,0.475
0.242,0.25,0.257,0.251,13.0,9.92,0.174,0.418,0.225,0.475
0.244,0.249,0.256,0.251,13.02,9.91,0.181,0.426,0.225,0.475
0.246,0.247,0.256,0.251,13.04,9.93,0.187,0.432,0.225,0.475
0.247,0.243,0.258,0.252,13.04,9.99,0.183,0.428,0.225,0.475
0.246,0.247,0.256,0.25,13.04,9.97,0.176,0.419,0.225,0.475
0.241,0.249,0.258,0.252,13.05,9.96,0.176,0.419,0.225,0.475
0.244,0.249,0.257,0.25,13.05,10.01,0.175,0.419,0.225,0.475
0.243,0.25,0.256,0.251,13.06,9.91,0.173,0.416,0.225,0.475
0.241,0.249,0.257,0.252,13.07,9.97,0.182,0.426,0.225,0.475
0.248,0.247,0.255,0.25,13.07,9.96,0.18,0.424,0.225,0.475
0.244,0.247,0.258,0.252,13.07,10.01,0.177,0.421,0.225,0.475
0.247,0.244,0.258,0.251,13.07,10.02,0.175,0.418,0.225,0.475
0.245,0.247,0.256,0.252,13.08,10.02,0.181,0.426,0.225,0.475
0.249,0.243,0.257,0.251,13.08,9.94,0.18,0.425,0.225,0.475
0.246,0.248,0.257,0.249,13.08,10.05,0.178,0.421,0.225,0.475
0.239,0.251,0.257,0.253,13.09,9.98,0.19,0.435,0.225,0.475
0.244,0.247,0.257,0.251,13.09,9.93,0.18,0.424,0.225,0.475
0.244,0.247,0.257,0.251,13.09,9.97,0.178,0.422,0.225,0.475
0.245,0.246,0.258,0.251,13.09,10.05,0.172,0.415,0.225,0.475
0.25,0.244,0.257,0.25,13.11,10.0,0.179,0.423,0.225,0.475
0.245,0.244,0.258,0.252,13.11,10.05,0.178,0.422,0.225,0.475
0.245,0.247,0.256,0.251,13.11,9.97,0.172,0.415,0.225,0.475
0.246,0.246,0.258,0.25,13.11,10.03,0.167,0.409,0.225,0.475
0.247,0.246,0.257,0.25,13.12,10.06,0.191,0.437,0.225,0.475
0.246,0.246,0.257,0.251,13.12,10.03,0.177,0.421,0.225,0.475
0.248,0.246,0.257,0.249,13.12,10.03,0.173,0.416,0.225,0.475
0.247,0.246,0.257,0.25,13.12,10.03,0.173,0.416,0.225,0.475
0.242,0.247,0.259,0.252,13.12,10.05,0.17,0.413,0.225,0.475
0.245,0.243,0.259,0.253,13.15,10.0,0.163,0.404,0.225,0.475
0.246,0.244,0.257,0.252,13.16,10.06,0.176,0.42,0.225,0.475
0.247,0.242,0.258,0.253,13.16,10.04,0.171,0.413,0.225,0.475
0.248,0.242,0.258,0.252,13.18,10.09,0.17,0.412,0.225,0.475
0.247,0.241,0.259,0.252,13.18,10.06,0.168,0.41,0.225,0.475
0.249,0.243,0.258,0.25,13.2,10.13,0.177,0.421,0.225,0.475
0.243,0.244,0.259,0.254,13.21,10.05,0.164,0.405,0.225,0.475
0.25,0.238,0.258,0.254,13.23,10.13,0.178,0.422,0.225,0.475
0.25,0.24,0.259,0.251,13.26,10.1,0.168,0.41,0.225,0.475
0.251,0.238,0.257,0.254,13.27,10.15,0.18,0.424,0.225,0.475
0.25,0.239,0.258,0.252,13.28,10.17,0.171,0.413,0.225,0.475
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.256,0.257,0.234,0.254,1.02,0.8,0.178,0.422,0.175,0.419
0.254,0.256,0.234,0.256,1.03,0.8,0.213,0.461,0.175,0.419
0.253,0.258,0.234,0.255,1.03,0.8,0.209,0.457,0.175,0.419
0.251,0.258,0.235,0.256,1.03,0.81,0.208,0.456,0.175,0.419
0.252,0.251,0.245,0.253,1.03,0.8,0.204,0.452,0.175,0.419
0.253,0.256,0.236,0.255,1.03,0.81,0.204,0.452,0.175,0.419
0.254,0.259,0.235,0.252,1.03,0.82,0.204,0.452,0.175,0.419
0.252,0.255,0.236,0.257,1.03,0.81,0.188,0.434,0.175,0.419
0.255,0.257,0.236,0.252,1.04,0.82,0.216,0.465,0.175,0.419
0.253,0.257,0.235,0.255,1.04,0.81,0.212,0.46,0.175,0.419
0.253,0.256,0.235,0.256,1.04,0.81,0.208,0.456,0.175,0.419
0.252,0.251,0.239,0.258,1.04,0.82,0.202,0.449,0.175,0.419
0.251,0.251,0.245,0.252,1.04,0.81,0.2,0.447,0.175,0.419
