lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.262,0.261,0.239,0.237,29.28,23.58,0.481,0.694,0.178,0.421
0.249,0.244,0.255,0.253,33.08,26.87,0.468,0.684,0.178,0.421
0.248,0.246,0.254,0.252,33.14,26.83,0.467,0.683,0.178,0.421
0.247,0.245,0.255,0.253,33.19,26.96,0.473,0.688,0.178,0.421
0.249,0.243,0.255,0.253,33.25,27.07,0.468,0.684,0.178,0.421
0.25,0.244,0.255,0.251,33.27,26.9,0.469,0.685,0.178,0.421
0.245,0.246,0.256,0.253,33.29,27.08,0.467,0.683,0.178,0.421
0.245,0.245,0.256,0.254,33.33,27.06,0.462,0.68,0.178,0.421
0.249,0.242,0.256,0.253,33.37,27.19,0.462,0.68,0.178,0.421
0.248,0.243,0.256,0.253,33.37,27.1,0.462,0.68,0.178,0.421
0.246,0.245,0.255,0.253,33.39,27.23,0.472,0.687,0.178,0.421
0.247,0.244,0.256,0.253,33.41,27.17,0.468,0.684,0.178,0.421
0.249,0.241,0.256,0.254,33.42,27.17,0.467,0.683,0.178,0.421
0.247,0.243,0.256,0.254,33.42,27.2,0.46,0.679,0.178,0.421
0.247,0.244,0.257,0.252,33.42,27.15,0.455,0.674,0.178,0.421
0.25,0.24,0.255,0.255,33.44,27.13,0.469,0.685,0.178,0.421
0.247,0.244,0.256,0.253,33.46,27.29,0.467,0.683,0.178,0.421
0.245,0.244,0.257,0.254,33.46,27.19,0.462,0.68,0.178,0.421
0.251,0.238,0.256,0.255,33.47,27.31,0.474,0.688,0.178,0.421
0.246,0.244,0.256,0.254,33.47,27.18,0.458,0.677,0.178,0.421
0.252,0.237,0.256,0.255,33.48,27.25,0.467,0.683,0.178,0.421
0.246,0.241,0.258,0.256,33.52,27.25,0.462,0.679,0.178,0.421
0.25,0.239,0.256,0.254,33.54,27.4,0.468,0.684,0.178,0.421
0.249,0.239,0.258,0.255,33.56,27.26,0.476,0.69,0.178,0.421
0.247,0.242,0.256,0.254,33.59,27.29,0.469,0.685,0.178,0.421
0.249,0.24,0.257,0.254,33.59,27.37,0.469,0.685,0.178,0.421
0.246,0.242,0.257,0.255,33.59,27.35,0.464,0.681,0.178,0.421
0.247,0.243,0.255,0.254,33.59,27.28,0.464,0.681,0.178,0.421
0.247,0.242,0.256,0.255,33.59,27.35,0.464,0.681,0.178,0.421
0.246,0.241,0.257,0.256,33.6,27.28,0.471,0.686,0.178,0.421
0.252,0.238,0.257,0.253,33.65,27.35,0.47,0.686,0.178,0.421
0.249,0.238,0.257,0.256,33.65,27.27,0.461,0.679,0.178,0.421
0.25,0.236,0.257,0.257,33.67,27.33,0.473,0.687,0.178,0.421
0.248,0.24,0.258,0.254,33.67,27.46,0.466,0.682,0.178,0.421
0.251,0.238,0.258,0.254,33.69,27.38,0.469,0.685,0.178,0.421
0.247,0.241,0.256,0.255,33.7,27.57,0.475,0.689,0.178,0.421
0.252,0.235,0.257,0.256,33.74,27.44,0.47,0.685,0.178,0.421
0.252,0.237,0.257,0.254,33.76,27.47,0.466,0.683,0.178,0.421
0.247,0.238,0.258,0.257,33.77,27.54,0.463,0.68,0.178,0.421
0.252,0.234,0.257,0.256,33.81,27.62,0.472,0.687,0.178,0.421
0.25,0.238,0.258,0.254,33.9,27.57,0.471,0.686,0.178,0.421
0.251,0.235,0.257,0.256,33.95,27.63,0.469,0.685,0.178,0.421
0.256,0.22,0.263,0.262,34.41,28.07,0.478,0.691,0.178,0.421
0.258,0.22,0.262,0.26,34.43,28.21,0.474,0.689,0.178,0.421
0.256,0.22,0.262,0.262,34.53,28.12,0.477,0.69,0.178,0.421
0.256,0.221,0.263,0.26,34.58,28.29,0.468,0.684,0.178,0.421
0.257,0.221,0.263,0.259,34.63,28.28,0.474,0.688,0.178,0.421
0.258,0.219,0.263,0.26,34.65,28.27,0.466,0.683,0.178,0.421
0.257,0.219,0.263,0.261,34.7,28.31,0.472,0.687,0.178,0.421
0.256,0.22,0.263,0.261,34.8,28.46,0.466,0.683,0.178,0.421
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.261,0.263,0.222,0.254,0.39,0.31,0.317,0.563,0.185,0.431
0.259,0.255,0.227,0.259,0.4,0.31,0.343,0.586,0.185,0.431
0.258,0.257,0.227,0.258,0.4,0.31,0.333,0.577,0.185,0.431
0.258,0.255,0.229,0.258,0.4,0.31,0.332,0.576,0.185,0.431
0.257,0.259,0.228,0.256,0.4,0.31,0.331,0.576,0.185,0.431
0.257,0.257,0.228,0.258,0.4,0.31,0.328,0.573,0.185,0.431
0.257,0.258,0.228,0.257,0.4,0.31,0.325,0.57,0.185,0.431
0.257,0.256,0.229,0.258,0.4,0.31,0.325,0.57,0.185,0.431
