lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.246,0.249,0.253,0.252,14.17,11.3,0.385,0.621,0.402,0.634
0.245,0.249,0.254,0.252,14.2,11.34,0.387,0.622,0.402,0.634
0.249,0.243,0.255,0.253,14.25,11.35,0.388,0.623,0.402,0.634
0.244,0.249,0.255,0.253,14.25,11.39,0.382,0.618,0.402,0.634
0.248,0.247,0.254,0.251,14.28,11.36,0.381,0.617,0.402,0.634
0.249,0.241,0.256,0.254,14.29,11.37,0.386,0.621,0.402,0.634
0.247,0.247,0.254,0.252,14.29,11.4,0.376,0.613,0.402,0.634
0.247,0.244,0.255,0.254,14.31,11.4,0.383,0.619,0.402,0.634
0.244,0.244,0.257,0.255,14.33,11.44,0.384,0.62,0.402,0.634
0.246,0.253,0.247,0.255,14.33,11.41,0.365,0.604,0.402,0.634
0.248,0.25,0.258,0.244,14.41,11.5,0.371,0.609,0.402,0.634
0.249,0.25,0.247,0.254,14.43,11.49,0.373,0.611,0.402,0.634
0.249,0.25,0.247,0.254,14.44,11.55,0.373,0.611,0.402,0.634
0.25,0.252,0.25,0.248,14.64,11.66,0.361,0.601,0.402,0.634
0.258,0.259,0.224,0.259,14.69,11.74,0.366,0.605,0.402,0.634
0.259,0.258,0.222,0.261,14.71,11.78,0.362,0.602,0.402,0.634
0.259,0.261,0.221,0.26,14.71,11.72,0.361,0.601,0.402,0.634
0.257,0.257,0.226,0.26,14.72,11.76,0.368,0.607,0.402,0.634
0.255,0.258,0.227,0.261,14.74,11.77,0.365,0.604,0.402,0.634
0.256,0.257,0.226,0.261,14.75,11.78,0.357,0.598,0.402,0.634
0.254,0.258,0.227,0.261,14.75,11.81,0.355,0.596,0.402,0.634
0.253,0.261,0.224,0.262,14.78,11.82,0.356,0.597,0.402,0.634
0.257,0.259,0.223,0.262,14.78,11.82,0.355,0.595,0.402,0.634
0.253,0.258,0.227,0.261,14.78,11.83,0.355,0.596,0.402,0.634
0.259,0.262,0.221,0.258,14.8,11.82,0.365,0.604,0.402,0.634
0.259,0.261,0.222,0.258,14.8,11.8,0.363,0.603,0.402,0.634
0.255,0.26,0.223,0.262,14.8,11.85,0.356,0.597,0.402,0.634
0.259,0.259,0.222,0.26,14.81,11.82,0.365,0.604,0.402,0.634
0.253,0.262,0.224,0.261,14.81,11.86,0.343,0.586,0.402,0.634
0.259,0.261,0.222,0.258,14.82,11.81,0.359,0.599,0.402,0.634
