lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.25,0.252,0.241,0.257,0.2,0.15,0.161,0.401,0.202,0.449
0.249,0.251,0.242,0.258,0.2,0.15,0.16,0.401,0.202,0.449
0.252,0.251,0.241,0.257,0.2,0.15,0.16,0.401,0.202,0.449
0.251,0.249,0.242,0.257,0.2,0.15,0.159,0.399,0.202,0.449
0.251,0.251,0.241,0.257,0.2,0.15,0.159,0.399,0.202,0.449
0.251,0.251,0.241,0.257,0.2,0.15,0.158,0.397,0.202,0.449
0.251,0.25,0.242,0.257,0.2,0.15,0.158,0.397,0.202,0.449
0.252,0.251,0.241,0.256,0.2,0.15,0.157,0.396,0.202,0.449
0.25,0.253,0.241,0.257,0.2,0.15,0.155,0.393,0.202,0.449
0.251,0.249,0.242,0.257,0.2,0.15,0.153,0.391,0.202,0.449
0.251,0.252,0.241,0.256,0.2,0.15,0.152,0.389,0.202,0.449
0.25,0.248,0.244,0.259,0.2,0.15,0.15,0.387,0.202,0.449
0.249,0.25,0.243,0.258,0.2,0.15,0.147,0.383,0.202,0.449
0.249,0.249,0.243,0.258,0.2,0.15,0.146,0.382,0.202,0.449
