lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.25,0.249,0.253,0.248,12.53,9.58,0.191,0.437,0.225,0.475
0.246,0.249,0.256,0.249,12.77,9.76,0.195,0.442,0.225,0.475
0.243,0.25,0.256,0.25,12.79,9.8,0.199,0.446,0.225,0.475
0.247,0.249,0.255,0.248,12.8,9.77,0.194,0.441,0.225,0.475
0.242,0.25,0.257,0.251,12.81,9.74,0.186,0.431,0.225,0.475
0.239,0.249,0.259,0.253,12.81,9.77,0.185,0.43,0.225,0.475
0.242,0.248,0.258,0.253,12.82,9.84,0.19,0.436,0.225,0.475
0.241,0.249,0.258,0.252,12.82,9.84,0.186,0.432,0.225,0.475
0.244,0.246,0.258,0.251,12.82,9.72,0.182,0.427,0.225,0.475
0.244,0.248,0.257,0.252,12.83,9.85,0.186,0.432,0.225,0.475
0.246,0.247,0.255,0.251,12.84,9.85,0.193,0.439,0.225,0.475
0.242,0.249,0.257,0.252,12.84,9.83,0.19,0.436,0.225,0.475
0.243,0.249,0.257,0.25,12.84,9.84,0.183,0.428,0.225,0.475
0.242,0.247,0.258,0.253,12.86,9.86,0.189,0.435,0.225,0.475
0.242,0.249,0.258,0.251,12.86,9.87,0.18,0.424,0.225,0.475
0.241,0.249,0.258,0.252,12.87,9.93,0.185,0.43,0.225,0.475
0.239,0.251,0.257,0.252,12.87,9.89,0.182,0.426,0.225,0.475
0.241,0.25,0.258,0.252,12.88,9.85,0.185,0.43,0.225,0.475
0.242,0.247,0.258,0.252,12.88,9.78,0.182,0.427,0.225,0.475
0.243,0.248,0.257,0.251,12.9,9.9,0.186,0.431,0.225,0.475
0.24,0.249,0.258,0.252,12.9,9.93,0.181,0.426,0.225,0.475
0.24,0.248,0.258,0.253,12.92,9.88,0.182,0.427,0.225,0.475
0.246,0.246,0.257,0.252,12.93,9.9,0.186,0.432,0.225,0.475
0.243,0.245,0.259,0.252,12.93,9.9,0.18,0.425,0.225,0.475
0.244,0.245,0.259,0.252,12.93,9.88,0.177,0.421,0.225,0.475
0.244,0.243,0.259,0.253,12.94,9.91,0.181,0.425,0.225,0.475
0.24,0.247,0.259,0.254,12.94,9.93,0.179,0.423,0.225,0.475
0.244,0.246,0.257,0.253,12.95,9.93,0.179,0.423,0.225,0.475
0.24,0.245,0.26,0.255,12.95,9.9,0.179,0.423,0.225,0.475
0.239,0.249,0.259,0.253,12.96,9.94,0.18,0.424,0.225,0.475
0.243,0.246,0.258,0.253,12.96,9.92,0.18,0.425,0.225,0.475
0.243,0.244,0.26,0.254,12.96,9.93,0.174,0.418,0.225,0.475
0.246,0.243,0.258,0.253,12.97,9.97,0.183,0.427,0.225,0.475
0.247,0.244,0.258,0.251,12.97,9.97,0.181,0.426,0.225,0.475
0.245,0.244,0.259,0.253,12.97,9.93,0.175,0.419,0.225,0.475
0.241,0.247,0.259,0.253,12.98,9.93,0.176,0.42,0.225,0.475
0.248,0.244,0.257,0.251,12.99,9.94,0.179,0.423,0.225,0.475
0.244,0.246,0.258,0.251,12.99,9.99,0.176,0.419,0.225,0.475
0.242,0.245,0.259,0.255,12.99,10.02,0.173,0.416,0.225,0.475
0.243,0.242,0.26,0.255,13.01,9.93,0.173,0.416,0.225,0.475
0.247,0.238,0.261,0.254,13.01,9.87,0.168,0.409,0.225,0.475
0.24,0.246,0.26,0.255,13.03,10.03,0.17,0.412,0.225,0.475
0.246,0.241,0.259,0.254,13.05,10.04,0.17,0.413,0.225,0.475
0.248,0.24,0.259,0.253,13.09,10.05,0.172,0.415,0.225,0.475
0.247,0.24,0.259,0.253,13.09,10.0,0.172,0.415,0.225,0.475
0.249,0.239,0.259,0.253,13.11,9.96,0.174,0.417,0.225,0.475
0.246,0.241,0.259,0.253,13.11,10.07,0.165,0.406,0.225,0.475
0.247,0.238,0.259,0.256,13.12,10.09,0.179,0.423,0.225,0.475
0.247,0.239,0.258,0.256,13.14,10.11,0.179,0.423,0.225,0.475
0.248,0.239,0.259,0.253,13.17,10.11,0.173,0.416,0.225,0.475
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.256,0.257,0.232,0.255,1.0,0.78,0.196,0.442,0.175,0.419
0.252,0.254,0.237,0.258,1.02,0.78,0.207,0.455,0.175,0.419
0.253,0.252,0.236,0.259,1.02,0.79,0.193,0.439,0.175,0.419
0.253,0.253,0.236,0.258,1.02,0.79,0.19,0.436,0.175,0.419
0.251,0.254,0.236,0.259,1.02,0.78,0.19,0.435,0.175,0.419
0.252,0.253,0.236,0.259,1.02,0.79,0.188,0.434,0.175,0.419
0.251,0.254,0.236,0.258,1.03,0.8,0.195,0.441,0.175,0.419
0.249,0.25,0.247,0.254,1.03,0.79,0.194,0.44,0.175,0.419
0.25,0.252,0.239,0.259,1.03,0.8,0.193,0.439,0.175,0.419
0.249,0.252,0.239,0.26,1.03,0.8,0.191,0.437,0.175,0.419
0.252,0.251,0.238,0.26,1.03,0.8,0.19,0.436,0.175,0.419
0.253,0.252,0.237,0.258,1.03,0.79,0.19,0.436,0.175,0.419
0.254,0.253,0.236,0.257,1.03,0.79,0.19,0.436,0.175,0.419
0.25,0.251,0.239,0.26,1.03,0.79,0.188,0.434,0.175,0.419
0.252,0.252,0.236,0.26,1.03,0.79,0.188,0.433,0.175,0.419
0.248,0.252,0.239,0.26,1.03,0.8,0.187,0.433,0.175,0.419
0.254,0.253,0.236,0.257,1.03,0.79,0.187,0.432,0.175,0.419
0.25,0.253,0.238,0.26,1.03,0.8,0.186,0.432,0.175,0.419
0.252,0.252,0.238,0.258,1.03,0.8,0.185,0.43,0.175,0.419
0.248,0.249,0.247,0.256,1.03,0.79,0.184,0.429,0.175,0.419
0.253,0.251,0.236,0.26,1.03,0.79,0.184,0.429,0.175,0.419
0.25,0.254,0.237,0.259,1.03,0.8,0.182,0.426,0.175,0.419
0.251,0.251,0.238,0.261,1.03,0.8,0.181,0.425,0.175,0.419
0.253,0.25,0.238,0.259,1.03,0.79,0.18,0.424,0.175,0.419
0.252,0.253,0.237,0.257,1.03,0.8,0.18,0.424,0.175,0.419
0.252,0.252,0.237,0.259,1.04,0.81,0.195,0.442,0.175,0.419
0.253,0.249,0.238,0.26,1.04,0.81,0.193,0.439,0.175,0.419
0.255,0.25,0.237,0.258,1.04,0.81,0.187,0.432,0.175,0.419
0.253,0.242,0.249,0.256,1.04,0.81,0.184,0.429,0.175,0.419
0.252,0.251,0.238,0.259,1.04,0.81,0.182,0.427,0.175,0.419
0.251,0.251,0.239,0.26,1.04,0.81,0.182,0.426,0.175,0.419
0.251,0.244,0.249,0.256,1.04,0.81,0.18,0.425,0.175,0.419
0.249,0.254,0.238,0.259,1.04,0.8,0.179,0.423,0.175,0.419
0.25,0.252,0.239,0.259,1.04,0.81,0.179,0.423,0.175,0.419
0.25,0.251,0.238,0.261,1.04,0.81,0.178,0.422,0.175,0.419
0.252,0.252,0.237,0.259,1.04,0.81,0.178,0.422,0.175,0.419
0.251,0.252,0.238,0.259,1.04,0.81,0.174,0.417,0.175,0.419
0.255,0.248,0.238,0.259,1.04,0.81,0.173,0.416,0.175,0.419
0.25,0.242,0.249,0.259,1.05,0.81,0.19,0.436,0.175,0.419
0.252,0.249,0.238,0.26,1.05,0.82,0.189,0.435,0.175,0.419
0.253,0.25,0.238,0.259,1.05,0.82,0.184,0.429,0.175,0.419
0.255,0.246,0.239,0.26,1.05,0.82,0.183,0.428,0.175,0.419
0.253,0.246,0.238,0.263,1.05,0.82,0.183,0.428,0.175,0.419
0.252,0.249,0.239,0.26,1.05,0.83,0.182,0.427,0.175,0.419
0.249,0.251,0.24,0.261,1.05,0.82,0.175,0.418,0.175,0.419
0.249,0.245,0.25,0.256,1.05,0.82,0.174,0.417,0.175,0.419
0.252,0.251,0.238,0.258,1.05,0.82,0.17,0.412,0.175,0.419
0.253,0.25,0.239,0.258,1.05,0.82,0.165,0.407,0.175,0.419
0.255,0.246,0.239,0.26,1.06,0.84,0.178,0.422,0.175,0.419
0.253,0.249,0.239,0.26,1.06,0.83,0.175,0.418,0.175,0.419
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.253,0.252,0.241,0.253,0.19,0.14,0.155,0.394,0.183,0.428
0.25,0.253,0.242,0.255,0.19,0.14,0.153,0.392,0.183,0.428
0.253,0.25,0.242,0.255,0.19,0.14,0.149,0.385,0.183,0.428
0.254,0.25,0.242,0.254,0.19,0.14,0.146,0.382,0.183,0.428
0.253,0.251,0.242,0.254,0.19,0.14,0.145,0.381,0.183,0.428
0.251,0.249,0.244,0.256,0.19,0.14,0.144,0.38,0.183,0.428
0.254,0.248,0.242,0.255,0.19,0.14,0.144,0.379,0.183,0.428
0.254,0.248,0.243,0.256,0.19,0.14,0.143,0.378,0.183,0.428
0.253,0.25,0.243,0.254,0.19,0.14,0.142,0.377,0.183,0.428
0.253,0.245,0.245,0.257,0.19,0.14,0.14,0.374,0.183,0.428
0.249,0.248,0.245,0.258,0.19,0.14,0.137,0.37,0.183,0.428
0.252,0.249,0.243,0.256,0.19,0.14,0.137,0.37,0.183,0.428
0.253,0.249,0.243,0.256,0.19,0.14,0.136,0.368,0.183,0.428
0.251,0.247,0.245,0.257,0.19,0.15,0.135,0.367,0.183,0.428
0.248,0.254,0.243,0.255,0.19,0.14,0.135,0.367,0.183,0.428
0.251,0.248,0.245,0.257,0.19,0.14,0.134,0.366,0.183,0.428
0.254,0.246,0.244,0.257,0.19,0.14,0.133,0.365,0.183,0.428
0.252,0.25,0.243,0.256,0.19,0.14,0.133,0.365,0.183,0.428
0.251,0.247,0.245,0.256,0.19,0.14,0.133,0.364,0.183,0.428
0.25,0.248,0.245,0.257,0.19,0.14,0.133,0.364,0.183,0.428
0.253,0.246,0.244,0.257,0.19,0.14,0.132,0.363,0.183,0.428
0.251,0.248,0.244,0.256,0.19,0.14,0.132,0.363,0.183,0.428
0.252,0.246,0.245,0.257,0.19,0.14,0.131,0.362,0.183,0.428
0.249,0.253,0.243,0.256,0.19,0.14,0.129,0.359,0.183,0.428
0.25,0.249,0.244,0.257,0.19,0.14,0.128,0.358,0.183,0.428
0.252,0.247,0.245,0.257,0.19,0.14,0.126,0.355,0.183,0.428
0.253,0.247,0.244,0.257,0.19,0.14,0.125,0.354,0.183,0.428
0.252,0.248,0.244,0.257,0.19,0.14,0.125,0.354,0.183,0.428
0.25,0.248,0.244,0.257,0.19,0.14,0.125,0.354,0.183,0.428
0.254,0.246,0.245,0.256,0.19,0.15,0.123,0.351,0.183,0.428
0.25,0.25,0.244,0.256,0.19,0.14,0.118,0.343,0.183,0.428
