lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.261,0.259,0.241,0.239,29.27,23.55,0.48,0.693,0.178,0.421
0.246,0.244,0.256,0.254,33.12,27.09,0.461,0.679,0.178,0.421
0.249,0.239,0.257,0.255,33.23,27.26,0.464,0.681,0.178,0.421
0.247,0.24,0.258,0.255,33.33,27.32,0.452,0.672,0.178,0.421
0.246,0.24,0.258,0.256,33.38,27.38,0.456,0.676,0.178,0.421
0.248,0.239,0.257,0.256,33.4,27.35,0.457,0.676,0.178,0.421
0.248,0.238,0.258,0.257,33.41,27.41,0.456,0.675,0.178,0.421
0.245,0.24,0.259,0.256,33.5,27.56,0.458,0.677,0.178,0.421
0.245,0.241,0.258,0.256,33.51,27.57,0.459,0.678,0.178,0.421
0.244,0.243,0.257,0.257,33.52,27.45,0.451,0.672,0.178,0.421
0.245,0.242,0.259,0.254,33.53,27.5,0.458,0.677,0.178,0.421
0.248,0.235,0.26,0.258,33.54,27.6,0.468,0.684,0.178,0.421
0.242,0.244,0.258,0.256,33.55,27.57,0.456,0.675,0.178,0.421
0.246,0.239,0.258,0.257,33.55,27.61,0.452,0.672,0.178,0.421
0.246,0.239,0.259,0.256,33.57,27.54,0.445,0.667,0.178,0.421
0.244,0.24,0.259,0.257,33.59,27.57,0.452,0.672,0.178,0.421
0.245,0.24,0.258,0.257,33.61,27.63,0.447,0.669,0.178,0.421
0.244,0.241,0.258,0.257,33.63,27.59,0.454,0.673,0.178,0.421
0.249,0.234,0.26,0.257,33.64,27.52,0.465,0.682,0.178,0.421
0.245,0.239,0.259,0.257,33.64,27.67,0.461,0.679,0.178,0.421
0.239,0.244,0.26,0.258,33.64,27.68,0.456,0.675,0.178,0.421
0.248,0.237,0.26,0.256,33.66,27.66,0.464,0.681,0.178,0.421
0.245,0.24,0.258,0.257,33.66,27.6,0.463,0.68,0.178,0.421
0.246,0.24,0.257,0.257,33.66,27.75,0.457,0.676,0.178,0.421
0.244,0.239,0.261,0.257,33.71,27.67,0.469,0.685,0.178,0.421
0.24,0.243,0.26,0.257,33.71,27.66,0.45,0.671,0.178,0.421
0.244,0.241,0.258,0.256,33.73,27.68,0.454,0.674,0.178,0.421
0.243,0.239,0.26,0.258,33.77,27.82,0.461,0.679,0.178,0.421
0.246,0.237,0.259,0.258,33.77,27.73,0.457,0.676,0.178,0.421
0.247,0.235,0.26,0.258,33.78,27.79,0.464,0.681,0.178,0.421
0.242,0.241,0.26,0.257,33.78,27.81,0.459,0.677,0.178,0.421
0.242,0.242,0.26,0.255,33.82,27.91,0.456,0.675,0.178,0.421
0.243,0.241,0.26,0.256,33.82,27.75,0.455,0.674,0.178,0.421
0.249,0.233,0.259,0.259,33.84,27.83,0.466,0.683,0.178,0.421
0.248,0.235,0.259,0.258,33.85,27.83,0.461,0.679,0.178,0.421
0.238,0.244,0.261,0.257,33.86,27.88,0.453,0.673,0.178,0.421
0.25,0.235,0.259,0.256,33.87,27.82,0.464,0.681,0.178,0.421
0.243,0.238,0.26,0.259,33.89,27.86,0.464,0.682,0.178,0.421
0.241,0.242,0.259,0.257,33.89,27.9,0.456,0.675,0.178,0.421
0.243,0.24,0.259,0.257,33.9,27.75,0.453,0.673,0.178,0.421
0.246,0.238,0.26,0.256,33.93,27.87,0.46,0.678,0.178,0.421
0.246,0.236,0.261,0.256,34.17,28.2,0.466,0.683,0.178,0.421
0.255,0.221,0.263,0.261,34.29,28.23,0.479,0.692,0.178,0.421
0.256,0.221,0.263,0.261,34.36,28.2,0.455,0.675,0.178,0.421
0.253,0.217,0.266,0.264,34.67,28.6,0.468,0.684,0.178,0.421
0.253,0.219,0.265,0.263,34.76,28.72,0.467,0.683,0.178,0.421
0.253,0.218,0.264,0.265,34.8,28.67,0.461,0.679,0.178,0.421
0.252,0.221,0.265,0.263,34.81,28.72,0.456,0.675,0.178,0.421
0.254,0.216,0.266,0.264,34.86,28.83,0.464,0.681,0.178,0.421
0.253,0.22,0.264,0.262,35.07,29.05,0.461,0.679,0.178,0.421
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.259,0.261,0.224,0.256,0.4,0.31,0.287,0.536,0.185,0.431
0.258,0.255,0.228,0.26,0.41,0.32,0.322,0.567,0.185,0.431
0.255,0.256,0.228,0.261,0.41,0.32,0.32,0.566,0.185,0.431
0.257,0.251,0.23,0.262,0.41,0.32,0.317,0.563,0.185,0.431
0.257,0.255,0.229,0.258,0.41,0.32,0.315,0.561,0.185,0.431
0.258,0.253,0.23,0.26,0.41,0.32,0.314,0.56,0.185,0.431
0.256,0.256,0.229,0.26,0.41,0.32,0.312,0.558,0.185,0.431
0.255,0.255,0.23,0.26,0.41,0.32,0.311,0.558,0.185,0.431
0.257,0.253,0.229,0.261,0.41,0.32,0.31,0.557,0.185,0.431
0.255,0.254,0.231,0.261,0.41,0.32,0.308,0.555,0.185,0.431
0.255,0.254,0.23,0.261,0.41,0.32,0.307,0.554,0.185,0.431
0.258,0.253,0.229,0.26,0.41,0.32,0.307,0.554,0.185,0.431
0.258,0.253,0.23,0.259,0.41,0.32,0.307,0.554,0.185,0.431
0.255,0.253,0.23,0.261,0.41,0.32,0.306,0.553,0.185,0.431
0.256,0.254,0.229,0.261,0.41,0.32,0.305,0.552,0.185,0.431
0.255,0.255,0.231,0.259,0.41,0.32,0.305,0.553,0.185,0.431
0.255,0.253,0.231,0.261,0.41,0.32,0.304,0.552,0.185,0.431
0.254,0.255,0.23,0.261,0.41,0.32,0.304,0.551,0.185,0.431
0.255,0.254,0.23,0.261,0.41,0.32,0.304,0.551,0.185,0.431
0.255,0.255,0.23,0.26,0.41,0.32,0.303,0.551,0.185,0.431
0.254,0.256,0.23,0.26,0.41,0.32,0.303,0.55,0.185,0.431
0.258,0.251,0.231,0.261,0.41,0.32,0.303,0.55,0.185,0.431
0.255,0.253,0.23,0.261,0.41,0.32,0.303,0.55,0.185,0.431
