lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.247,0.247,0.255,0.251,15.14,11.92,0.386,0.621,0.399,0.631
0.246,0.248,0.254,0.252,15.22,12.0,0.379,0.616,0.399,0.631
0.247,0.248,0.255,0.25,15.23,12.01,0.383,0.618,0.399,0.631
0.249,0.248,0.254,0.25,15.23,12.02,0.379,0.616,0.399,0.631
0.248,0.248,0.253,0.251,15.24,12.05,0.381,0.617,0.399,0.631
0.248,0.247,0.253,0.252,15.24,12.0,0.378,0.615,0.399,0.631
0.248,0.244,0.255,0.253,15.25,12.04,0.38,0.616,0.399,0.631
0.247,0.246,0.255,0.253,15.26,12.05,0.377,0.614,0.399,0.631
0.247,0.246,0.255,0.252,15.26,12.02,0.376,0.614,0.399,0.631
0.245,0.247,0.255,0.253,15.28,12.0,0.372,0.61,0.399,0.631
0.248,0.247,0.256,0.249,15.29,12.07,0.377,0.614,0.399,0.631
0.249,0.247,0.254,0.25,15.29,12.04,0.377,0.614,0.399,0.631
0.248,0.247,0.255,0.25,15.29,12.08,0.375,0.612,0.399,0.631
0.246,0.246,0.256,0.252,15.29,12.05,0.373,0.611,0.399,0.631
0.246,0.246,0.255,0.252,15.29,12.05,0.373,0.611,0.399,0.631
0.247,0.247,0.255,0.252,15.29,12.06,0.372,0.61,0.399,0.631
0.246,0.247,0.255,0.252,15.31,12.09,0.375,0.613,0.399,0.631
0.246,0.248,0.255,0.252,15.31,12.09,0.375,0.612,0.399,0.631
0.244,0.246,0.256,0.253,15.32,12.07,0.374,0.612,0.399,0.631
0.245,0.246,0.256,0.253,15.34,12.15,0.367,0.606,0.399,0.631
0.245,0.245,0.256,0.253,15.34,12.15,0.366,0.605,0.399,0.631
0.244,0.246,0.257,0.253,15.35,12.11,0.368,0.606,0.399,0.631
0.245,0.246,0.256,0.252,15.35,12.14,0.367,0.606,0.399,0.631
0.249,0.244,0.257,0.25,15.36,12.15,0.371,0.609,0.399,0.631
0.244,0.247,0.256,0.253,15.37,12.13,0.367,0.606,0.399,0.631
0.245,0.248,0.256,0.25,15.38,12.14,0.373,0.611,0.399,0.631
0.246,0.244,0.257,0.253,15.4,12.1,0.36,0.6,0.399,0.631
0.246,0.246,0.256,0.251,15.41,12.15,0.366,0.605,0.399,0.631
0.247,0.246,0.257,0.25,15.43,12.18,0.373,0.611,0.399,0.631
0.242,0.246,0.258,0.254,15.46,12.25,0.357,0.597,0.399,0.631
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.262,0.262,0.212,0.263,1.06,0.85,0.439,0.662,0.381,0.617
0.262,0.262,0.212,0.263,1.07,0.85,0.451,0.672,0.381,0.617
0.262,0.263,0.212,0.264,1.07,0.85,0.449,0.67,0.381,0.617
0.262,0.261,0.212,0.264,1.07,0.85,0.448,0.67,0.381,0.617
0.257,0.252,0.232,0.26,1.07,0.85,0.447,0.669,0.381,0.617
0.262,0.262,0.213,0.264,1.07,0.85,0.445,0.667,0.381,0.617
0.262,0.263,0.212,0.263,1.07,0.85,0.445,0.667,0.381,0.617
0.262,0.262,0.212,0.264,1.07,0.85,0.445,0.667,0.381,0.617
0.256,0.255,0.231,0.258,1.07,0.85,0.442,0.665,0.381,0.617
0.262,0.262,0.212,0.264,1.07,0.85,0.441,0.664,0.381,0.617
0.262,0.261,0.213,0.264,1.07,0.85,0.439,0.663,0.381,0.617
0.255,0.256,0.231,0.257,1.07,0.85,0.439,0.663,0.381,0.617
0.262,0.261,0.214,0.263,1.07,0.85,0.437,0.661,0.381,0.617
0.261,0.259,0.216,0.264,1.07,0.85,0.437,0.661,0.381,0.617
0.262,0.263,0.213,0.262,1.08,0.85,0.445,0.667,0.381,0.617
0.257,0.253,0.234,0.256,1.08,0.86,0.443,0.666,0.381,0.617
0.262,0.263,0.212,0.263,1.08,0.85,0.442,0.665,0.381,0.617
0.26,0.262,0.214,0.264,1.08,0.85,0.442,0.665,0.381,0.617
0.262,0.261,0.212,0.264,1.08,0.85,0.441,0.664,0.381,0.617
0.262,0.259,0.215,0.264,1.08,0.86,0.441,0.664,0.381,0.617
0.259,0.251,0.234,0.256,1.08,0.86,0.441,0.664,0.381,0.617
0.258,0.252,0.234,0.256,1.08,0.85,0.44,0.664,0.381,0.617
0.259,0.262,0.214,0.264,1.08,0.85,0.44,0.664,0.381,0.617
0.262,0.262,0.213,0.262,1.08,0.86,0.44,0.663,0.381,0.617
0.261,0.262,0.213,0.264,1.08,0.85,0.437,0.661,0.381,0.617
0.263,0.261,0.214,0.262,1.08,0.86,0.437,0.661,0.381,0.617
0.262,0.262,0.213,0.263,1.08,0.86,0.435,0.659,0.381,0.617
0.261,0.261,0.213,0.265,1.08,0.86,0.434,0.659,0.381,0.617
0.261,0.26,0.215,0.264,1.08,0.85,0.429,0.655,0.381,0.617
0.259,0.261,0.216,0.265,1.08,0.85,0.425,0.652,0.381,0.617
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.252,0.252,0.239,0.257,0.2,0.15,0.173,0.415,0.202,0.449
0.25,0.254,0.239,0.256,0.2,0.15,0.165,0.406,0.202,0.449
0.251,0.253,0.24,0.256,0.2,0.15,0.164,0.406,0.202,0.449
0.252,0.25,0.24,0.257,0.2,0.15,0.161,0.401,0.202,0.449
0.248,0.253,0.241,0.258,0.2,0.15,0.161,0.401,0.202,0.449
0.248,0.251,0.242,0.258,0.2,0.15,0.159,0.399,0.202,0.449
0.246,0.252,0.243,0.259,0.2,0.15,0.158,0.397,0.202,0.449
0.249,0.253,0.241,0.256,0.2,0.15,0.158,0.398,0.202,0.449
0.252,0.249,0.242,0.256,0.2,0.15,0.158,0.398,0.202,0.449
0.25,0.251,0.242,0.257,0.2,0.15,0.157,0.396,0.202,0.449
0.249,0.252,0.242,0.257,0.2,0.15,0.156,0.395,0.202,0.449
0.25,0.253,0.241,0.256,0.2,0.15,0.156,0.395,0.202,0.449
0.246,0.251,0.244,0.259,0.2,0.15,0.156,0.396,0.202,0.449
0.249,0.252,0.241,0.257,0.2,0.15,0.155,0.394,0.202,0.449
0.248,0.252,0.242,0.258,0.2,0.15,0.154,0.393,0.202,0.449
0.247,0.252,0.243,0.258,0.2,0.15,0.153,0.391,0.202,0.449
0.249,0.252,0.242,0.258,0.2,0.15,0.152,0.389,0.202,0.449
0.247,0.252,0.242,0.259,0.2,0.15,0.152,0.39,0.202,0.449
0.246,0.255,0.242,0.257,0.2,0.15,0.151,0.389,0.202,0.449
0.249,0.251,0.242,0.258,0.2,0.15,0.151,0.389,0.202,0.449
0.25,0.252,0.241,0.257,0.2,0.15,0.151,0.389,0.202,0.449
0.244,0.254,0.244,0.258,0.2,0.15,0.15,0.387,0.202,0.449
0.248,0.25,0.243,0.259,0.2,0.15,0.148,0.385,0.202,0.449
0.247,0.251,0.244,0.259,0.2,0.15,0.147,0.384,0.202,0.449
0.248,0.248,0.245,0.26,0.2,0.15,0.143,0.378,0.202,0.449
0.246,0.249,0.245,0.26,0.2,0.15,0.138,0.371,0.202,0.449
0.245,0.251,0.245,0.26,0.2,0.15,0.138,0.372,0.202,0.449
0.247,0.247,0.246,0.261,0.2,0.15,0.136,0.369,0.202,0.449
0.249,0.248,0.244,0.26,0.2,0.15,0.136,0.369,0.202,0.449
0.247,0.25,0.244,0.259,0.2,0.15,0.132,0.364,0.202,0.449
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.247,0.247,0.254,0.252,15.18,11.98,0.385,0.62,0.399,0.631
0.249,0.248,0.253,0.251,15.19,12.01,0.387,0.622,0.399,0.631
0.247,0.245,0.255,0.253,15.21,12.0,0.381,0.617,0.399,0.631
0.247,0.247,0.254,0.252,15.22,12.01,0.378,0.615,0.399,0.631
