lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.246,0.248,0.253,0.253,16.37,12.85,0.279,0.528,0.399,0.631
0.245,0.247,0.254,0.254,16.37,12.85,0.277,0.527,0.399,0.631
0.247,0.247,0.253,0.253,16.38,12.85,0.281,0.531,0.399,0.631
0.246,0.247,0.253,0.254,16.38,12.84,0.279,0.528,0.399,0.631
0.246,0.247,0.253,0.254,16.4,12.84,0.276,0.526,0.399,0.631
0.247,0.246,0.253,0.254,16.42,12.87,0.276,0.525,0.399,0.631
0.247,0.245,0.254,0.254,16.42,12.86,0.272,0.521,0.399,0.631
0.245,0.246,0.254,0.254,16.42,12.9,0.272,0.521,0.399,0.631
0.246,0.246,0.254,0.255,16.42,12.88,0.271,0.52,0.399,0.631
0.244,0.245,0.256,0.256,16.45,12.93,0.274,0.524,0.399,0.631
0.242,0.248,0.255,0.255,16.45,12.93,0.27,0.519,0.399,0.631
0.245,0.246,0.254,0.255,16.45,12.89,0.269,0.519,0.399,0.631
0.246,0.244,0.255,0.255,16.46,12.88,0.273,0.523,0.399,0.631
0.244,0.246,0.255,0.255,16.46,12.9,0.27,0.519,0.399,0.631
0.245,0.246,0.254,0.255,16.46,12.89,0.268,0.517,0.399,0.631
0.244,0.246,0.255,0.255,16.46,12.93,0.267,0.516,0.399,0.631
0.243,0.246,0.255,0.256,16.48,12.91,0.267,0.517,0.399,0.631
0.244,0.245,0.256,0.256,16.5,12.91,0.262,0.511,0.399,0.631
0.244,0.245,0.255,0.255,16.52,12.95,0.266,0.516,0.399,0.631
0.245,0.244,0.255,0.256,16.52,12.97,0.265,0.515,0.399,0.631
0.246,0.244,0.255,0.256,16.52,12.93,0.264,0.514,0.399,0.631
0.243,0.246,0.255,0.256,16.52,12.98,0.26,0.51,0.399,0.631
0.246,0.242,0.256,0.256,16.54,12.97,0.268,0.518,0.399,0.631
0.241,0.245,0.257,0.257,16.55,13.01,0.255,0.505,0.399,0.631
0.244,0.243,0.256,0.257,16.56,13.0,0.258,0.508,0.399,0.631
0.242,0.243,0.257,0.257,16.59,13.02,0.253,0.503,0.399,0.631
0.242,0.244,0.257,0.257,16.6,13.0,0.26,0.51,0.399,0.631
0.24,0.245,0.257,0.258,16.6,13.01,0.256,0.506,0.399,0.631
0.246,0.241,0.256,0.256,16.61,13.06,0.261,0.511,0.399,0.631
0.242,0.243,0.257,0.258,16.63,13.05,0.258,0.508,0.399,0.631
