lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.252,0.25,0.244,0.253,9.2,6.98,0.41,0.641,0.082,0.287
0.25,0.251,0.245,0.254,9.2,6.97,0.408,0.639,0.082,0.287
0.254,0.248,0.245,0.254,9.21,6.95,0.425,0.652,0.082,0.287
0.253,0.247,0.252,0.248,9.21,6.96,0.422,0.649,0.082,0.287
0.251,0.251,0.245,0.253,9.21,7.01,0.404,0.636,0.082,0.287
0.25,0.248,0.251,0.252,9.21,7.0,0.404,0.635,0.082,0.287
0.252,0.252,0.246,0.25,9.22,7.0,0.418,0.646,0.082,0.287
0.25,0.251,0.247,0.252,9.22,7.01,0.415,0.644,0.082,0.287
0.25,0.252,0.245,0.253,9.22,7.02,0.411,0.641,0.082,0.287
0.251,0.248,0.253,0.249,9.23,7.01,0.417,0.645,0.082,0.287
0.251,0.249,0.251,0.249,9.23,7.03,0.412,0.642,0.082,0.287
0.25,0.253,0.247,0.249,9.23,7.01,0.412,0.642,0.082,0.287
0.252,0.252,0.247,0.249,9.23,7.03,0.407,0.638,0.082,0.287
0.25,0.249,0.253,0.249,9.24,7.01,0.417,0.646,0.082,0.287
0.252,0.249,0.248,0.251,9.26,7.01,0.424,0.651,0.082,0.287
0.253,0.25,0.246,0.251,9.26,7.03,0.417,0.645,0.082,0.287
0.251,0.25,0.245,0.254,9.26,7.05,0.405,0.636,0.082,0.287
0.252,0.25,0.248,0.25,9.28,7.07,0.406,0.637,0.082,0.287
0.252,0.247,0.249,0.252,9.29,7.03,0.417,0.646,0.082,0.287
0.253,0.25,0.248,0.249,9.3,7.09,0.411,0.641,0.082,0.287
0.248,0.247,0.251,0.254,9.3,7.02,0.397,0.63,0.082,0.287
0.251,0.252,0.246,0.25,9.31,7.03,0.407,0.638,0.082,0.287
0.253,0.249,0.247,0.252,9.31,7.06,0.4,0.632,0.082,0.287
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.26,0.26,0.223,0.258,0.96,0.75,0.51,0.714,0.116,0.341
0.26,0.26,0.223,0.257,0.96,0.75,0.5,0.707,0.116,0.341
0.262,0.266,0.21,0.263,0.97,0.76,0.511,0.715,0.116,0.341
0.264,0.264,0.209,0.263,0.97,0.76,0.511,0.715,0.116,0.341
0.263,0.265,0.209,0.263,0.97,0.76,0.508,0.713,0.116,0.341
0.257,0.259,0.224,0.26,0.97,0.76,0.507,0.712,0.116,0.341
0.264,0.262,0.21,0.264,0.97,0.76,0.505,0.71,0.116,0.341
0.262,0.265,0.211,0.261,0.97,0.76,0.505,0.71,0.116,0.341
0.264,0.266,0.209,0.262,0.97,0.76,0.504,0.71,0.116,0.341
0.263,0.266,0.209,0.262,0.97,0.76,0.503,0.709,0.116,0.341
0.263,0.264,0.209,0.264,0.97,0.76,0.503,0.709,0.116,0.341
0.265,0.262,0.209,0.264,0.97,0.76,0.503,0.709,0.116,0.341
0.263,0.265,0.209,0.263,0.97,0.76,0.502,0.709,0.116,0.341
0.263,0.265,0.209,0.262,0.97,0.76,0.502,0.709,0.116,0.341
0.263,0.265,0.21,0.262,0.97,0.77,0.499,0.706,0.116,0.341
0.262,0.263,0.211,0.263,0.97,0.76,0.498,0.705,0.116,0.341
