method,slice_type,slice_value,metric,n_rows,value,position
pooled_full_reference,pooled,all,rmse,380,3.528342105989344,QB
pooled_full_reference,pooled,all,mae,380,2.8078348742737727,QB
pooled_full_reference,pooled,all,bias,380,-0.1757964789170218,QB
separate_full_base,pooled,all,rmse,380,3.5254072150077107,QB
separate_full_base,pooled,all,mae,380,2.757612455329451,QB
separate_full_base,pooled,all,bias,380,0.20982245755549786,QB
experience_context,pooled,all,rmse,380,3.5299855915697753,QB
experience_context,pooled,all,mae,380,2.7797931004906453,QB
experience_context,pooled,all,bias,380,0.181710183498828,QB
market_room,pooled,all,rmse,380,3.546016962785111,QB
market_room,pooled,all,mae,380,2.7956662049665284,QB
market_room,pooled,all,bias,380,0.2331125875669072,QB
opportunity_role,pooled,all,rmse,380,3.578274559214805,QB
opportunity_role,pooled,all,mae,380,2.8000208980902297,QB
opportunity_role,pooled,all,bias,380,0.24676512510313411,QB
room_clarity,pooled,all,rmse,380,3.5128410884106516,QB
room_clarity,pooled,all,mae,380,2.7693263556316605,QB
room_clarity,pooled,all,bias,380,0.2964633190283988,QB
all_targeted,pooled,all,rmse,380,3.567245075410467,QB
all_targeted,pooled,all,mae,380,2.835840652822894,QB
all_targeted,pooled,all,bias,380,0.2723623403568712,QB
pooled_full_reference,season,2017,rmse,42,3.40328918812262,QB
pooled_full_reference,season,2017,mae,42,2.6569274713451527,QB
pooled_full_reference,season,2017,bias,42,-0.19799146261481274,QB
separate_full_base,season,2017,rmse,42,3.0775510070536574,QB
separate_full_base,season,2017,mae,42,2.383875624676345,QB
separate_full_base,season,2017,bias,42,0.2801316094005487,QB
experience_context,season,2017,rmse,42,3.199274738029871,QB
experience_context,season,2017,mae,42,2.5512186706605497,QB
experience_context,season,2017,bias,42,0.22957046189680638,QB
market_room,season,2017,rmse,42,3.0863492585071466,QB
market_room,season,2017,mae,42,2.4113430869717165,QB
market_room,season,2017,bias,42,0.2982099775759188,QB
opportunity_role,season,2017,rmse,42,3.146315578103195,QB
opportunity_role,season,2017,mae,42,2.430435381599607,QB
opportunity_role,season,2017,bias,42,0.21424145186230326,QB
room_clarity,season,2017,rmse,42,2.9615109183956116,QB
room_clarity,season,2017,mae,42,2.3872478167302535,QB
room_clarity,season,2017,bias,42,0.4348682393837199,QB
all_targeted,season,2017,rmse,42,3.1175997270144458,QB
all_targeted,season,2017,mae,42,2.5570656802995915,QB
all_targeted,season,2017,bias,42,0.3318514206623596,QB
pooled_full_reference,season,2018,rmse,40,3.8428968354798134,QB
pooled_full_reference,season,2018,mae,40,2.8456239529178653,QB
pooled_full_reference,season,2018,bias,40,-0.8951816904015122,QB
separate_full_base,season,2018,rmse,40,3.917923469061842,QB
separate_full_base,season,2018,mae,40,2.827081117945065,QB
separate_full_base,season,2018,bias,40,-0.5079119986331672,QB
experience_context,season,2018,rmse,40,3.8703855260349957,QB
experience_context,season,2018,mae,40,2.759374920991587,QB
experience_context,season,2018,bias,40,-0.4763518804168328,QB
market_room,season,2018,rmse,40,3.87303180564637,QB
market_room,season,2018,mae,40,2.788430674177051,QB
market_room,season,2018,bias,40,-0.5354171263101494,QB
opportunity_role,season,2018,rmse,40,3.931265494546181,QB
opportunity_role,season,2018,mae,40,2.8203459017133468,QB
opportunity_role,season,2018,bias,40,-0.5667802158580109,QB
room_clarity,season,2018,rmse,40,3.979385220986363,QB
room_clarity,season,2018,mae,40,2.800964066099883,QB
room_clarity,season,2018,bias,40,-0.1781000706306516,QB
all_targeted,season,2018,rmse,40,3.8834988625105176,QB
all_targeted,season,2018,mae,40,2.755872153536789,QB
all_targeted,season,2018,bias,40,-0.34631452451532796,QB
pooled_full_reference,season,2019,rmse,40,3.6900695110988884,QB
pooled_full_reference,season,2019,mae,40,2.8894223672111856,QB
pooled_full_reference,season,2019,bias,40,-0.6212309314740477,QB
separate_full_base,season,2019,rmse,40,3.7720021865688653,QB
separate_full_base,season,2019,mae,40,2.915271158819652,QB
separate_full_base,season,2019,bias,40,-0.4588197863740685,QB
experience_context,season,2019,rmse,40,3.804407805281102,QB
experience_context,season,2019,mae,40,3.0608555137531086,QB
experience_context,season,2019,bias,40,-0.510471725938042,QB
market_room,season,2019,rmse,40,3.836846013423494,QB
market_room,season,2019,mae,40,3.0202957276434517,QB
market_room,season,2019,bias,40,-0.2749966425935647,QB
opportunity_role,season,2019,rmse,40,3.8250404245849476,QB
opportunity_role,season,2019,mae,40,2.942358869375635,QB
opportunity_role,season,2019,bias,40,-0.33680899307002116,QB
room_clarity,season,2019,rmse,40,3.791436178013316,QB
room_clarity,season,2019,mae,40,2.941974327684773,QB
room_clarity,season,2019,bias,40,-0.31111461453056133,QB
all_targeted,season,2019,rmse,40,3.861986324208381,QB
all_targeted,season,2019,mae,40,3.036800804055796,QB
all_targeted,season,2019,bias,40,-0.17976971885880855,QB
pooled_full_reference,season,2020,rmse,42,4.086188604043627,QB
pooled_full_reference,season,2020,mae,42,3.2351407800953504,QB
