run_id,feature_run_id,model_name,position,variant,base_feature_count,added_feature_count,feature_count,added_features_json,feature_names_json
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,QB_experience_context,QB,experience_context,31,3,34,"[""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,QB_market_room,QB,market_room,31,5,36,"[""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,QB_opportunity_role,QB,opportunity_role,31,1,32,"[""team_rush_attempt_share""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""team_rush_attempt_share""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,QB_room_clarity,QB,room_clarity,31,5,36,"[""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std"", ""team_qb_projection_gap""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std"", ""team_qb_projection_gap""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,QB_all_targeted,QB,all_targeted,31,14,45,"[""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile"", ""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share"", ""team_rush_attempt_share"", ""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std"", ""team_qb_projection_gap""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile"", ""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share"", ""team_rush_attempt_share"", ""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std"", ""team_qb_projection_gap""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,RB_experience_context,RB,experience_context,31,3,34,"[""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,RB_market_room,RB,market_room,31,5,36,"[""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,RB_opportunity_role,RB,opportunity_role,31,3,34,"[""team_rush_attempt_share"", ""team_reception_share"", ""team_receiving_yard_share""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""team_rush_attempt_share"", ""team_reception_share"", ""team_receiving_yard_share""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,RB_room_clarity,RB,room_clarity,31,4,35,"[""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std""]"
m4a_position_feature_families_20260728T210218Z_be5f5f55,milestone_3_20260728T143652Z_86d0c2de,RB_all_targeted,RB,all_targeted,31,15,46,"[""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile"", ""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share"", ""team_rush_attempt_share"", ""team_reception_share"", ""team_receiving_yard_share"", ""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std""]","[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""expert_ppg_exp_peer_mean"", ""expert_ppg_exp_diff"", ""expert_ppg_exp_percentile"", ""adp_best_teammate_gap"", ""adp_worst_teammate_gap"", ""adp_mean_teammate_gap"", ""adp_teammates_better_count"", ""adp_room_strength_share"", ""team_rush_attempt_share"", ""team_reception_share"", ""team_receiving_yard_share"", ""consensus_room_gap_to_next"", ""consensus_room_player_count"", ""room_points_median"", ""room_share_std""]"
