arm,player,pos,year_exp,blocks_selected,selection_rate
excess_direct_g010,Aaron Jones,RB,8.0,5,0.625
excess_direct_g010,Ashton Jeanty,RB,0.0,1,0.125
excess_direct_g010,Bijan Robinson,RB,2.0,2,0.25
excess_direct_g010,CeeDee Lamb,WR,5.0,3,0.375
excess_direct_g010,Dylan Sampson,RB,0.0,1,0.125
excess_direct_g010,Garrett Wilson,WR,3.0,6,0.75
excess_direct_g010,J.K. Dobbins,RB,5.0,4,0.5
excess_direct_g010,Jake Ferguson,TE,3.0,1,0.125
excess_direct_g010,Jalen Hurts,QB,5.0,4,0.5
excess_direct_g010,James Conner,RB,8.0,6,0.75
excess_direct_g010,Jauan Jennings,WR,5.0,2,0.25
excess_direct_g010,Javonte Williams,RB,4.0,4,0.5
excess_direct_g010,Jayden Daniels,QB,1.0,2,0.25
excess_direct_g010,Jaydon Blue,RB,0.0,1,0.125
excess_direct_g010,Jerome Ford,RB,3.0,1,0.125
excess_direct_g010,Joe Mixon,RB,8.0,5,0.625
excess_direct_g010,Josh Downs,WR,2.0,7,0.875
excess_direct_g010,Josh Jacobs,RB,6.0,5,0.625
excess_direct_g010,Justin Fields,QB,4.0,1,0.125
excess_direct_g010,Kaleb Johnson,RB,0.0,4,0.5
excess_direct_g010,Keon Coleman,WR,1.0,2,0.25
excess_direct_g010,Lamar Jackson,QB,7.0,1,0.125
excess_direct_g010,Malik Nabers,WR,1.0,2,0.25
excess_direct_g010,Mark Andrews,TE,7.0,8,1.0
excess_direct_g010,Nick Chubb,RB,7.0,1,0.125
excess_direct_g010,Rashee Rice,WR,2.0,1,0.125
excess_direct_g010,Rhamondre Stevenson,RB,4.0,1,0.125
excess_direct_g010,Rome Odunze,WR,1.0,4,0.5
excess_direct_g010,Sam LaPorta,TE,2.0,3,0.375
excess_direct_g010,Tetairoa McMillan,WR,0.0,1,0.125
excess_direct_g010,Travis Kelce,TE,12.0,2,0.25
excess_direct_g010,Trey Benson,RB,1.0,2,0.25
excess_direct_g010,Tucker Kraft,TE,2.0,1,0.125
excess_direct_g010,Tyler Warren,TE,0.0,1,0.125
excess_direct_g010,Tyrone Tracy Jr.,RB,1.0,5,0.625
excess_direct_g010,Xavier Worthy,WR,1.0,3,0.375
excess_direct_g010,Zay Flowers,WR,2.0,1,0.125
excess_g005,Aaron Jones,RB,8.0,6,0.75
excess_g005,Bhayshul Tuten,RB,0.0,1,0.125
excess_g005,Bijan Robinson,RB,2.0,2,0.25
excess_g005,CeeDee Lamb,WR,5.0,2,0.25
excess_g005,Dylan Sampson,RB,0.0,1,0.125
excess_g005,Garrett Wilson,WR,3.0,7,0.875
excess_g005,J.K. Dobbins,RB,5.0,4,0.5
excess_g005,Jalen Hurts,QB,5.0,5,0.625
excess_g005,James Conner,RB,8.0,6,0.75
excess_g005,Jauan Jennings,WR,5.0,3,0.375
excess_g005,Javonte Williams,RB,4.0,4,0.5
excess_g005,Jayden Daniels,QB,1.0,2,0.25
excess_g005,Jerome Ford,RB,3.0,1,0.125
excess_g005,Joe Mixon,RB,8.0,3,0.375
excess_g005,Josh Downs,WR,2.0,7,0.875
excess_g005,Josh Jacobs,RB,6.0,5,0.625
excess_g005,Kaleb Johnson,RB,0.0,5,0.625
excess_g005,Keon Coleman,WR,1.0,2,0.25
excess_g005,Lamar Jackson,QB,7.0,1,0.125
excess_g005,Malik Nabers,WR,1.0,4,0.5
excess_g005,Mark Andrews,TE,7.0,8,1.0
excess_g005,Najee Harris,RB,4.0,1,0.125
excess_g005,Nick Chubb,RB,7.0,1,0.125
excess_g005,RJ Harvey,RB,0.0,1,0.125
excess_g005,Rhamondre Stevenson,RB,4.0,1,0.125
excess_g005,Rome Odunze,WR,1.0,4,0.5
excess_g005,Sam LaPorta,TE,2.0,4,0.5
excess_g005,Tetairoa McMillan,WR,0.0,1,0.125
excess_g005,Travis Kelce,TE,12.0,2,0.25
excess_g005,Trey Benson,RB,1.0,2,0.25
excess_g005,Tucker Kraft,TE,2.0,1,0.125
excess_g005,Tyler Warren,TE,0.0,1,0.125
excess_g005,Tyrone Tracy Jr.,RB,1.0,4,0.5
excess_g005,Xavier Worthy,WR,1.0,2,0.25
excess_g010,Aaron Jones,RB,8.0,6,0.75
excess_g010,Bhayshul Tuten,RB,0.0,1,0.125
excess_g010,Bijan Robinson,RB,2.0,2,0.25
excess_g010,CeeDee Lamb,WR,5.0,2,0.25
excess_g010,Dylan Sampson,RB,0.0,1,0.125
excess_g010,Garrett Wilson,WR,3.0,7,0.875
excess_g010,J.K. Dobbins,RB,5.0,4,0.5
excess_g010,Jalen Hurts,QB,5.0,5,0.625
excess_g010,James Conner,RB,8.0,6,0.75
excess_g010,Jauan Jennings,WR,5.0,3,0.375
excess_g010,Javonte Williams,RB,4.0,4,0.5
excess_g010,Jayden Daniels,QB,1.0,2,0.25
excess_g010,Jerome Ford,RB,3.0,1,0.125
excess_g010,Joe Mixon,RB,8.0,3,0.375
excess_g010,Josh Downs,WR,2.0,7,0.875
excess_g010,Josh Jacobs,RB,6.0,5,0.625
excess_g010,Kaleb Johnson,RB,0.0,5,0.625
excess_g010,Keon Coleman,WR,1.0,2,0.25
excess_g010,Lamar Jackson,QB,7.0,1,0.125
excess_g010,Malik Nabers,WR,1.0,4,0.5
excess_g010,Mark Andrews,TE,7.0,8,1.0
excess_g010,Najee Harris,RB,4.0,1,0.125
excess_g010,Nick Chubb,RB,7.0,1,0.125
excess_g010,RJ Harvey,RB,0.0,1,0.125
excess_g010,Rhamondre Stevenson,RB,4.0,1,0.125
excess_g010,Rome Odunze,WR,1.0,4,0.5
excess_g010,Sam LaPorta,TE,2.0,4,0.5
excess_g010,Tetairoa McMillan,WR,0.0,1,0.125
excess_g010,Travis Kelce,TE,12.0,2,0.25
excess_g010,Trey Benson,RB,1.0,2,0.25
excess_g010,Tucker Kraft,TE,2.0,1,0.125
excess_g010,Tyler Warren,TE,0.0,1,0.125
excess_g010,Tyrone Tracy Jr.,RB,1.0,4,0.5
excess_g010,Xavier Worthy,WR,1.0,2,0.25
excess_half_mean,A.J. Brown,WR,6.0,1,0.125
excess_half_mean,Aaron Jones,RB,8.0,4,0.5
excess_half_mean,Ashton Jeanty,RB,0.0,3,0.375
excess_half_mean,Austin Ekeler,RB,8.0,1,0.125
excess_half_mean,Bhayshul Tuten,RB,0.0,1,0.125
excess_half_mean,Bijan Robinson,RB,2.0,2,0.25
excess_half_mean,CeeDee Lamb,WR,5.0,1,0.125
excess_half_mean,Colston Loveland,TE,0.0,3,0.375
excess_half_mean,Deebo Samuel Sr.,WR,6.0,1,0.125
excess_half_mean,Dylan Sampson,RB,0.0,1,0.125
excess_half_mean,Evan Engram,TE,8.0,1,0.125
excess_half_mean,Garrett Wilson,WR,3.0,3,0.375
excess_half_mean,J.K. Dobbins,RB,5.0,4,0.5
excess_half_mean,Jalen Hurts,QB,5.0,3,0.375
excess_half_mean,James Conner,RB,8.0,7,0.875
excess_half_mean,Jauan Jennings,WR,5.0,3,0.375
excess_half_mean,Javonte Williams,RB,4.0,3,0.375
excess_half_mean,Jayden Daniels,QB,1.0,2,0.25
excess_half_mean,Jayden Higgins,WR,0.0,1,0.125
excess_half_mean,Jerome Ford,RB,3.0,2,0.25
excess_half_mean,Joe Mixon,RB,8.0,2,0.25
excess_half_mean,Josh Allen,QB,7.0,2,0.25
excess_half_mean,Josh Downs,WR,2.0,4,0.5
excess_half_mean,Josh Jacobs,RB,6.0,4,0.5
excess_half_mean,Kaleb Johnson,RB,0.0,2,0.25
excess_half_mean,Keon Coleman,WR,1.0,6,0.75
excess_half_mean,Malik Nabers,WR,1.0,2,0.25
excess_half_mean,Mark Andrews,TE,7.0,6,0.75
excess_half_mean,Michael Pittman,WR,5.0,1,0.125
excess_half_mean,Najee Harris,RB,4.0,3,0.375
excess_half_mean,Nick Chubb,RB,7.0,1,0.125
excess_half_mean,Patrick Mahomes,QB,8.0,1,0.125
excess_half_mean,Puka Nacua,WR,2.0,2,0.25
excess_half_mean,Rachaad White,RB,3.0,1,0.125
excess_half_mean,Rashee Rice,WR,2.0,1,0.125
excess_half_mean,Rhamondre Stevenson,RB,4.0,2,0.25
excess_half_mean,Rome Odunze,WR,1.0,3,0.375
excess_half_mean,Sam LaPorta,TE,2.0,1,0.125
excess_half_mean,Travis Kelce,TE,12.0,2,0.25
excess_half_mean,Trey Benson,RB,1.0,1,0.125
excess_half_mean,Tucker Kraft,TE,2.0,2,0.25
excess_half_mean,Tyler Warren,TE,0.0,1,0.125
excess_half_mean,Tyrone Tracy Jr.,RB,1.0,3,0.375
excess_half_mean,Will Shipley,RB,1.0,1,0.125
excess_half_mean,Xavier Worthy,WR,1.0,2,0.25
excess_half_mean,Zay Flowers,WR,2.0,1,0.125
excess_pure,A.J. Brown,WR,6.0,1,0.125
excess_pure,Aaron Jones,RB,8.0,4,0.5
excess_pure,Ashton Jeanty,RB,0.0,3,0.375
excess_pure,Austin Ekeler,RB,8.0,1,0.125
excess_pure,Bijan Robinson,RB,2.0,2,0.25
excess_pure,Braelon Allen,RB,1.0,1,0.125
excess_pure,Colston Loveland,TE,0.0,4,0.5
excess_pure,Dalton Kincaid,TE,2.0,1,0.125
excess_pure,Deebo Samuel Sr.,WR,6.0,1,0.125
excess_pure,Dylan Sampson,RB,0.0,2,0.25
excess_pure,Evan Engram,TE,8.0,1,0.125
excess_pure,Garrett Wilson,WR,3.0,2,0.25
excess_pure,J.K. Dobbins,RB,5.0,4,0.5
excess_pure,Jahmyr Gibbs,RB,2.0,1,0.125
excess_pure,Jalen Hurts,QB,5.0,3,0.375
excess_pure,James Conner,RB,8.0,6,0.75
excess_pure,Jauan Jennings,WR,5.0,3,0.375
excess_pure,Javonte Williams,RB,4.0,2,0.25
excess_pure,Jayden Daniels,QB,1.0,1,0.125
excess_pure,Jayden Higgins,WR,0.0,1,0.125
excess_pure,Jaydon Blue,RB,0.0,1,0.125
excess_pure,Jaylen Warren,RB,3.0,1,0.125
excess_pure,Jerome Ford,RB,3.0,2,0.25
excess_pure,Joe Mixon,RB,8.0,2,0.25
excess_pure,Josh Allen,QB,7.0,2,0.25
excess_pure,Josh Downs,WR,2.0,3,0.375
excess_pure,Josh Jacobs,RB,6.0,2,0.25
excess_pure,Keon Coleman,WR,1.0,5,0.625
excess_pure,Malik Nabers,WR,1.0,1,0.125
excess_pure,Mark Andrews,TE,7.0,5,0.625
excess_pure,Marvin Harrison Jr.,WR,1.0,1,0.125
excess_pure,Michael Pittman,WR,5.0,1,0.125
excess_pure,Najee Harris,RB,4.0,3,0.375
excess_pure,Nick Chubb,RB,7.0,1,0.125
excess_pure,Patrick Mahomes,QB,8.0,2,0.25
excess_pure,Puka Nacua,WR,2.0,3,0.375
excess_pure,Rachaad White,RB,3.0,1,0.125
excess_pure,Rashee Rice,WR,2.0,1,0.125
excess_pure,Rhamondre Stevenson,RB,4.0,2,0.25
excess_pure,Rome Odunze,WR,1.0,2,0.25
excess_pure,Sam LaPorta,TE,2.0,1,0.125
excess_pure,Saquon Barkley,RB,7.0,1,0.125
excess_pure,Tory Horton,WR,0.0,1,0.125
excess_pure,Travis Etienne,RB,4.0,1,0.125
excess_pure,Travis Hunter,WR,0.0,1,0.125
excess_pure,Travis Kelce,TE,12.0,1,0.125
excess_pure,Trey Benson,RB,1.0,1,0.125
