policy,seasons,forced_option_count,forced_young_count,candidate_attempts,reoptimization_refine_swaps,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_playoff_points,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,actual_best_keeper_surplus,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg
control,1,0.0,0.0,0.0,2.25,0.0,0.0,0.0,293.38109588623047,4.618904113769531,258.6712837219238,34.709824562072754,107.1196677684784,1207.7200317382812,1622.2445068359375,1460.2239990234375,1801.1351623535156,0.5765901580452919,0.0,1663.2228088378906,1517.0757751464844,1843.2351379394531,1515.2499694824219,1543.1450500488281,35.25,419.0299835205078,30.370081274038768,0.751,0.62,0.572,23.729374558963055,1.0,1.0,11.93571424484253
reinvest_k1,1,1.0,1.0,6.0,5.0,1.25,2.0,3.0,294.3714828491211,3.6285171508789062,267.70885467529297,26.662646770477295,107.80846214294434,1234.6700439453125,1625.0479431152344,1470.5986938476562,1802.6893005371094,0.5903175622224808,9.208099365234375,1660.3836669921875,1524.7497253417969,1838.4585266113281,1542.5249938964844,1563.4199829101562,34.25,433.60499572753906,38.16484896951229,0.791,0.694,0.631,24.05554104811956,1.0,1.0,12.26785683631897
reinvest_k2,1,1.75,1.75,12.0,5.75,1.75,2.5,3.25,292.44630432128906,5.5536956787109375,263.5159683227539,28.93034601211548,107.3864233493805,1194.6700439453125,1614.3109130859375,1450.4099731445312,1788.9434204101562,0.607147291302681,12.68157958984375,1653.7593078613281,1518.4813537597656,1829.1851501464844,1530.4500122070312,1553.0950317382812,32.5,436.8050079345703,43.31107148132506,0.8140000000000001,0.735,0.6709999999999999,24.031819820404053,1.0,1.0,12.59999942779541
reinvest_k3,1,2.5,2.5,18.0,7.5,2.0,3.25,4.5,292.68822479248047,5.311775207519531,268.3993835449219,24.288846015930176,107.80399513244629,1164.7450561523438,1621.7551574707031,1467.0321655273438,1784.1114501953125,0.614985853433609,18.649078369140625,1649.9094543457031,1516.3999633789062,1816.0606079101562,1480.7000122070312,1545.1699829101562,39.25,427.7050018310547,46.61932409571414,0.822,0.753,0.675,47.893166630681485,1.0,0.75,13.565000057220459
