player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Kurt Warner,112,QB,16,ARZ,625,206,26,180,93,10,17,0,1323,7,6,33.0,12.6,51.7,62.8,74.8
Drew Brees,802,QB,16,NO,653,178,13,162,86,6,6,0,837,2,7,27.3,7.3,53.1,58.9,54.0
Peyton Manning,327,QB,16,IND,573,174,14,156,90,5,4,0,923,2,6,30.4,8.0,57.7,62.1,63.1
David Garrard,1109,QB,16,JAX,616,213,42,150,78,16,9,0,811,5,3,34.6,19.7,52.0,63.4,70.7
Jay Cutler,2956,QB,16,DEN,651,168,10,144,71,3,3,0,882,6,5,25.8,6.0,49.3,52.6,68.1
Tony Romo,1693,QB,13,DAL,480,163,20,140,65,9,4,0,869,5,6,34.0,12.3,46.4,51.6,60.7
Ben Roethlisberger,1732,QB,16,PIT,532,182,47,127,62,8,7,0,756,2,7,34.2,25.8,48.8,55.9,49.9
Jason Campbell,2242,QB,16,WAS,571,181,38,126,65,11,8,0,777,4,3,31.7,21.0,51.6,62.5,71.4
Donovan McNabb,438,QB,16,PHI,618,165,23,126,60,10,2,0,723,5,2,26.7,13.9,47.6,54.1,72.3
Aaron Rodgers,2241,QB,16,GB,599,169,34,121,52,19,6,0,637,4,4,28.2,20.1,43.0,55.9,57.1
Philip Rivers,1725,QB,16,SD,515,151,24,121,61,14,7,0,864,7,2,29.3,15.9,50.4,62.2,86.2
Chad Pennington,596,QB,16,MIA,509,136,24,107,53,5,8,0,646,2,2,26.7,17.6,49.5,57.6,67.0
Kyle Orton,2323,QB,15,CHI,501,141,27,107,48,9,7,0,559,0,5,28.1,19.1,44.9,55.2,41.8
Matt Cassel,2447,QB,16,NE,602,164,46,105,43,7,6,0,573,1,4,27.2,28.0,41.0,50.0,46.3
Matt Ryan,4317,QB,16,ATL,472,125,17,105,49,11,8,0,787,2,4,26.5,13.6,46.7,57.6,62.7
Eli Manning,1722,QB,16,NYG,510,131,26,104,44,6,4,0,599,2,5,25.7,19.8,42.3,47.8,47.7
Joe Flacco,4332,QB,16,BLT,474,143,32,101,45,10,8,0,518,5,3,30.2,22.4,44.6,54.2,64.7
Matt Schaub,1811,QB,11,HST,416,131,23,100,47,11,8,0,580,5,4,31.5,17.6,47.0,58.8,65.4
JaMarcus Russell,3617,QB,15,OAK,409,131,30,97,39,10,8,0,485,3,3,32.0,22.9,40.2,49.4,53.8
Kerry Collins,115,QB,16,TEN,429,99,8,91,39,10,4,0,529,2,2,23.1,8.1,42.9,52.7,60.2
