player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Jon Kitna,217,QB,16,DET,624,217,51,159,86,17,4,3,1032,4,7,34.8,23.5,54.1,65.4,64.2
Peyton Manning,327,QB,16,IND,537,177,21,154,72,12,4,4,1038,6,10,33.0,11.9,46.8,55.5,55.1
Tom Brady,698,QB,16,NE,615,182,21,153,81,16,5,6,1075,10,3,29.6,11.5,52.9,66.4,89.1
Brett Favre,14,QB,16,GB,556,170,15,153,86,2,7,1,1090,8,11,30.6,8.8,56.2,62.1,66.1
Eli Manning,1722,QB,16,NYG,565,176,26,148,56,8,8,4,663,4,4,31.2,14.8,37.8,46.2,50.0
Tony Romo,1693,QB,16,DAL,561,182,24,146,92,4,0,1,1263,9,7,32.4,13.2,63.0,66.0,91.2
Philip Rivers,1725,QB,16,SD,491,169,22,145,68,24,4,3,752,5,9,34.4,13.0,46.9,62.3,48.4
Drew Brees,802,QB,16,NO,675,163,16,144,73,12,6,4,692,5,7,24.1,9.8,50.7,63.1,55.7
Derek Anderson,2430,QB,16,CLV,554,158,14,141,63,14,5,2,874,4,10,28.5,8.9,44.7,54.2,45.1
Jeff Garcia,550,QB,13,TB,367,164,19,138,70,20,3,2,827,5,1,44.7,11.6,50.7,66.1,78.4
Kurt Warner,112,QB,14,ARZ,474,157,20,136,69,11,8,4,887,5,8,33.1,12.7,50.7,62.9,59.3
Donovan McNabb,438,QB,14,PHI,546,197,44,135,62,21,8,3,820,4,4,36.1,22.3,45.9,61.9,63.2
Carson Palmer,1317,QB,16,CIN,596,147,16,129,61,7,5,6,621,5,6,24.7,10.9,47.3,58.3,55.1
Matt Hasselbeck,408,QB,16,SEA,612,172,33,129,60,21,1,1,841,6,5,28.1,19.2,46.5,58.1,67.4
Joey Harrington,1011,QB,12,ATL,388,158,32,121,63,7,4,0,524,2,5,40.7,20.3,52.1,57.8,51.8
Ben Roethlisberger,1732,QB,15,PIT,474,178,47,118,63,9,3,2,959,7,3,37.6,26.4,53.4,61.3,89.6
Jay Cutler,2956,QB,16,DEN,507,148,27,114,58,1,3,4,706,1,1,29.2,18.2,50.9,58.5,69.6
Jason Campbell,2242,QB,13,WAS,459,138,20,103,39,12,6,1,400,2,3,30.1,14.5,37.9,47.1,44.2
David Garrard,1109,QB,12,JAX,365,128,21,98,48,9,5,1,527,3,1,35.1,16.4,49.0,61.3,71.3
Marc Bulger,684,QB,12,STR,417,134,37,95,38,8,4,1,582,2,3,32.1,27.6,40.0,48.8,54.8
Vince Young,2948,QB,15,TEN,460,142,25,94,43,8,1,2,486,0,5,30.9,17.6,45.7,54.2,39.6
Matt Schaub,1811,QB,11,HST,313,111,16,90,45,14,4,0,450,2,2,35.5,14.4,50.0,63.4,62.7
Tarvaris Jackson,3009,QB,12,MIN,345,122,19,89,43,14,4,3,410,2,6,35.4,15.6,48.3,66.7,40.9
Chad Pennington,596,QB,9,NYJ,291,115,26,85,50,4,3,1,559,4,3,39.5,22.6,58.8,65.4,79.5
Trent Edwards,3708,QB,10,BUF,288,99,12,84,34,12,4,2,309,1,1,34.4,12.1,40.5,57.1,50.1
Damon Huard,215,QB,11,KC,371,118,36,80,44,8,1,1,566,2,3,31.8,30.5,55.0,66.2,70.1
Cleo Lemon,1271,QB,9,MIA,348,111,25,76,29,8,5,1,235,1,4,31.9,22.5,38.2,47.6,29.2
Sage Rosenfels,863,QB,9,HST,253,81,6,75,38,6,3,3,334,2,2,32.0,7.4,50.7,64.1,60.6
Kyle Boller,1335,QB,12,BLT,311,97,24,68,28,6,4,0,379,2,3,31.2,24.7,41.2,49.1,51.0
Kellen Clemens,2994,QB,10,NYJ,290,96,27,62,24,11,5,2,260,2,1,33.1,28.1,38.7,57.8,55.8
Steve McNair,114,QB,6,BLT,220,75,10,61,36,6,2,0,324,0,1,34.1,13.3,59.0,72.0,66.6
Alex Smith,2218,QB,7,SF,219,83,17,61,22,11,3,0,231,2,0,37.9,20.5,36.1,47.8,58.8
