player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Jon Kitna,217,QB,16,DET,676,251,63,177,90,14,6,8,954,5,9,37.1,25.1,50.8,63.6,55.1
Eli Manning,1722,QB,16,NYG,551,199,25,172,86,16,4,8,1014,6,8,36.1,12.6,50.0,63.9,60.6
Ben Roethlisberger,1732,QB,15,PIT,530,209,46,155,75,6,3,6,1062,5,10,39.4,22.0,48.4,56.6,54.8
Rex Grossman,1338,QB,16,CHI,501,175,21,153,66,15,8,5,888,5,8,34.9,12.0,43.1,55.0,51.3
Carson Palmer,1317,QB,16,CIN,560,181,36,145,62,9,7,4,733,7,3,32.3,19.9,42.8,52.4,66.3
Alex Smith,2218,QB,16,SF,502,190,35,142,68,20,8,8,714,4,3,37.8,18.4,47.9,67.9,63.5
Peyton Manning,327,QB,16,IND,577,159,14,142,84,13,1,7,1086,5,1,27.6,8.8,59.2,71.1,92.0
Brett Favre,14,QB,16,GB,637,162,20,141,65,10,4,9,776,1,1,25.4,12.3,46.1,59.2,62.8
Steve McNair,114,QB,16,BLT,494,155,13,137,78,8,10,3,793,3,1,31.4,8.4,56.9,69.8,77.9
Matt Leinart,2955,QB,12,ARZ,410,162,20,137,59,6,8,9,669,2,5,39.5,12.3,43.1,56.7,48.0
Drew Brees,802,QB,16,NO,583,161,17,137,73,14,4,7,910,4,4,27.6,10.6,53.3,70.2,71.7
Tom Brady,698,QB,16,NE,556,165,26,135,54,11,9,13,645,6,7,29.7,15.8,40.0,59.8,48.5
Philip Rivers,1725,QB,16,SD,501,164,26,133,61,17,6,4,797,9,2,32.7,15.9,45.9,60.7,81.6
Marc Bulger,684,QB,16,STR,641,182,50,130,71,10,2,10,993,5,3,28.4,27.5,54.6,68.6,82.6
Bruce Gradkowski,3139,QB,13,TB,384,170,25,129,62,11,6,7,634,3,2,44.3,14.7,48.1,63.9,63.9
David Carr,1009,QB,16,HST,506,172,39,123,67,19,3,1,695,3,7,34.0,22.7,54.5,72.3,55.4
Brad Johnson,31,QB,15,MIN,485,157,29,120,60,13,10,6,710,3,6,32.4,18.5,50.0,70.2,55.9
Michael Vick,773,QB,16,ATL,489,192,45,120,44,14,1,8,567,7,4,39.3,23.4,36.7,50.5,57.9
Chad Pennington,596,QB,16,NYJ,536,142,27,111,69,3,5,3,879,7,5,26.5,19.0,62.2,70.6,89.1
J.P. Losman,1743,QB,16,BUF,492,168,47,111,47,19,5,5,696,4,6,34.1,28.0,42.3,61.9,53.0
Jake Delhomme,303,QB,13,CAR,455,131,22,109,45,12,6,2,431,5,7,28.8,16.8,41.3,56.0,41.5
Charlie Frye,2284,QB,13,CLV,473,174,44,108,57,16,5,3,540,2,6,36.8,25.3,52.8,69.8,49.9
Joey Harrington,1011,QB,11,MIA,408,124,14,106,51,15,1,8,564,6,4,30.4,11.3,48.1,65.6,67.5
Vince Young,2948,QB,15,TEN,424,141,25,99,43,8,7,5,480,4,6,33.3,17.7,43.4,60.0,46.7
Donovan McNabb,438,QB,10,PHI,354,129,21,99,50,3,4,11,690,4,2,36.4,16.3,50.5,67.8,78.3
Tony Romo,1693,QB,12,DAL,376,124,21,94,50,4,5,4,677,5,2,33.0,16.9,53.2,63.5,85.3
Matt Hasselbeck,408,QB,12,SEA,412,122,31,85,32,12,4,6,422,4,6,29.6,25.4,37.6,56.7,40.4
Jake Plummer,248,QB,12,DEN,345,105,18,82,31,11,5,5,400,2,6,30.4,17.1,37.8,57.1,31.6
