player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Eli Manning,1722,QB,16,NYG,627,245,28,211,114,25,5,0,1796,7,7,39.1,11.4,54.0,64.4,79.8
Josh Freeman,4940,QB,15,TB,609,205,29,156,80,13,3,0,892,2,7,33.7,14.1,51.3,57.6,54.2
Rex Grossman,1338,QB,13,WAS,487,180,25,154,68,17,5,0,783,5,11,37.0,13.9,44.2,52.7,41.1
Philip Rivers,1725,QB,16,SD,621,181,29,148,66,25,4,0,830,4,6,29.1,16.0,44.6,56.9,54.7
Tarvaris Jackson,3009,QB,15,SEA,512,196,42,145,57,18,4,0,784,4,9,38.3,21.4,39.3,47.1,40.7
Michael Vick,773,QB,13,PHI,498,199,23,144,61,12,6,0,888,7,7,40.0,11.6,42.4,50.0,59.0
Drew Brees,802,QB,16,NO,693,175,24,144,84,6,7,0,994,10,3,25.3,13.7,58.3,64.6,93.9
Matt Ryan,4317,QB,16,ATL,607,172,26,143,64,13,4,0,775,4,5,28.3,15.1,44.8,52.5,56.7
Cam Newton,6153,QB,16,CAR,600,208,35,143,70,7,7,0,1078,5,6,34.7,16.8,49.0,54.7,68.5
Joe Flacco,4332,QB,16,BLT,582,177,31,140,62,18,7,0,722,3,6,30.4,17.5,44.3,54.4,49.8
Alex Smith,2218,QB,16,SF,515,195,44,138,57,16,6,0,775,4,2,37.9,22.6,41.3,50.0,63.5
Tony Romo,1693,QB,16,DAL,565,177,36,137,77,4,2,0,949,7,4,31.3,20.3,56.2,58.8,82.6
Ben Roethlisberger,1732,QB,15,PIT,566,185,40,135,74,7,2,0,830,6,2,32.7,21.6,54.8,59.7,82.0
Tom Brady,698,QB,16,NE,656,172,32,132,66,9,6,0,1006,8,2,26.2,18.6,50.0,56.9,89.4
Matthew Stafford,4924,QB,16,DET,711,172,36,129,60,17,2,0,960,6,4,24.2,20.9,46.5,55.6,74.4
Colt McCoy,5609,QB,13,CLV,534,179,33,125,58,11,3,0,535,2,4,33.5,18.4,46.4,54.2,50.6
Mark Sanchez,4928,QB,16,NYJ,600,165,39,119,43,11,7,0,410,3,5,27.5,23.6,36.1,43.9,37.4
Aaron Rodgers,2241,QB,15,GB,580,160,36,106,50,15,3,0,667,4,0,27.6,22.5,47.2,57.5,80.2
Jay Cutler,2956,QB,10,CHI,345,132,22,105,59,5,6,0,819,3,2,38.3,16.7,56.2,63.4,83.0
Ryan Fitzpatrick,2467,QB,16,BUF,617,136,22,102,45,5,6,0,488,2,8,22.0,16.2,44.1,50.0,32.6
Blaine Gabbert,6162,QB,15,JAX,475,153,40,102,41,15,2,0,525,3,3,32.2,26.1,40.2,49.4,54.6
Andy Dalton,6187,QB,16,CIN,563,138,24,101,39,20,3,0,559,4,0,24.5,17.4,38.6,51.3,70.5
Sam Bradford,5526,QB,10,STR,398,137,36,98,38,9,12,0,462,2,0,34.4,26.3,38.8,51.4,60.8
Matt Hasselbeck,408,QB,16,TEN,544,114,19,93,43,7,2,0,509,3,5,21.0,16.7,46.2,51.8,51.8
Matt Schaub,1811,QB,10,HST,313,109,16,92,39,18,1,0,575,3,1,34.8,14.7,42.4,55.7,69.8
Tim Tebow,5550,QB,12,DEN,341,150,33,90,31,17,2,0,443,3,3,44.0,22.0,34.4,43.7,48.5
John Skelton,5678,QB,8,ARZ,315,121,23,86,37,7,3,0,455,3,5,38.4,19.0,43.0,48.7,47.4
Carson Palmer,1317,QB,10,OAK,350,105,17,85,43,5,0,0,631,2,10,30.0,16.2,50.6,55.1,43.4
