player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Jay Cutler,2956,QB,16,CHI,609,197,34,157,67,9,6,0,972,8,11,32.3,17.3,42.7,47.9,51.2
David Garrard,1109,QB,16,JAX,593,207,42,151,68,16,18,0,855,4,2,34.9,20.3,45.0,60.7,66.5
Matt Schaub,1811,QB,16,HST,626,188,26,151,73,18,16,0,912,5,4,30.0,13.8,48.3,64.6,67.5
Tony Romo,1693,QB,16,DAL,597,180,34,142,74,5,4,0,985,4,2,30.2,18.9,52.1,56.9,77.9
Jason Campbell,2242,QB,16,WAS,577,198,43,140,62,14,13,0,924,7,7,34.3,21.7,44.3,57.9,62.3
Kurt Warner,112,QB,15,ARZ,543,163,24,138,65,3,20,0,731,2,7,30.0,14.7,47.1,58.6,47.1
Matt Cassel,2447,QB,15,KC,566,194,42,137,53,9,9,0,590,5,8,34.3,21.6,38.7,46.1,40.1
Kyle Orton,2323,QB,16,DEN,581,172,29,136,58,12,7,0,669,4,5,29.6,16.9,42.6,51.3,52.6
Tom Brady,698,QB,16,NE,587,151,16,134,64,10,9,0,896,8,8,25.7,10.6,47.8,55.7,64.8
Eli Manning,1722,QB,16,NYG,546,165,30,131,66,6,6,0,951,6,4,30.2,18.2,50.4,56.4,76.9
Aaron Rodgers,2241,QB,16,GB,623,197,50,131,72,11,6,0,1078,7,1,31.6,25.4,55.0,63.7,96.8
Joe Flacco,4332,QB,16,BLT,550,162,37,120,62,13,6,0,758,6,3,29.5,22.8,51.7,62.0,77.7
Philip Rivers,1725,QB,16,SD,522,147,25,117,56,10,12,0,856,6,3,28.2,17.0,47.9,58.9,78.9
Peyton Manning,327,QB,16,IND,583,127,10,116,69,5,3,0,971,5,6,21.8,7.9,59.5,63.9,79.3
Drew Brees,802,QB,15,NO,539,134,20,113,56,4,7,0,738,3,3,24.9,14.9,49.6,57.1,68.4
Brett Favre,14,QB,16,MIN,566,142,34,108,55,6,4,0,649,7,4,25.1,23.9,50.9,57.9,75.7
Ben Roethlisberger,1732,QB,15,PIT,567,160,50,104,57,4,12,0,844,3,4,28.2,31.3,54.8,66.3,75.2
