player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Matt Ryan,4317,QB,16,ATL,703,290,44,240,135,16,7,13,1489,8,8,41.3,15.2,56.3,69.2,72.0
Carson Palmer,1317,QB,16,ARZ,618,249,41,205,101,14,8,9,1149,3,15,40.3,16.5,49.3,60.4,40.9
Eli Manning,1722,QB,16,NYG,596,242,39,198,95,18,3,6,1249,7,10,40.6,16.1,48.0,57.4,59.1
Joe Flacco,4332,QB,16,BLT,677,242,48,188,90,12,9,9,975,3,10,35.7,19.8,47.9,59.3,46.7
Andrew Luck,7007,QB,16,IND,645,242,32,188,83,14,8,9,1096,7,6,37.5,13.2,44.1,58.2,62.3
Tom Brady,698,QB,16,NE,671,219,40,178,83,11,9,6,1163,5,5,32.6,18.3,46.6,56.3,65.8
Matthew Stafford,4924,QB,16,DET,668,193,23,165,75,13,2,12,971,3,7,28.9,11.9,45.5,60.0,52.9
Tony Romo,1693,QB,15,DAL,579,203,35,165,80,15,0,11,893,7,5,35.1,17.2,48.5,61.9,66.6
Drew Brees,802,QB,16,NO,699,208,37,165,79,22,6,7,896,10,6,29.8,17.8,47.9,63.7,69.7
Philip Rivers,1725,QB,16,SD,590,198,30,162,93,10,6,9,1298,8,4,33.6,15.2,57.4,71.3,89.5
Geno Smith,7820,QB,16,NYJ,517,217,43,160,65,21,2,12,874,1,7,42.0,19.8,40.6,57.5,42.6
Mike Glennon,7854,QB,13,TB,468,205,40,159,69,19,8,5,705,7,6,43.8,19.5,43.4,57.4,55.7
Ben Roethlisberger,1732,QB,16,PIT,639,207,42,155,77,12,4,10,1055,10,7,32.4,20.3,49.7,63.0,74.5
Ryan Tannehill,7014,QB,16,MIA,661,222,58,154,68,21,3,6,876,5,10,33.6,26.1,44.2,57.4,46.3
Chad Henne,4371,QB,15,JAX,551,196,37,152,81,9,5,9,976,2,4,35.6,18.9,53.3,68.2,66.7
Russell Wilson,7077,QB,16,SEA,502,220,44,148,73,21,1,5,974,10,5,43.8,20.0,49.3,63.4,79.1
Alex Smith,2218,QB,15,KC,593,203,39,142,65,13,3,11,759,4,1,34.2,19.2,45.8,62.8,69.0
Robert Griffin III,7008,QB,13,WAS,530,203,38,140,64,14,3,11,808,5,5,38.3,18.7,45.7,61.0,61.3
Matt Schaub,1811,QB,10,HST,383,160,21,136,61,16,2,4,704,1,5,41.8,13.1,44.9,57.0,48.2
Peyton Manning,327,QB,16,DEN,677,154,18,136,79,7,0,10,1095,6,3,22.7,11.7,58.1,69.0,89.6
Cam Newton,6153,QB,16,CAR,554,205,43,135,69,13,9,7,813,9,8,37.0,21.0,51.1,67.3,67.3
Jay Cutler,2956,QB,11,CHI,387,151,19,122,62,8,4,7,771,3,5,39.0,12.6,50.8,63.9,61.9
Andy Dalton,6187,QB,16,CIN,640,161,29,122,47,15,3,12,658,3,6,25.2,18.0,38.5,57.3,44.4
Terrelle Pryor,6944,QB,11,OAK,337,159,31,115,51,15,1,9,656,3,5,47.2,19.5,44.3,61.2,53.4
Colin Kaepernick,6188,QB,16,SF,502,175,39,110,48,11,1,6,698,6,4,34.9,22.3,43.6,56.8,67.9
Jason Campbell,2242,QB,9,CLV,346,130,16,106,51,17,4,2,596,4,3,37.6,12.3,48.1,62.4,66.4
Case Keenum,7323,QB,8,HST,277,126,19,104,44,12,3,7,503,4,5,45.5,15.1,42.3,60.0,50.3
Ryan Fitzpatrick,2467,QB,11,TEN,399,140,19,104,54,11,4,7,682,5,4,35.1,13.6,51.9,68.5,72.7
Nick Foles,7089,QB,13,PHI,362,124,28,94,45,17,5,4,681,3,0,34.3,22.6,47.9,68.1,82.8
Sam Bradford,5526,QB,7,STR,284,103,15,85,33,10,2,6,421,2,1,36.3,14.6,38.8,55.7,58.0
Brandon Weeden,7028,QB,8,CLV,301,115,27,85,24,15,5,9,290,1,7,38.2,23.5,28.2,52.4,10.9
E.J. Manuel,7797,QB,10,BUF,358,114,27,75,32,5,6,6,373,3,2,31.8,23.7,42.7,60.3,60.6
Christian Ponder,6164,QB,9,MIN,291,110,27,74,40,9,3,2,498,2,3,37.8,24.5,54.1,67.7,67.3
Josh McCown,1085,QB,8,CHI,243,90,11,73,41,9,3,6,630,6,0,37.0,12.2,56.2,79.7,112.2
Kellen Clemens,2994,QB,10,STR,272,99,21,72,35,5,5,2,386,1,4,36.4,21.2,48.6,60.7,46.4
Matt McGloin,8374,QB,7,OAK,220,76,6,68,28,3,1,5,315,3,4,34.5,7.9,41.2,52.4,45.9
Matt Cassel,2447,QB,9,MIN,281,92,16,67,33,5,2,5,450,3,1,32.7,17.4,49.3,65.5,79.8
Aaron Rodgers,2241,QB,9,GB,328,94,20,67,28,18,0,3,405,3,3,28.7,21.3,41.8,66.0,58.4
