player,pos,season,pred_ppg,avg_pick,raw_year_exp,capped_year_exp,threshold,experience_cohort,projection_tier,played_games,active_ppg,season_points,managed_points_above_waiver,forecast_managed_points,managed_residual_points,managed_miss_30,managed_upside_20,boom_weeks,pred_salary,pred_salary_raw,actual_salary,actual_salary_observed,training_through_year,data_rolling_origin,normalization_uses_target_actuals,method_version
Craig Reynolds,RB,2022,4.655912238190473,402.0,2.0,1.0,7.0,threshold_or_below,fringe,6,4.383333333333334,26.3,3.700000000000003,0.0,3.700000000000003,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
D'Andre Swift,RB,2022,15.055501342341799,14.44,2.0,2.0,7.0,threshold_or_below,elite,12,11.208333333333334,134.5,58.00000000000001,128.88802147746878,-70.88802147746878,True,False,1,45.0,45.0,45.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
D'Onta Foreman,RB,2022,5.474249132167028,187.37,5.0,6.0,7.0,threshold_or_below,fringe,14,9.028571428571428,126.4,74.3,0.0,74.3,False,True,5,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Dalvin Cook,RB,2022,15.857475845208945,7.81,5.0,5.0,7.0,threshold_or_below,elite,15,14.979999999999999,224.7,121.09999999999998,141.71961352334313,-20.619613523343148,False,False,4,96.03369365521404,95.18093088852761,96.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Dameon Pierce,RB,2022,11.702777272417888,68.2,0.0,0.0,7.0,threshold_or_below,starter,13,12.184615384615386,158.4,78.2,75.24443635868622,2.9555636413137876,False,False,3,28.237084960697576,27.384322194011148,34.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Damien Harris,RB,2022,9.70530243829377,92.89,3.0,3.0,7.0,threshold_or_below,starter,9,8.144444444444446,73.30000000000001,27.500000000000004,43.28483901270033,-15.784839012700328,True,False,2,16.125192776654913,15.272430009968485,27.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Darrel Williams,RB,2022,5.848359364758963,195.82,4.0,3.0,7.0,threshold_or_below,depth,5,4.0200000000000005,20.1,7.200000000000001,0.0,7.200000000000001,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Darrell Henderson,RB,2022,8.153995349063669,119.65,3.0,3.0,7.0,threshold_or_below,starter,10,6.8,68.0,17.4,18.4639255850187,-1.0639255850187013,False,False,1,5.003461971824352,4.150699205137922,1.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
David Montgomery,RB,2022,12.236320811652028,51.02,3.0,3.0,7.0,threshold_or_below,elite,14,11.5,161.0,73.60000000000002,83.78113298643245,-10.18113298643243,False,False,2,39.0,39.0,39.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Derrick Henry,RB,2022,16.341256380093437,8.71,6.0,6.0,7.0,threshold_or_below,elite,15,19.453333333333333,291.8,189.00000000000003,149.460102081495,39.539897918505034,False,True,4,101.3516563435668,100.49889357688038,87.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Devin Singletary,RB,2022,9.919403189559409,90.34,3.0,3.0,7.0,threshold_or_below,starter,15,10.946666666666667,164.20000000000002,67.4,46.710451032950544,20.68954896704946,False,True,4,24.25834192163529,23.40557915494886,22.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Dontrell Hilliard,RB,2022,5.485933076511232,231.82,3.0,4.0,7.0,threshold_or_below,fringe,11,6.427272727272728,70.7,25.000000000000004,0.0,25.000000000000004,False,True,4,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Elijah Mitchell,RB,2022,11.830936159455172,63.08,1.0,1.0,7.0,threshold_or_below,elite,4,6.15,24.6,2.3000000000000007,77.29497855128275,-74.99497855128276,True,False,0,36.734001678131406,35.881238911444974,39.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Eno Benjamin,RB,2022,5.7015674528387335,202.94,2.0,2.0,7.0,threshold_or_below,depth,10,7.460000000000001,74.60000000000001,21.900000000000002,0.0,21.900000000000002,False,True,2,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Ezekiel Elliott,RB,2022,12.34120188991777,37.54,6.0,6.0,7.0,threshold_or_below,elite,13,13.661538461538463,177.60000000000002,89.79999999999998,85.45923023868431,4.34076976131567,False,False,2,49.32040586111686,48.46764309443043,45.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Gary Brightwell,RB,2022,3.8704618242132605,255.95913874176927,1.0,1.0,7.0,threshold_or_below,fringe,6,3.3000000000000003,19.8,0.5,0.0,0.5,False,True,2,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Gus Edwards,RB,2022,6.340988868466451,215.54,4.0,4.0,7.0,threshold_or_below,depth,7,8.642857142857142,60.5,19.700000000000003,0.0,19.700000000000003,False,True,3,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Hassan Haskins,RB,2022,4.377438992248264,245.03,0.0,0.0,7.0,threshold_or_below,fringe,5,2.3200000000000003,11.600000000000001,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Isaiah Spiller,RB,2022,6.40711405106192,165.21,0.0,0.0,7.0,threshold_or_below,depth,5,1.3800000000000001,6.9,0.0,0.0,0.0,True,True,0,3.232463919068633,2.379701152382203,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Isiah Pacheco,RB,2022,7.107482677271288,147.4,0.0,1.0,7.0,threshold_or_below,depth,15,7.213333333333334,108.2,36.7,1.7197228363406083,34.980277163659395,False,True,5,2.4029011773883457,1.5501384107019158,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Jamaal Williams,RB,2022,7.4786958927568925,155.33,5.0,5.0,7.0,threshold_or_below,depth,15,12.780000000000001,191.70000000000002,100.40000000000003,7.65913428411028,92.74086571588975,False,True,7,3.71889575254726,2.86613298586083,1.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
James Conner,RB,2022,13.118400620186927,32.9,5.0,5.0,7.0,threshold_or_below,elite,12,14.475,173.7,90.79999999999998,97.89440992299083,-7.094409922990849,False,False,4,13.0,13.0,13.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
James Cook,RB,2022,8.998587202217987,107.36,0.0,0.0,7.0,threshold_or_below,starter,15,6.14,92.1,28.5,31.97739523548779,-3.4773952354877906,False,False,2,10.072118027707738,9.219355261021308,14.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
James Robinson,RB,2022,8.545208161631006,130.84,2.0,3.0,7.0,threshold_or_below,starter,11,8.100000000000001,89.10000000000001,43.60000000000001,24.723330586096097,18.87666941390391,False,True,4,7.1048838035809405,6.25212103689451,6.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Javonte Williams,RB,2022,14.789424487257953,19.61,1.0,1.0,7.0,threshold_or_below,elite,4,8.5,34.0,9.8,124.63079179612726,-114.83079179612726,True,False,0,41.0,41.0,41.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Jaylen Warren,RB,2022,4.676480472966066,230.58,0.0,1.0,7.0,threshold_or_below,fringe,14,4.514285714285714,63.2,10.9,0.0,10.9,False,True,4,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Jd Mckissic,RB,2022,6.982631223996978,151.97,5.0,5.0,7.0,threshold_or_below,depth,8,5.0625,40.5,2.9000000000000004,0.0,2.9000000000000004,False,True,0,2.0657437134942485,1.2129809468078185,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Jeff Wilson,RB,2022,5.766213967140605,202.21,4.0,3.0,7.0,threshold_or_below,depth,14,9.857142857142858,138.0,64.7,0.0,64.7,False,True,8,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Jerick Mckinnon,RB,2022,6.300682230123429,188.51,8.0,8.0,7.0,above_threshold,depth,15,9.786666666666667,146.8,66.60000000000001,0.0,66.60000000000001,False,True,5,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Jk Dobbins,RB,2022,11.613728512111265,61.34,2.0,2.0,7.0,threshold_or_below,starter,7,10.485714285714286,73.4,35.6,73.81965619378025,-38.219656193780246,True,False,2,12.0,12.0,12.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Joe Mixon,RB,2022,15.466503616687136,11.64,5.0,5.0,7.0,threshold_or_below,elite,13,15.630769230769232,203.20000000000002,113.90000000000002,135.46405786699418,-21.564057866994162,False,False,1,88.92056110015841,88.06779833347198,96.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Jonathan Taylor,RB,2022,18.15325840783364,1.29,2.0,2.0,7.0,threshold_or_below,elite,11,12.581818181818182,138.4,72.4,178.45213452533824,-106.05213452533823,True,False,1,76.0,76.0,76.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Josh Jacobs,RB,2022,11.155673989967804,67.52,3.0,3.0,7.0,threshold_or_below,starter,15,19.82,297.3,194.40000000000003,66.49078383948486,127.90921616051517,False,True,8,34.632787743688,33.78002497700157,37.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Joshua Kelley,RB,2022,4.672298779779133,249.96,2.0,2.0,7.0,threshold_or_below,fringe,10,5.180000000000001,51.800000000000004,12.800000000000004,0.0,12.800000000000004,False,True,2,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Kareem Hunt,RB,2022,9.231076744583632,94.54,5.0,5.0,7.0,threshold_or_below,starter,15,7.239999999999999,108.6,30.9,35.69722791333811,-4.797227913338112,False,False,2,13.75500578979361,12.90224302310718,27.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Ke'Shawn Vaughn,RB,2022,4.732537228756041,228.63638114416804,2.0,3.0,7.0,threshold_or_below,fringe,4,1.075,4.3,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Kenneth Gainwell,RB,2022,8.254724438292685,130.17,1.0,1.0,7.0,threshold_or_below,starter,15,4.866666666666666,73.0,17.6,20.075591012682963,-2.475591012682962,False,False,0,4.1179127964094615,3.2651500297230314,1.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Kenneth Walker,RB,2022,9.354996527958667,111.81,0.0,0.0,7.0,threshold_or_below,starter,13,13.338461538461539,173.4,96.60000000000001,37.67994444733867,58.92005555266134,False,True,5,12.574141415050699,11.721378648364269,17.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Kenyan Drake,RB,2022,5.70053645738221,209.78,6.0,6.0,7.0,threshold_or_below,depth,11,7.790909090909091,85.7,41.8,0.0,41.8,False,True,3,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Khalil Herbert,RB,2022,6.808779924609958,151.36,1.0,1.0,7.0,threshold_or_below,depth,11,10.072727272727274,110.80000000000001,53.800000000000004,0.0,53.800000000000004,False,True,5,1.9041357899582354,1.0513730232718057,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Kyle Juszczyk,RB,2022,4.3838552568524705,413.0,9.0,8.0,7.0,above_threshold,fringe,11,3.8000000000000003,41.800000000000004,2.799999999999999,0.0,2.799999999999999,False,True,2,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Kyren Williams,RB,2022,5.05707633301926,255.82,0.0,0.0,7.0,threshold_or_below,fringe,7,3.628571428571429,25.400000000000002,0.5000000000000009,0.0,0.5000000000000009,False,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Leonard Fournette,RB,2022,14.275137778759813,24.2,5.0,5.0,7.0,threshold_or_below,elite,14,13.642857142857142,191.0,96.40000000000002,116.40220446015701,-20.00220446015699,False,False,1,25.0,25.0,25.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Mark Ingram,RB,2022,6.719962603257109,195.79,11.0,8.0,7.0,above_threshold,depth,10,4.130000000000001,41.300000000000004,2.200000000000001,0.0,2.200000000000001,False,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Matt Breida,RB,2022,5.140335037054221,276.39,5.0,6.0,7.0,threshold_or_below,fringe,15,2.4066666666666667,36.1,3.3999999999999986,0.0,3.3999999999999986,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Melvin Gordon,RB,2022,9.334842962210413,109.8,7.0,7.0,7.0,threshold_or_below,starter,10,7.660000000000001,76.60000000000001,24.0,37.357487395366604,-13.357487395366604,True,False,1,9.732920241852865,8.880157475166435,22.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Michael Carter,RB,2022,9.200056813579844,123.77,1.0,1.0,7.0,threshold_or_below,starter,14,7.535714285714286,105.5,30.400000000000006,35.200909017277496,-4.80090901727749,False,False,2,6.980419506814128,6.127656740127698,7.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Mike Davis,RB,2022,5.073253790671071,207.84,7.0,7.0,7.0,threshold_or_below,fringe,5,0.64,3.2,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,2.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Miles Sanders,RB,2022,10.174778037911748,95.76,3.0,3.0,7.0,threshold_or_below,starter,15,14.086666666666668,211.3,118.69999999999999,50.79644860658797,67.90355139341202,False,True,5,24.5566006582308,23.70383789154437,20.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Najee Harris,RB,2022,16.65643407203054,8.52,1.0,1.0,7.0,threshold_or_below,elite,15,12.026666666666667,180.4,77.30000000000001,154.50294515248862,-77.20294515248861,True,False,1,97.47894272168045,96.62617995499403,92.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Nick Chubb,RB,2022,13.637162167379174,24.53,4.0,4.0,7.0,threshold_or_below,elite,15,16.753333333333334,251.3,146.4,106.19459467806678,40.20540532193323,False,True,5,59.270893467747584,58.41813070106115,81.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Nyheim Hines,RB,2022,7.047236230267309,121.83,4.0,4.0,7.0,threshold_or_below,depth,15,3.7600000000000002,56.400000000000006,8.8,0.7557796842769449,8.044220315723056,False,True,1,3.9932521185713443,3.1404893518849146,1.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Rachaad White,RB,2022,7.814050304297729,133.2,0.0,0.0,7.0,threshold_or_below,depth,14,7.878571428571429,110.30000000000001,36.4,13.024804868763667,23.37519513123633,False,True,4,5.15008081733059,4.29731805064416,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Raheem Mostert,RB,2022,7.907790046669834,151.39,5.0,4.0,7.0,threshold_or_below,starter,14,9.471428571428572,132.6,54.699999999999996,14.524640746717338,40.17535925328266,False,True,4,5.708593791646239,4.855831024959809,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Rashaad Penny,RB,2022,9.486572158094775,86.88,4.0,4.0,7.0,threshold_or_below,starter,5,10.64,53.2,25.300000000000004,39.785154529516404,-14.4851545295164,True,False,1,13.684911241100227,12.832148474413797,27.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Rex Burkhead,RB,2022,6.3416982407647895,219.16,9.0,8.0,7.0,above_threshold,depth,13,3.907692307692308,50.800000000000004,8.9,0.0,8.9,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
