dataset,pos,model_spec,outcome,n,above_threshold_n,unique_players,status,coefficient,cluster_se,coefficient_ci95_low,coefficient_ci95_high,p_value,marginal_delta_per_excess_year,marginal_unit
adp_top_100,RB,market_only,managed_points_above_waiver,607,39,197,ok,-0.5730374671952708,3.6094160430402393,-7.64749291155414,6.501417977163598,0.8738565289015923,-0.5730374671952708,points
adp_top_100,RB,market_only,managed_residual_points,607,39,197,ok,-2.099721500452606,3.2099464556581014,-8.391216553542485,4.191773552637272,0.5130282105298687,-2.099721500452606,points
adp_top_100,RB,market_only,boom_weeks,607,39,197,ok,-0.031010010506841882,0.11915989114042298,-0.26456339714207094,0.20254337612838716,0.7946796842073633,-0.031010010506841882,points
adp_top_100,RB,market_only,managed_miss_30,607,39,197,ok,0.06384682824441656,0.20023996251196835,-0.3286234982790414,0.45631715476787454,0.74983906350848,1.4122948914537221,percentage_points
adp_top_100,RB,market_only,managed_upside_20,607,39,197,ok,0.21871513246812008,0.185251976051292,-0.14437874059241224,0.5818090055286524,0.23774739783090704,3.126486293632276,percentage_points
adp_top_100,RB,projection_and_market,managed_points_above_waiver,607,39,197,ok,-0.8128664218954695,3.5903645779570525,-7.849980994691292,6.224248150900354,0.8208886207589392,-0.8128664218954695,points
adp_top_100,RB,projection_and_market,managed_residual_points,607,39,197,ok,-0.6876199779942763,3.569550414727091,-7.683938790859375,6.308698834870822,0.8472449125784755,-0.6876199779942763,points
adp_top_100,RB,projection_and_market,boom_weeks,607,39,197,ok,0.004162409221037829,0.12958440253107917,-0.2498230197398773,0.25814783818195297,0.9743753802967253,0.004162409221037829,points
adp_top_100,RB,projection_and_market,managed_miss_30,607,39,197,ok,0.10674073108179183,0.21339324967149528,-0.31151003827433893,0.5249915004379226,0.6169295482238288,2.305904089384719,percentage_points
adp_top_100,RB,projection_and_market,managed_upside_20,607,39,197,ok,0.1504947016455571,0.20175745794033606,-0.24494991591750157,0.5459393192086157,0.45571640572027283,2.0617919124752304,percentage_points
adp_top_100,WR,market_only,managed_points_above_waiver,681,48,189,ok,-1.0657815337734329,2.749215164201057,-6.454243255607505,4.322680188060639,0.6982620655623337,-1.0657815337734329,points
adp_top_100,WR,market_only,managed_residual_points,681,48,189,ok,-1.658478194886231,2.845200669224057,-7.235071506565382,3.9181151167929196,0.5599580829657409,-1.658478194886231,points
adp_top_100,WR,market_only,boom_weeks,681,48,189,ok,-0.07020481038248559,0.13809698916642876,-0.34087490914868596,0.20046528838371475,0.6111916332597915,-0.07020481038248559,points
adp_top_100,WR,market_only,managed_miss_30,681,48,189,ok,-0.1650729128346201,0.16007478447997278,-0.47881949041536676,0.14867366474612653,0.30243592528989705,-3.6776264764606688,percentage_points
adp_top_100,WR,market_only,managed_upside_20,681,48,189,ok,-0.013139553690251826,0.13007236430974445,-0.26808138773735096,0.2418022803568473,0.9195367597043931,-0.23246203222620776,percentage_points
adp_top_100,WR,projection_and_market,managed_points_above_waiver,681,48,189,ok,-1.1877835545968407,2.7131345260431914,-6.5055272256414955,4.129960116447814,0.6615384163501916,-1.1877835545968407,points
adp_top_100,WR,projection_and_market,managed_residual_points,681,48,189,ok,-1.1965480704042077,2.7181475247025624,-6.52411721882123,4.1310210780128145,0.6597870562932213,-1.1965480704042077,points
adp_top_100,WR,projection_and_market,boom_weeks,681,48,189,ok,-0.05279132922373897,0.13607689656823982,-0.31950204649748903,0.2139193880500111,0.6980514192040193,-0.05279132922373897,points
adp_top_100,WR,projection_and_market,managed_miss_30,681,48,189,ok,-0.1460148538412307,0.17066967115102358,-0.4805274092972369,0.18849770161477553,0.39225187002703255,-3.076406928374443,percentage_points
adp_top_100,WR,projection_and_market,managed_upside_20,681,48,189,ok,-0.0600314264339963,0.13714882777632872,-0.3288431288756006,0.20878027600760798,0.6615964506352212,-0.9762970919364166,percentage_points
adp_top_100,TE,market_only,managed_points_above_waiver,162,19,57,ok,4.0533130303408225,2.629928387478632,-1.1013466091172956,9.207972669798941,0.12326188224312294,4.0533130303408225,points
adp_top_100,TE,market_only,managed_residual_points,162,19,57,ok,0.46093470981010587,2.37541899409859,-4.1948865186231306,5.116755938243342,0.8461417900358632,0.46093470981010587,points
adp_top_100,TE,market_only,boom_weeks,162,19,57,ok,-0.06331876802511927,0.09739133781733104,-0.2542057901470881,0.12756825409684958,0.5155967290136758,-0.06331876802511927,points
adp_top_100,TE,market_only,managed_miss_30,162,19,57,ok,0.29686492132631365,0.21211081093243106,-0.11887226810125123,0.7126021107538785,0.16164071916203182,5.170324704612758,percentage_points
adp_top_100,TE,market_only,managed_upside_20,162,19,57,ok,0.33370035614596094,0.2942056794017753,-0.24294277548151855,0.9103434877734404,0.25669316779394835,3.493146039330184,percentage_points
adp_top_100,TE,projection_and_market,managed_points_above_waiver,162,19,57,ok,3.822075239425152,3.174385265852887,-2.3997198816465057,10.04387036049681,0.2285755304044501,3.822075239425152,points
adp_top_100,TE,projection_and_market,managed_residual_points,162,19,57,ok,3.8220752394252475,3.174385265852885,-2.3997198816464067,10.043870360496902,0.22857553040443823,3.8220752394252475,points
adp_top_100,TE,projection_and_market,boom_weeks,162,19,57,ok,0.03398279629564014,0.11603551494587135,-0.19344681299826771,0.261412405589548,0.7696249786831386,0.03398279629564014,points
