dataset,pos,quantile,n,above_threshold_n,status,points_per_excess_year,standard_error,ci95_low,ci95_high,p_value,uncertainty_note
adp_top_100,RB,0.1,607,39,ok,2.1347790182478548,3.800647002433758,-5.314489106522311,9.58404714301802,0.5745442519572116,asymptotic_nonclustered
adp_top_100,RB,0.5,607,39,ok,-0.22973752735788366,4.9497122448306285,-9.931173527225916,9.471698472510148,0.9629959173468425,asymptotic_nonclustered
adp_top_100,RB,0.9,607,39,ok,-7.289083385401682,10.127236228952784,-27.138466394149138,12.560299623345774,0.4719670550343241,asymptotic_nonclustered
adp_top_100,WR,0.1,681,48,ok,-3.579615869186,3.3288142718114897,-10.104091841936519,2.94486010356452,0.2826160989932488,asymptotic_nonclustered
adp_top_100,WR,0.5,681,48,ok,-2.0054451798321224,3.5532552287589767,-8.969825428199716,4.958935068535472,0.5726768759049293,asymptotic_nonclustered
adp_top_100,WR,0.9,681,48,ok,3.7125628895646514,5.52022270527547,-7.10707361277527,14.532199391904573,0.5014773272150332,asymptotic_nonclustered
adp_top_100,TE,0.1,162,19,ok,7.912706514112713,4.765117877331037,-1.4269245254561191,17.252337553681546,0.0990747589265526,asymptotic_nonclustered
adp_top_100,TE,0.5,162,19,ok,3.025513894373489,3.0445524916613644,-2.9418089892827854,8.992836778029764,0.3220854816003534,asymptotic_nonclustered
adp_top_100,TE,0.9,162,19,ok,5.0764878925896255,3.9290378456375334,-2.62442628485994,12.77740207003919,0.198501585414993,asymptotic_nonclustered
adp_top_200,RB,0.1,1107,88,ok,0.7655213153362865,1.6734432101565762,-2.5144273765706027,4.045470007243176,0.6474373590360456,asymptotic_nonclustered
adp_top_200,RB,0.5,1107,88,ok,0.1891909971501491,2.2528715029899233,-4.226437148710101,4.604819143010399,0.9330896711763257,asymptotic_nonclustered
adp_top_200,RB,0.9,1107,88,ok,-2.4080349453724637,5.378724875442217,-12.950335701239208,8.13426581049428,0.6544619643343564,asymptotic_nonclustered
adp_top_200,WR,0.1,1338,89,ok,-0.06467177830154469,1.3220201002487526,-2.6558311747890997,2.5264876181860103,0.9609913555856496,asymptotic_nonclustered
adp_top_200,WR,0.5,1338,89,ok,-1.3392569089282915,1.6290253515470234,-4.532146597960457,1.8536327801038746,0.41115685144536485,asymptotic_nonclustered
adp_top_200,WR,0.9,1338,89,ok,1.5923151761048757,2.8635621706573176,-4.020266678383466,7.204897030593218,0.5782638423256614,asymptotic_nonclustered
adp_top_200,TE,0.1,465,48,ok,4.022537404973292,1.3850018564780797,1.307933766276256,6.737141043670328,0.003865018286670967,asymptotic_nonclustered
adp_top_200,TE,0.5,465,48,ok,3.1077831361371864,1.765332428079539,-0.3522684228987103,6.567834695173083,0.07902432049270436,asymptotic_nonclustered
adp_top_200,TE,0.9,465,48,ok,2.4976738280138306,4.015831728374214,-5.3733563595996285,10.36870401562729,0.5342916842028187,asymptotic_nonclustered
