lock_version,model_run_id,player_key,season,position,history_depth,limited_history,is_rookie,year_exp,has_prior_outcome,projection_provider_count,projection_trajectory_prior_year_available,adp_median,actual,method,prediction,residual,pred_resid_5,pred_resid_10,pred_resid_25,pred_resid_50,pred_resid_75,pred_resid_90,pred_resid_95,resid_calibration_available,resid_calibration_pool,resid_calibration_rows
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6b29b0b2-3278-56db-a8d1-051278ac2156,2023,WR,veteran_with_history,0,0.0,2.0,1,4.0,1,115.68,6.5375000000000005,ridge_swap,7.941323292863742,-1.4038232928637413,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6bc52e10-146e-5657-86a7-a18757b656a6,2023,QB,veteran_with_history,0,0.0,6.0,1,4.0,1,15.85,17.88875,ridge_swap,21.025246970136934,-3.136496970136932,-5.1332431966144805,-4.172688200807487,-2.5592870626007818,-0.3367169398161822,2.8561829632403333,5.176116355568324,6.0621686119312965,1,position_history,144
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6c1bf6bc-485d-546c-a596-0fa0f57886f6,2023,WR,rookie,1,1.0,0.0,0,3.0,0,397.0,6.32,ridge_swap,3.9920944569008543,2.327905543099146,-4.3231187331155585,-3.906851697084096,-2.5730736613030034,-0.8986555572443757,1.4705723694245627,3.7016227547281777,5.002903643778142,1,position_history,145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6d2b5250-67c3-5911-90e5-02873b657c48,2023,RB,veteran_with_history,0,0.0,4.0,1,3.0,1,393.0,5.016666666666667,ridge_swap,4.368995532514628,0.6476711341520387,-4.081087588632298,-3.5525857885899996,-2.267031050165528,-0.5665588614519579,1.8584209582700026,4.303462286450706,6.046706470263461,1,position_history,443
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6e4ef93f-1261-5bab-9ef2-a620679de8d6,2023,RB,veteran_with_history,0,0.0,3.0,1,4.0,1,165.41000000000003,5.033333333333333,ridge_swap,5.722380521367925,-0.6890471880345919,-4.081087588632298,-3.5525857885899996,-2.267031050165528,-0.5665588614519579,1.8584209582700026,4.303462286450706,6.046706470263461,1,position_history,443
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6f792e01-0795-5eb6-a30e-73339927dd18,2023,WR,veteran_with_history,0,0.0,7.0,1,2.0,1,,4.9,ridge_swap,2.9552214436051494,1.944778556394851,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,6fa42987-c7cb-5523-b13f-3edc75481002,2023,RB,veteran_with_history,0,0.0,8.0,1,4.0,1,101.0,18.546666666666667,ridge_swap,8.466418441787251,10.080248224879416,-4.081087588632298,-3.5525857885899996,-2.267031050165528,-0.5665588614519579,1.8584209582700026,4.303462286450706,6.046706470263461,1,position_history,443
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,70c5d964-5a7d-5d3c-8828-ceec17da4c53,2023,WR,veteran_with_history,0,0.0,5.0,1,4.0,1,299.0,1.275,ridge_swap,4.12428732973002,-2.84928732973002,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,71722c3c-7798-53c9-bb1c-0108d109b511,2023,TE,veteran_with_history,0,0.0,9.0,1,4.0,1,215.57,6.66,ridge_swap,4.880130299076246,1.7798697009237543,-3.023407565030615,-2.5883866652343523,-1.6377310643526144,-0.605007186760341,0.8615098919293843,2.1313620353285847,3.922021240775047,1,position_history,396
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7206cc5c-2225-5a6b-aa8d-8625f1219075,2023,RB,second_year,1,0.0,1.0,1,4.0,1,44.2,13.307142857142859,ridge_swap,12.152013241709051,1.1551296154338075,-4.05815712295621,-3.251819530662753,-2.400289771656812,-0.7386365942053099,2.3437770063086,5.291566440647559,6.464560389195128,1,position_history,116
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,726aa3d5-72b9-55e6-8fb7-21a5f6fa3576,2023,WR,second_year,1,0.0,1.0,1,4.0,1,205.535,6.728571428571429,ridge_swap,5.929230604042394,0.7993408245290343,-3.775262786647388,-3.104773045205921,-2.078456637558255,-0.5288924908232282,1.7696319011504091,3.2217928938488147,3.9735195299682493,1,position_history,159
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,72b2f3f3-b839-5cac-8e3c-3619f6ec239b,2023,WR,veteran_with_history,0,0.0,5.0,1,4.0,1,66.57,10.563333333333334,ridge_swap,10.503449196454346,0.059884136878988414,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,734ded88-2194-5d13-ad95-69483a0935e7,2023,TE,veteran_with_history,0,0.0,3.0,1,3.0,1,,2.646153846153846,ridge_swap,3.488076127436853,-0.841922281283007,-3.023407565030615,-2.5883866652343523,-1.6377310643526144,-0.605007186760341,0.8615098919293843,2.1313620353285847,3.922021240775047,1,position_history,396
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7405e0c6-7137-5435-9940-e072b72ba73e,2023,RB,veteran_with_history,0,0.0,7.0,1,3.0,1,123.0,8.9625,ridge_swap,7.993417945109002,0.9690820548909986,-4.081087588632298,-3.5525857885899996,-2.267031050165528,-0.5665588614519579,1.8584209582700026,4.303462286450706,6.046706470263461,1,position_history,443
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,74bb345b-6996-5256-88cf-e7d7731ca426,2023,WR,rookie,1,1.0,0.0,0,4.0,0,214.45999999999998,4.825,ridge_swap,5.532688034383441,-0.7076880343834411,-4.3231187331155585,-3.906851697084096,-2.5730736613030034,-0.8986555572443757,1.4705723694245627,3.7016227547281777,5.002903643778142,1,position_history,145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,74cbf5f4-34b4-5d31-9f38-c4300bc6bd97,2023,WR,rookie,1,1.0,0.0,0,4.0,0,175.265,7.4875,ridge_swap,6.059870456088636,1.4276295439113635,-4.3231187331155585,-3.906851697084096,-2.5730736613030034,-0.8986555572443757,1.4705723694245627,3.7016227547281777,5.002903643778142,1,position_history,145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,751ab553-97e0-5d8f-beaf-dc98d3031a43,2023,TE,second_year,1,0.0,1.0,1,4.0,1,280.5,2.923076923076923,ridge_swap,4.111364445777297,-1.188287522700374,-3.022766802022279,-2.605069464143546,-1.6202652427630668,-0.5853804847540136,0.8380478247441974,2.091226654344364,3.672806768238794,1,position,533
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,760b9558-a17e-533f-813d-7501cc43c036,2023,TE,second_year,1,0.0,1.0,1,3.0,1,263.5,2.5,ridge_swap,4.133739138650774,-1.6337391386507738,-3.022766802022279,-2.605069464143546,-1.6202652427630668,-0.5853804847540136,0.8380478247441974,2.091226654344364,3.672806768238794,1,position,533
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,766f6b56-6a07-5754-8f4d-d3f9e283238b,2023,RB,second_year,1,0.0,1.0,1,4.0,1,244.865,1.7777777777777777,ridge_swap,4.592286755644608,-2.81450897786683,-4.05815712295621,-3.251819530662753,-2.400289771656812,-0.7386365942053099,2.3437770063086,5.291566440647559,6.464560389195128,1,position_history,116
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,77e71b05-da61-55ac-996d-1a2bc740d30f,2023,TE,veteran_with_history,0,0.0,5.0,1,4.0,1,174.76,5.625,ridge_swap,5.844961066331847,-0.2199610663318472,-3.023407565030615,-2.5883866652343523,-1.6377310643526144,-0.605007186760341,0.8615098919293843,2.1313620353285847,3.922021240775047,1,position_history,396
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7805bec6-73d0-5bde-aa0b-7790704f70d2,2023,WR,veteran_with_history,0,0.0,3.0,1,2.0,1,332.0,1.6875000000000002,ridge_swap,4.121965015733167,-2.434465015733167,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7874dae0-cc67-569b-8cf6-1c68b956320a,2023,RB,rookie,1,1.0,0.0,0,4.0,0,236.91500000000002,4.862500000000001,ridge_swap,4.526243796659139,0.33625620334086204,-4.811421267104855,-3.708633014799016,-2.236007308778904,0.15704870577253405,2.3275051994451434,4.350487593547862,5.950945971567863,1,position_history,120
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,78d27146-ea95-5322-8c6f-5f07c046cae2,2023,WR,rookie,1,1.0,0.0,0,2.0,0,,2.2363636363636363,ridge_swap,4.634630805456905,-2.398267169093269,-4.3231187331155585,-3.906851697084096,-2.5730736613030034,-0.8986555572443757,1.4705723694245627,3.7016227547281777,5.002903643778142,1,position_history,145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,79e06226-ecc0-5f69-8a91-109b9e055cde,2023,QB,veteran_with_history,0,0.0,3.0,1,4.0,0,138.5,18.9075,ridge_swap,13.761254285827903,5.146245714172096,-5.1332431966144805,-4.172688200807487,-2.5592870626007818,-0.3367169398161822,2.8561829632403333,5.176116355568324,6.0621686119312965,1,position_history,144
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7aa34987-b798-52ad-a4be-7044a08d5687,2023,WR,veteran_with_history,0,0.0,2.0,1,4.0,1,152.57,5.0875,ridge_swap,8.084771796078075,-2.997271796078074,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7ae33581-c9ae-51b6-a8d5-fe24f3e5615a,2023,WR,veteran_with_history,0,0.0,7.0,1,4.0,1,7.99,21.413333333333338,ridge_swap,15.132729473991864,6.280603859341474,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7b124555-7277-55eb-9dbe-e5c92cc500b8,2023,TE,veteran_with_history,0,0.0,6.0,1,4.0,1,83.7,9.8375,ridge_swap,8.012747082254247,1.8247529177457533,-3.023407565030615,-2.5883866652343523,-1.6377310643526144,-0.605007186760341,0.8615098919293843,2.1313620353285847,3.922021240775047,1,position_history,396
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7be78c3a-0b36-5aca-ba0c-dc74fa36f05f,2023,WR,veteran_with_history,0,0.0,3.0,1,4.0,1,89.66,9.793333333333333,ridge_swap,9.340942922999526,0.4523904103338072,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7d12f454-b29e-50c0-91b2-d5fa12fa4f1b,2023,TE,veteran_with_history,0,0.0,8.0,1,3.0,1,,2.0571428571428574,ridge_swap,2.911066114808495,-0.8539232576656377,-3.023407565030615,-2.5883866652343523,-1.6377310643526144,-0.605007186760341,0.8615098919293843,2.1313620353285847,3.922021240775047,1,position_history,396
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7d3a27f8-bd58-5a8d-b75d-36768a844731,2023,TE,veteran_with_history,0,0.0,3.0,1,3.0,1,,1.1222222222222225,ridge_swap,3.0395225282594005,-1.917300306037178,-3.023407565030615,-2.5883866652343523,-1.6377310643526144,-0.605007186760341,0.8615098919293843,2.1313620353285847,3.922021240775047,1,position_history,396
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7d523170-2072-517b-a5cd-9ad2dac1db12,2023,WR,veteran_with_history,0,0.0,5.0,1,4.0,1,,3.016666666666667,ridge_swap,3.5422680427811044,-0.5256013761144374,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7e051f91-a7cc-559f-bd43-7219ebf411fb,2023,WR,veteran_with_history,0,0.0,8.0,1,2.0,1,,4.6000000000000005,ridge_swap,3.55755251842654,1.0424474815734603,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7f00be18-1c01-5107-833b-05171cde6db6,2023,RB,second_year,1,0.0,1.0,1,4.0,1,161.3,21.5,ridge_swap,5.891945139590938,15.608054860409062,-4.05815712295621,-3.251819530662753,-2.400289771656812,-0.7386365942053099,2.3437770063086,5.291566440647559,6.464560389195128,1,position_history,116
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,7ff22629-b2b9-58c7-b56d-8eea3366f94e,2023,QB,second_year,1,0.0,1.0,0,4.0,0,155.0,13.445,ridge_swap,13.491166656291186,-0.046166656291186214,-5.760696076974875,-4.5136867241028895,-2.678624420343807,-0.19209593031424355,2.816448816991233,5.522746301737575,6.786948797444448,1,position,185
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,80070e8c-0dae-55b3-801f-2ba52b4bb6cd,2023,WR,veteran_with_history,0,0.0,7.0,1,3.0,1,171.595,9.8,ridge_swap,5.0313922751705755,4.768607724829425,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,805959bf-d59f-504f-abaa-98bcf0481637,2023,QB,veteran_with_history,0,0.0,11.0,1,4.0,1,134.25,15.926666666666668,ridge_swap,15.52651105827796,0.4001556083887081,-5.1332431966144805,-4.172688200807487,-2.5592870626007818,-0.3367169398161822,2.8561829632403333,5.176116355568324,6.0621686119312965,1,position_history,144
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,811d85e9-b4ef-5316-8bb8-1728230f4028,2023,WR,second_year,1,0.0,1.0,1,4.0,1,330.0,1.225,ridge_swap,4.155950147506125,-2.9309501475061253,-3.775262786647388,-3.104773045205921,-2.078456637558255,-0.5288924908232282,1.7696319011504091,3.2217928938488147,3.9735195299682493,1,position_history,159
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,82ad4ebc-5174-50f2-bf98-50d436174cf3,2023,WR,rookie,1,1.0,0.0,0,1.0,0,372.0,3.6916666666666664,ridge_swap,4.8139627695304235,-1.122296102863757,-4.3231187331155585,-3.906851697084096,-2.5730736613030034,-0.8986555572443757,1.4705723694245627,3.7016227547281777,5.002903643778142,1,position_history,145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,839e45a8-8159-53d2-bd45-9122fb57bf9b,2023,RB,second_year,1,0.0,1.0,1,4.0,1,63.5,14.725000000000001,ridge_swap,10.459108591444481,4.26589140855552,-4.05815712295621,-3.251819530662753,-2.400289771656812,-0.7386365942053099,2.3437770063086,5.291566440647559,6.464560389195128,1,position_history,116
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,84368cbf-8818-5e30-93e1-904c7cd26643,2023,WR,rookie,1,1.0,0.0,0,4.0,0,217.4,2.141666666666667,ridge_swap,4.600211946585634,-2.4585452799189667,-4.3231187331155585,-3.906851697084096,-2.5730736613030034,-0.8986555572443757,1.4705723694245627,3.7016227547281777,5.002903643778142,1,position_history,145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260803T042536Z_b4f0f20f,84d1a6c3-9e01-5bed-b78c-088680454c1a,2023,WR,veteran_with_history,0,0.0,9.0,1,4.0,1,68.0,15.95625,ridge_swap,10.50264892382318,5.45360107617682,-4.015729283046514,-3.1777440388787586,-1.708679042922658,-0.2641479364446937,1.568966032599152,3.4204874906296707,4.607834037599604,1,position_history,680
