slice_type,slice_value,period,method,rows,crps,coverage_50,coverage_80,interval_width_50,interval_width_80,crps_baseline,coverage_50_baseline,coverage_80_baseline,interval_width_50_baseline,interval_width_80_baseline,crps_delta,coverage_50_delta,coverage_80_delta,interval_width_50_delta,interval_width_80_delta
all,all,all_2018_2025,production,3220,1.5822551379657344,0.4953416149068323,0.7916149068322982,3.6308207578577263,6.9198759490211295,1.5822551379657344,0.4953416149068323,0.7916149068322982,3.6308207578577263,6.9198759490211295,0.0,0.0,0.0,0.0,0.0
all,all,all_2018_2025,ridge_swap,3220,1.582027538987695,0.49751552795031057,0.7928571428571428,3.631520562034213,6.910929025454327,1.5822551379657344,0.4953416149068323,0.7916149068322982,3.6308207578577263,6.9198759490211295,-0.00022759897803936724,0.0021739130434782483,0.001242236024844634,0.0006998041764867402,-0.00894692356680249
all,all,development_2018_2022,production,1994,1.5875173355006293,0.49147442326980945,0.7948846539618857,3.605469381596406,6.918847066065995,1.5875173355006293,0.49147442326980945,0.7948846539618857,3.605469381596406,6.918847066065995,0.0,0.0,0.0,0.0,0.0
all,all,development_2018_2022,ridge_swap,1994,1.5873345457250039,0.49398194583751254,0.7963891675025075,3.6136018519586224,6.919855744685204,1.5875173355006293,0.49147442326980945,0.7948846539618857,3.605469381596406,6.918847066065995,-0.00018278977562546928,0.002507522567703091,0.0015045135406218657,0.008132470362216537,0.001008678619209391
all,all,temporal_2023_2025,production,1226,1.5736965556781481,0.50163132137031,0.7862969004893964,3.6720529309940018,6.921549352457131,1.5736965556781481,0.50163132137031,0.7862969004893964,3.6720529309940018,6.921549352457131,0.0,0.0,0.0,0.0,0.0
all,all,temporal_2023_2025,ridge_swap,1226,1.5733960777852531,0.5032626427406199,0.7871125611745514,3.660664043184889,6.896410364649782,1.5736965556781481,0.50163132137031,0.7862969004893964,3.6720529309940018,6.921549352457131,-0.0003004778928950014,0.0016313213703099683,0.0008156606851550396,-0.011388887809112624,-0.02513898780734891
position,QB,all_2018_2025,production,269,2.315431561965912,0.4721189591078067,0.7063197026022305,4.846527644482606,8.960613086535126,2.315431561965912,0.4721189591078067,0.7063197026022305,4.846527644482606,8.960613086535126,0.0,0.0,0.0,0.0,0.0
position,QB,all_2018_2025,ridge_swap,269,2.31059772746872,0.483271375464684,0.7026022304832714,4.869412184440573,8.863965016280627,2.315431561965912,0.4721189591078067,0.7063197026022305,4.846527644482606,8.960613086535126,-0.00483383449719188,0.011152416356877304,-0.0037174721189591198,0.022884539957966687,-0.09664807025449917
position,QB,development_2018_2022,production,148,2.4531713628262524,0.42567567567567566,0.6554054054054054,4.52278965491541,8.444632463653763,2.4531713628262524,0.42567567567567566,0.6554054054054054,4.52278965491541,8.444632463653763,0.0,0.0,0.0,0.0,0.0
position,QB,development_2018_2022,ridge_swap,148,2.4490091478706333,0.44594594594594594,0.6554054054054054,4.557425138254825,8.41530067443868,2.4531713628262524,0.42567567567567566,0.6554054054054054,4.52278965491541,8.444632463653763,-0.004162214955619081,0.020270270270270285,0.0,0.03463548333941446,-0.029331789215083504
