period,player_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
all_2017_2025,1148,-0.001256418582132087,-0.0035119104205525997,0.001082475635207279,0.8526
development_2017_2022,898,-0.0011215220564901984,-0.0039080015043747255,0.0016451312394572867,0.7838
temporal_2023_2025,604,-0.0015380879765718428,-0.005857843265343265,0.0028020705034348162,0.757
