scope,period,method,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,height_weight,weight_weight,positions,primary,recency_half_life,total_match_weight,qb_feature_count,rb_feature_count,wr_feature_count,te_feature_count
all,all_2017_2025,height_w025_all,1620.0,1.9121722528825134,2.6905388516868416,-0.07371966714864389,0.817283950617284,0.5111773342990451,0.028456399163370727,20.60406607697536,29.66795707115627,-0.19382166036399742,0.8117283950617284,0.5019898630111651,0.016826937838581135,0.18888888888888888,0.18317539562008622,0.15343462927447193,0.547044896091364,0.07469135802469136,0.08134616376704391,0.06932807461642612,0.5762574498701614,0.11419753086419752,0.12135390922491873,0.09753014369153963,0.6752914587060929,0.03209876543209877,0.03080389773843355,0.029495544223368638,0.714978659733124,0.5490005845090937,-0.018659397333905283,-0.7441955295265946,61.677076728489276,0.050000000000000024,1.5148222925822052,2.284496314078425,0.13550131696389325,0.9067901234567901,0.12777777777777777,0.12155747059548216,0.10821289442512748,0.5998851246705027,5.675417632903543,0.3599482184864729,0.17244356754660628,0.25,0.0,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,all_2017_2025,height_weight_w025_all,1620.0,1.9119727554692125,2.690578847310711,-0.0736979448836599,0.8154320987654321,0.5115116293791017,0.026760168650882044,20.59558603063758,29.666079118968653,-0.21094787059495906,0.8067901234567901,0.5023463810165358,0.017288599206517707,0.18888888888888888,0.1835577617618312,0.15321082017057053,0.5481441688801345,0.07469135802469136,0.08124951440437628,0.06933663265614916,0.5767095418984557,0.11419753086419752,0.12138863875718352,0.09722342209183843,0.6823618043130238,0.03209876543209877,0.03072829670500682,0.029658742822078723,0.7044618328100472,0.5462063570444234,-0.03100261981674449,-0.7448647429382761,61.904459943558486,0.050000000000000024,1.5129778105900507,2.2818124934739057,0.13738302774345904,0.9074074074074074,0.12777777777777777,0.12151963866265722,0.10811049610228068,0.6032664252917184,5.676057471257612,0.3600702013450676,0.17252598575836187,0.25,0.25,"QB,RB,WR,TE",1,12.0,60.25,15,18,15,15
all,all_2017_2025,height_weight_w025_skill,1620.0,1.9122360744923956,2.690496699351525,-0.07376633436583854,0.8148148148148148,0.5115067159830509,0.027377452601499264,20.599090485962993,29.66572583301841,-0.20737700364795975,0.8067901234567901,0.5023549256876846,0.017288599206517707,0.18888888888888888,0.1830836676541342,0.15328404130649845,0.5490618875657822,0.07469135802469136,0.0812211801643607,0.0693878469698213,0.5743774086305471,0.11419753086419752,0.12110496393507858,0.09729713998093288,0.6809982107543083,0.03209876543209877,0.03080082183438798,0.029631904766636536,0.7101525706436421,0.5469428682119831,-0.026950853354460423,-0.7416369561006475,61.73841746559656,0.050000000000000024,1.5128949092854158,2.2817031304168975,0.13786989424673526,0.9074074074074074,0.12777777777777777,0.12150013396038127,0.1080564495257011,0.6045314214796352,5.678618654807646,0.35954593334993856,0.17257670351246376,0.25,0.25,"RB,WR,TE",0,12.0,59.75,13,18,15,15
all,all_2017_2025,height_weight_w050_all,1620.0,1.9115095554354609,2.690771142045812,-0.07349972727754385,0.817283950617284,0.5116833265955179,0.028783985715658655,20.591588757142098,29.6657790896948,-0.21252380920461747,0.8067901234567901,0.5029037935018794,0.01670403717014768,0.18888888888888888,0.18444006603328492,0.15335162126270888,0.5449284229166045,0.07469135802469136,0.08101055811132549,0.06952951131417362,0.5665705511663423,0.11419753086419752,0.12163949521797007,0.097286820361794,0.6817704115265091,0.03209876543209877,0.03065621008513553,0.02949567550788195,0.7126116071428571,0.5481720436691675,-0.027064767266009527,-0.7455760139568729,61.48142402895718,0.050000000000000024,1.511453798408257,2.278764992041814,0.13889364770197915,0.908641975308642,0.12777777777777777,0.12142635437526464,0.1082646338559736,0.600538136216157,5.682895461853978,0.359915180537545,0.1733783227020862,0.5,0.5,"QB,RB,WR,TE",0,12.0,62.25,15,18,15,15
all,all_2017_2025,production,1620.0,1.9130747337398202,2.6905233397557193,-0.07380498980529963,0.8154320987654321,0.5107108286865966,0.028923712543083124,20.6142475132792,29.673370913277868,-0.18933817641317613,0.8123456790123457,0.501714609484731,0.015819274577727915,0.18888888888888888,0.18269115457436982,0.15325987486057108,0.5509520398722655,0.07469135802469136,0.08127107632700652,0.0694128168902955,0.572034248727802,0.11419753086419752,0.12127678199059766,0.09752248408617205,0.6762708352952256,0.03209876543209877,0.030892295450320472,0.02957138630958185,0.7163216248037677,0.5492020816491305,-0.021333688631610934,-0.7447879070844888,61.08784211522414,0.050000000000000024,1.5158156297030325,2.285608207008276,0.13444883041971661,0.9092592592592592,0.12777777777777777,0.12160055538447129,0.10820026225604157,0.600175731902862,5.676644204785133,0.3591332807495283,0.17222334178197166,0.0,0.0,,0,12.0,58.25,13,16,13,13
all,all_2017_2025,weight_w025_all,1620.0,1.9124967705352722,2.690585347076075,-0.07379566673819847,0.8148148148148148,0.51112035654843,0.0257538212394145,20.607371744063897,29.670490638111684,-0.20859817491749819,0.8067901234567901,0.5020126925079907,0.01764053180258235,0.18888888888888888,0.1824902334243586,0.15345877813871162,0.5440231394434993,0.07469135802469136,0.08094992638728837,0.06933076800869412,0.5774372997976612,0.11419753086419752,0.12114206491353925,0.09728149197212994,0.6801054713249836,0.03209876543209877,0.030943303337385483,0.029565220237253838,0.7163277570643642,0.5468295408891692,-0.027594417984065284,-0.7449002567743772,61.59868122538421,0.050000000000000024,1.513701491082327,2.281273034171221,0.13727869005136453,0.9067901234567901,0.12777777777777777,0.12151371230431252,0.10819199375490283,0.5996799901535432,5.675733661091773,0.35966926415400097,0.17216136564242723,0.0,0.25,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,development_2017_2022,height_w025_all,1080.0,1.874082788440147,2.6192149861783784,-0.15765408476513454,0.8324074074074074,0.5197894515280872,0.04279112706367544,20.44020038572331,29.165900414246153,-0.41512964848035067,0.8194444444444444,0.5072526675798469,0.033802246480556464,0.18333333333333332,0.18441411370374433,0.1489200729423501,0.5627190270047413,0.075,0.08435277109377015,0.06967049958279353,0.5676417157898639,0.11574074074074074,0.12359938367372023,0.09739109389727704,0.6987727748691099,0.028703703703703703,0.02927953869228252,0.026846741861253853,0.7031581536947631,0.5570144896335557,-0.019030518525631257,-0.749833955864968,61.35684474428785,0.05000000000000002,1.5113698667686302,2.2575536500209417,0.19838868012377137,0.9083333333333333,0.1287037037037037,0.12070756984643194,0.10955455708823475,0.6004480156576121,5.144073600891789,0.3888905972090459,0.120161190587374,0.25,0.0,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,development_2017_2022,height_weight_w025_all,1080.0,1.8747316305334225,2.6193108734191837,-0.15765283022086615,0.8333333333333334,0.5203358974566772,0.04114178961631232,20.43313049825177,29.16695662085466,-0.4331933797385354,0.8175925925925925,0.507915484958413,0.03395526587318437,0.18333333333333332,0.18466865130220045,0.1486607072185619,0.5664811379097093,0.075,0.084337874354848,0.0696462938562471,0.5669990978632954,0.11574074074074074,0.12357107615134431,0.0973157218815371,0.7001382198952879,0.028703703703703703,0.029319323550321477,0.026958166147476807,0.7038346812632614,0.5545559383757497,-0.033202808149031524,-0.7488593195347282,61.623069799312,0.050000000000000024,1.5082985999988074,2.2534802438008983,0.20023496001723973,0.9074074074074074,0.1287037037037037,0.12063630775535082,0.10929919945227995,0.6058991276691718,5.143216633913918,0.3891256812927409,0.12024193541763897,0.25,0.25,"QB,RB,WR,TE",1,12.0,60.25,15,18,15,15
all,development_2017_2022,height_weight_w025_skill,1080.0,1.8746045361063564,2.6192893823940677,-0.1577694178423792,0.8333333333333334,0.5202877872243852,0.04175695798672552,20.430991772122177,29.158951695024534,-0.4324315019114985,0.8157407407407408,0.5079875412448596,0.03395526587318437,0.18333333333333332,0.18412987999109082,0.14864630756094838,0.5680329370805561,0.075,0.08425522444882962,0.06967735386127234,0.5659239486399981,0.11574074074074074,0.12328613535427624,0.09727308175972864,0.7006910994764398,0.028703703703703703,0.029385121421699963,0.026963620496398846,0.7031274024416495,0.5555583425139332,-0.028076050972075398,-0.7457996719422368,61.455574162565796,0.050000000000000024,1.50899563813367,2.254357728355789,0.20151098507334633,0.9064814814814814,0.1287037037037037,0.12050303303080562,0.10931399292783363,0.605394536655479,5.144318172863197,0.38858205757026065,0.12006671518511237,0.25,0.25,"RB,WR,TE",0,12.0,59.75,13,18,15,15
all,development_2017_2022,height_weight_w050_all,1080.0,1.874456697083982,2.6194017451303764,-0.15751262727377416,0.8342592592592593,0.5206869822334111,0.04178265917114943,20.427145729892725,29.174207964206452,-0.43837500550216163,0.8166666666666667,0.508250159452239,0.033597414213121235,0.18333333333333332,0.18512433011866358,0.14910823632539288,0.558390022675737,0.075,0.08392135602084634,0.06989118117658356,0.5542456036283196,0.11574074074074074,0.12381289631759318,0.09747638288721223,0.6983539267015707,0.028703703703703703,0.029111846861274875,0.02672044772343262,0.7225006919031951,0.5535860325670577,-0.03581311178917143,-0.7462179978016233,61.23355692418487,0.050000000000000024,1.506179693688537,2.250606803531993,0.20371706883733265,0.9092592592592592,0.1287037037037037,0.12017454131920388,0.10928779834591279,0.6049205269153434,5.150527821893059,0.38839868521963844,0.12107042546109546,0.5,0.5,"QB,RB,WR,TE",0,12.0,62.25,15,18,15,15
all,development_2017_2022,production,1080.0,1.875112166598737,2.6192747963546403,-0.15774312583501945,0.8305555555555556,0.5191591575850133,0.04330514083657905,20.448134671872072,29.174613645746035,-0.40710532833386626,0.8203703703703704,0.5068881639858273,0.031714220591374076,0.18333333333333332,0.18428233571992603,0.14861508252658726,0.570088641517213,0.075,0.0844601069108116,0.06978474739606111,0.5628097233035505,0.11574074074074074,0.12355077836605499,0.09730753802379359,0.7011769633507854,0.028703703703703703,0.02937111077235455,0.026914648161173445,0.703373412466558,0.5576507576750046,-0.021572415995250713,-0.7488051769074247,60.719032853284496,0.050000000000000024,1.5104946293507457,2.2581668972920506,0.19594625825361603,0.9092592592592592,0.1287037037037037,0.12093930739631813,0.10942236577412864,0.6022370201607046,5.147314426790402,0.38791524775374414,0.12028954139451897,0.0,0.0,,0,12.0,58.25,13,16,13,13
all,development_2017_2022,weight_w025_all,1080.0,1.8752101574780493,2.619305790153898,-0.15771342837617958,0.8314814814814815,0.5200115582774822,0.038984901957432594,20.441515211340526,29.168775240147227,-0.4304475733750352,0.8175925925925925,0.5073882198714953,0.033689914518631736,0.18333333333333332,0.18364281991151518,0.1489652549833049,0.5613390137199661,0.075,0.0840574183633376,0.0697297291834763,0.5660722450845908,0.11574074074074074,0.12322497114898288,0.09704680104424865,0.7060188481675392,0.028703703703703703,0.029417679853831744,0.026810588933791967,0.7141363510563056,0.5558792629222807,-0.027413832373541693,-0.7495007009974415,61.290144517198684,0.050000000000000024,1.5088529007434661,2.253934625795977,0.19973751813499552,0.9074074074074074,0.1287037037037037,0.12080031573791417,0.10933150677217476,0.6022370201607046,5.1441775279389965,0.38884928682149855,0.12010285250256732,0.0,0.25,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,recent_2020_2025,height_w025_all,1080.0,1.9130720356695023,2.699386916403542,-0.007029388943098202,0.8175925925925925,0.5062528987588404,0.027529766199773875,20.549708635034463,29.805478657337833,0.760221129040487,0.8101851851851852,0.494218277134323,0.01721957682890274,0.18518518518518517,0.18380557612917903,0.15097080338808053,0.5553068181818182,0.06759259259259259,0.0789314851001674,0.06376370523542223,0.5757097577233339,0.1111111111111111,0.1216995579515264,0.09565191355197873,0.671171875,0.03333333333333333,0.031301541344363935,0.0298450232780187,0.757742656449553,0.5558193269821642,-0.016073802075161812,-0.7144197110845631,61.961905142672265,0.050000000000000024,1.5380913440565274,2.2965501839890288,0.19597044363697752,0.9027777777777778,0.13333333333333333,0.1221941236227284,0.1099519089543104,0.6244732312440646,6.199610535040368,0.32574875437380213,0.22965982308275656,0.25,0.0,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,recent_2020_2025,height_weight_w025_all,1080.0,1.912704850367187,2.699344236842768,-0.006959018426139773,0.812962962962963,0.506857032057386,0.024154746596670718,20.54176256120545,29.801340713459723,0.7362214424967436,0.8037037037037037,0.494439470891108,0.01665805642677476,0.18518518518518517,0.18415565752918853,0.15078804775292534,0.5536022727272727,0.06759259259259259,0.07888046288185101,0.06389241309731133,0.5702683952061596,0.1111111111111111,0.1216057230428105,0.09515458369363702,0.6830555555555555,0.03333333333333333,0.031128024507876228,0.03002030139128909,0.743680821626224,0.5534179067852223,-0.026734219308029807,-0.7166093620937968,62.169385940098934,0.050000000000000024,1.5377520391257513,2.296088633025244,0.19646799620396868,0.9055555555555556,0.13333333333333333,0.12226704153978069,0.10992387590837567,0.6260980531813866,6.2011361935425615,0.32575319770831035,0.22970426311742004,0.25,0.25,"QB,RB,WR,TE",1,12.0,60.25,15,18,15,15
all,recent_2020_2025,height_weight_w025_skill,1080.0,1.9128370911878576,2.699221143112892,-0.007005977589965249,0.812037037037037,0.5068390955119024,0.024525520917357047,20.547443433560275,29.802110734987536,0.7395259898382084,0.8037037037037037,0.4944068906105058,0.019434221723018674,0.18518518518518517,0.18366719925792227,0.15084688190336412,0.5551704545454546,0.06759259259259259,0.07885476660518799,0.0638957434748046,0.5690712954523813,0.1111111111111111,0.12129362570909247,0.0952508734101066,0.6812847222222222,0.03333333333333333,0.031163884739202504,0.029975437044502506,0.7533790974882929,0.5537590010190336,-0.022676107308810183,-0.7131248014581417,61.97169958450528,0.050000000000000024,1.5371572295664144,2.295578171449816,0.19631906210460623,0.9055555555555556,0.13333333333333333,0.12234194985728714,0.10981913420526254,0.6283312559354226,6.204788721567379,0.325108309291409,0.2298301549620643,0.25,0.25,"RB,WR,TE",0,12.0,59.75,13,18,15,15
all,recent_2020_2025,height_weight_w050_all,1080.0,1.9124777934721793,2.6995069122993134,-0.00667056673310399,0.8138888888888889,0.5075042548357035,0.02712889479113778,20.550128607225574,29.81100374437266,0.7360192580006099,0.8009259259259259,0.49535914815596443,0.020387298844931623,0.18518518518518517,0.1851728244710103,0.15071666773315967,0.5562102272727273,0.06759259259259259,0.07848137591087058,0.0639934551640364,0.5588279305138006,0.1111111111111111,0.12167447924348222,0.09508613735180457,0.6856510416666667,0.03333333333333333,0.031185302570473333,0.02982302698025568,0.7457960834397616,0.552925927460383,-0.028124643072872622,-0.7194303230505508,61.70345902669449,0.05000000000000002,1.5387824031399904,2.2952984133187537,0.19617646385887036,0.9046296296296297,0.13333333333333333,0.12235292081176288,0.1103380920447061,0.6181668447293447,6.210900479641961,0.32599241961926756,0.23096462841803506,0.5,0.5,"QB,RB,WR,TE",0,12.0,62.25,15,18,15,15
