block,arm,player,pos,year_exp,forecast_cost
0,baseline,Bhayshul Tuten,RB,0.0,2.0
0,baseline,Garrett Wilson,WR,3.0,28.0
0,baseline,Jalen Hurts,QB,5.0,38.0
0,baseline,James Conner,RB,8.0,33.0
0,baseline,Jayden Reed,WR,2.0,5.0
0,baseline,Jordan Addison,WR,2.0,13.0
0,baseline,Justin Jefferson,WR,5.0,92.0
0,baseline,Kaleb Johnson,RB,0.0,12.0
0,baseline,Marvin Harrison Jr.,WR,1.0,37.0
0,baseline,Michael Pittman,WR,5.0,9.0
0,baseline,Rhamondre Stevenson,RB,4.0,7.0
0,baseline,Tyler Warren,TE,0.0,9.0
0,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
0,waiver_proxy,Aaron Jones,RB,8.0,24.0
0,waiver_proxy,Bhayshul Tuten,RB,0.0,2.0
0,waiver_proxy,Dylan Sampson,RB,0.0,2.0
0,waiver_proxy,Garrett Wilson,WR,3.0,28.0
0,waiver_proxy,Jalen Hurts,QB,5.0,38.0
0,waiver_proxy,James Conner,RB,8.0,33.0
0,waiver_proxy,Jayden Reed,WR,2.0,5.0
0,waiver_proxy,Josh Downs,WR,2.0,3.0
0,waiver_proxy,Justin Jefferson,WR,5.0,92.0
0,waiver_proxy,Marvin Harrison Jr.,WR,1.0,37.0
0,waiver_proxy,Travis Kelce,TE,12.0,12.0
0,waiver_proxy,Tyler Warren,TE,0.0,9.0
0,waiver_proxy,Tyrone Tracy Jr.,RB,1.0,13.0
0,championship_tiebreak,Bhayshul Tuten,RB,0.0,2.0
0,championship_tiebreak,Garrett Wilson,WR,3.0,28.0
0,championship_tiebreak,Jalen Hurts,QB,5.0,38.0
0,championship_tiebreak,James Conner,RB,8.0,33.0
0,championship_tiebreak,Jayden Reed,WR,2.0,5.0
0,championship_tiebreak,Jordan Addison,WR,2.0,13.0
0,championship_tiebreak,Justin Jefferson,WR,5.0,92.0
0,championship_tiebreak,Kaleb Johnson,RB,0.0,12.0
0,championship_tiebreak,Marvin Harrison Jr.,WR,1.0,37.0
0,championship_tiebreak,Michael Pittman,WR,5.0,9.0
0,championship_tiebreak,Rhamondre Stevenson,RB,4.0,7.0
0,championship_tiebreak,Tyler Warren,TE,0.0,9.0
0,championship_tiebreak,Tyrone Tracy Jr.,RB,1.0,13.0
0,combined,Aaron Jones,RB,8.0,24.0
0,combined,Bhayshul Tuten,RB,0.0,2.0
0,combined,Dylan Sampson,RB,0.0,2.0
0,combined,Garrett Wilson,WR,3.0,28.0
0,combined,Jalen Hurts,QB,5.0,38.0
0,combined,James Conner,RB,8.0,33.0
0,combined,Jayden Reed,WR,2.0,5.0
0,combined,Josh Downs,WR,2.0,3.0
0,combined,Justin Jefferson,WR,5.0,92.0
0,combined,Marvin Harrison Jr.,WR,1.0,37.0
0,combined,Travis Kelce,TE,12.0,12.0
0,combined,Tyler Warren,TE,0.0,9.0
0,combined,Tyrone Tracy Jr.,RB,1.0,13.0
1,baseline,Garrett Wilson,WR,3.0,28.0
1,baseline,Jalen Hurts,QB,5.0,38.0
1,baseline,Malik Nabers,WR,1.0,74.0
1,baseline,Mark Andrews,TE,7.0,5.0
1,baseline,Marvin Harrison Jr.,WR,1.0,37.0
1,baseline,Najee Harris,RB,4.0,2.0
1,baseline,RJ Harvey,RB,0.0,30.0
1,baseline,Rashee Rice,WR,2.0,17.0
1,baseline,Rhamondre Stevenson,RB,4.0,7.0
1,baseline,Rome Odunze,WR,1.0,14.0
1,baseline,Tyjae Spears,RB,2.0,4.0
1,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
1,baseline,Xavier Worthy,WR,1.0,29.0
1,waiver_proxy,Bijan Robinson,RB,2.0,104.0
1,waiver_proxy,Breece Hall,RB,3.0,44.0
1,waiver_proxy,Colston Loveland,TE,0.0,4.0
1,waiver_proxy,Garrett Wilson,WR,3.0,28.0
1,waiver_proxy,Jalen Hurts,QB,5.0,38.0
1,waiver_proxy,Javonte Williams,RB,4.0,8.0
1,waiver_proxy,Mark Andrews,TE,7.0,5.0
1,waiver_proxy,Marvin Harrison Jr.,WR,1.0,37.0
1,waiver_proxy,Rashid Shaheed,WR,3.0,3.0
1,waiver_proxy,Rhamondre Stevenson,RB,4.0,7.0
1,waiver_proxy,Rome Odunze,WR,1.0,14.0
1,waiver_proxy,Trey Benson,RB,1.0,2.0
1,waiver_proxy,Tyjae Spears,RB,2.0,4.0
1,championship_tiebreak,Aaron Jones,RB,8.0,24.0
1,championship_tiebreak,Garrett Wilson,WR,3.0,28.0
1,championship_tiebreak,Jalen Hurts,QB,5.0,38.0
1,championship_tiebreak,Javonte Williams,RB,4.0,8.0
1,championship_tiebreak,Jaylen Warren,RB,3.0,13.0
1,championship_tiebreak,Jordan Mason,RB,3.0,8.0
1,championship_tiebreak,Josh Jacobs,RB,6.0,58.0
1,championship_tiebreak,Malik Nabers,WR,1.0,74.0
1,championship_tiebreak,Mark Andrews,TE,7.0,5.0
1,championship_tiebreak,Rashid Shaheed,WR,3.0,3.0
1,championship_tiebreak,Rhamondre Stevenson,RB,4.0,7.0
1,championship_tiebreak,Ricky Pearsall,WR,1.0,17.0
1,championship_tiebreak,Rome Odunze,WR,1.0,14.0
1,combined,Bijan Robinson,RB,2.0,104.0
1,combined,Breece Hall,RB,3.0,44.0
1,combined,Colston Loveland,TE,0.0,4.0
1,combined,Garrett Wilson,WR,3.0,28.0
1,combined,Jalen Hurts,QB,5.0,38.0
1,combined,Javonte Williams,RB,4.0,8.0
1,combined,Mark Andrews,TE,7.0,5.0
1,combined,Marvin Harrison Jr.,WR,1.0,37.0
1,combined,Rashid Shaheed,WR,3.0,3.0
1,combined,Rhamondre Stevenson,RB,4.0,7.0
1,combined,Rome Odunze,WR,1.0,14.0
1,combined,Trey Benson,RB,1.0,2.0
1,combined,Tyjae Spears,RB,2.0,4.0
2,baseline,Aaron Jones,RB,8.0,24.0
2,baseline,Caleb Williams,QB,1.0,2.0
2,baseline,CeeDee Lamb,WR,5.0,83.0
2,baseline,DeVonta Smith,WR,4.0,26.0
2,baseline,Deebo Samuel Sr.,WR,6.0,8.0
2,baseline,James Conner,RB,8.0,33.0
2,baseline,Joe Mixon,RB,8.0,13.0
2,baseline,Josh Downs,WR,2.0,3.0
2,baseline,Kaleb Johnson,RB,0.0,12.0
2,baseline,Marvin Harrison Jr.,WR,1.0,37.0
2,baseline,Sam LaPorta,TE,2.0,15.0
2,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
