block,arm,actual_difference_maker_count,actual_difference_makers,actual_managed_score_current,actual_championship_proxy_current,actual_managed_score_churn,actual_championship_proxy_churn
0,baseline,0.0,,1299.3599853515625,1.1641532182693481e-10,1349.6600341796875,1.1641532182693481e-10
0,waiver_proxy,0.0,,1279.760009765625,4.2235136032104475e-13,1342.260009765625,4.2235136032104475e-13
0,championship_tiebreak,0.0,,1299.3599853515625,1.1641532182693481e-10,1349.6600341796875,1.1641532182693481e-10
0,combined,0.0,,1279.760009765625,4.2235136032104475e-13,1342.260009765625,4.2235136032104475e-13
1,baseline,0.0,,1341.4600830078125,4.7143143248558015e-09,1389.4599609375,4.7143143248558015e-09
1,waiver_proxy,1.0,Javonte Williams,1563.9599609375,0.12050177219802567,1588.85986328125,0.0605785295877572
1,championship_tiebreak,1.0,Javonte Williams,1532.260009765625,0.029088282026543198,1532.0599365234375,0.0056843418860808015
1,combined,1.0,Javonte Williams,1563.9599609375,0.12050177219802567,1588.85986328125,0.0605785295877572
2,baseline,0.0,,1254.0,2.3841857910156264e-18,1340.300048828125,2.3841857910156264e-18
2,waiver_proxy,1.0,Puka Nacua,1522.300048828125,0.0056843418860808015,1571.10009765625,0.029088282026543198
2,championship_tiebreak,0.0,,1254.0,2.3841857910156264e-18,1340.300048828125,2.3841857910156264e-18
2,combined,1.0,Puka Nacua,1535.5,0.0605785295877572,1603.699951171875,0.23019112914334983
3,baseline,1.0,Travis Etienne,1521.699951171875,0.00227167548635942,1496.800048828125,0.0008351266397052315
3,waiver_proxy,0.0,,1378.56005859375,2.062262501567602e-05,1433.4600830078125,2.062262501567602e-05
3,championship_tiebreak,1.0,Travis Etienne,1478.9400634765625,0.00027773442005686507,1461.3399658203125,0.00027773442005686507
3,combined,0.0,,1378.56005859375,2.062262501567602e-05,1433.4600830078125,2.062262501567602e-05
4,baseline,0.0,,1527.43994140625,0.013253833214176957,1564.739990234375,0.013253833214176957
4,waiver_proxy,1.0,Travis Etienne,1583.5400390625,0.23019112914334983,1617.0400390625,0.42418866581788184
4,championship_tiebreak,0.0,,1527.43994140625,0.013253833214176957,1564.739990234375,0.013253833214176957
4,combined,1.0,Travis Etienne,1583.5400390625,0.23019112914334983,1617.0400390625,0.42418866581788184
5,baseline,1.0,Javonte Williams,1402.4599609375,8.171056820781943e-05,1407.1600341796875,6.802360310816771e-07
5,waiver_proxy,0.0,,1350.1600341796875,7.481827642679216e-08,1427.260009765625,4.27284334668398e-06
5,championship_tiebreak,1.0,Javonte Williams,1402.4599609375,8.171056820781943e-05,1407.1600341796875,6.802360310816771e-07
5,combined,0.0,,1350.1600341796875,7.481827642679216e-08,1427.260009765625,4.27284334668398e-06
6,baseline,0.0,,1360.3800048828125,6.802360310816771e-07,1398.6800537109375,7.481827642679216e-08
6,waiver_proxy,1.0,Javonte Williams,1495.340087890625,0.0008351266397052315,1528.93994140625,0.00227167548635942
6,championship_tiebreak,0.0,,1374.139892578125,4.27284334668398e-06,1450.639892578125,8.171056820781943e-05
6,combined,1.0,Javonte Williams,1495.340087890625,0.0008351266397052315,1528.93994140625,0.00227167548635942
7,baseline,0.0,,1634.3798828125,0.7569213803350267,1639.280029296875,0.7569213803350267
7,waiver_proxy,0.0,,1607.47998046875,0.42418866581788184,1603.080078125,0.12050177219802567
7,championship_tiebreak,0.0,,1634.3798828125,0.7569213803350267,1639.280029296875,0.7569213803350267
7,combined,0.0,,1607.47998046875,0.42418866581788184,1603.080078125,0.12050177219802567
