arm,holdout_mean_current,holdout_p10_current,holdout_p90_current,holdout_mean_churn,holdout_p10_churn,holdout_p90_churn,holdout_championship_proxy_current,holdout_championship_proxy_churn,holdout_expected_difference_makers,holdout_prob_two_difference_makers,dead_zone_rb_count,rb_mean_year_exp,rookie_rb_count,actual_managed_score_current,actual_managed_score_churn,actual_championship_proxy_churn,actual_difference_maker_count
baseline,1623.8331505060196,1453.6605758666992,1793.018458557129,1627.108126282692,1461.5972625732422,1795.742008972168,0.07086354299914571,0.06681770226521218,0.7880859375,0.189453125,0.75,3.425,1.0,1417.647476196289,1448.260025024414,0.09637638750924325,0.25
championship_tiebreak,1624.5363129377365,1454.9105712890625,1797.9256500244142,1630.3971364498138,1465.919776916504,1803.6690002441405,0.08129367218615458,0.07792347602773358,0.8447265625,0.2109375,1.0,3.6083333333333334,1.375,1437.8724670410156,1468.1474914550781,0.09702746009699943,0.375
combined,1649.356429219246,1469.3780548095704,1824.7596115112306,1659.4316973686218,1489.3929794311523,1830.0711990356444,0.12310603180151056,0.12427893974088013,0.9091796875,0.2294921875,0.875,3.683333333333333,1.0,1474.2875213623047,1518.0749969482422,0.10471958346276983,0.5
waiver_proxy,1646.6228892803192,1470.6561798095704,1822.6438766479494,1655.8498616218567,1486.4666793823242,1828.8311050415039,0.11775834442246286,0.1180699596207828,0.89453125,0.2275390625,0.875,3.7875,0.875,1472.6375274658203,1514.000015258789,0.079581727573169,0.5
