comparison,challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_delta,season_wins,season_count,sign_flip_pvalue,bootstrap_95_low,bootstrap_95_high
trajectory_3year_equal_thirds_vs_tree,trajectory_3year_equal_thirds,trajectory_3year_tree_average,3.095907934071673,3.113609252535077,-0.01770131846340428,-0.017805890338620775,-0.017050430440073,9,9,0.00390625,-0.02648935546065914,-0.009654178319447235
trajectory_1year_equal_thirds_vs_tree,trajectory_1year_equal_thirds,trajectory_1year_tree_average,3.098483169784393,3.1151218114533914,-0.01663864166899831,-0.016822922156552393,-0.013837308141710913,7,9,0.015625,-0.026129422364345362,-0.008096600837602096
trajectory_3year_vs_incumbent_lasso,trajectory_3year_lasso,incumbent_lasso,3.1515154972525394,3.1584532391209064,-0.006937741868366931,-0.007094725534125305,-0.005082334462706821,6,9,0.1328125,-0.015146514572113764,0.0006328091218934448
trajectory_1year_vs_incumbent_lasso,trajectory_1year_lasso,incumbent_lasso,3.153894544756958,3.1584532391209064,-0.004558694363948401,-0.00480457172112884,-0.0004494561472895657,6,9,0.34375,-0.013414408866335674,0.002410305544148713
trajectory_3year_vs_incumbent_equal_thirds,trajectory_3year_equal_thirds,incumbent_equal_thirds,3.095907934071673,3.100055612217786,-0.004147678146113165,-0.004331671156544401,0.00013229462470576436,6,9,0.2109375,-0.009852258573548087,0.0019948739838410983
trajectory_3year_vs_incumbent_random_forest,trajectory_3year_random_forest,incumbent_random_forest,3.1223033833300664,3.124253466483619,-0.0019500831535523844,-0.002146586718923476,0.0084477327335127,5,9,0.6640625,-0.010951106406715514,0.00797518209633388
trajectory_1year_vs_incumbent_equal_thirds,trajectory_1year_equal_thirds,incumbent_equal_thirds,3.098483169784393,3.100055612217786,-0.0015724424333929399,-0.001662325986970803,0.0004368085393178234,7,9,0.37109375,-0.004586395652206247,0.0016991848814203426
trajectory_3year_vs_incumbent_tree_average,trajectory_3year_tree_average,incumbent_tree_average,3.113609252535077,3.114326838449257,-0.000717585914179697,-0.0009504408477097511,0.006168304539447019,6,9,0.8125,-0.007058248045110658,0.006616099885977296
trajectory_1year_vs_incumbent_lightgbm,trajectory_1year_lightgbm,incumbent_lightgbm,3.122973610433986,3.1229738660388224,-2.5560483640774123e-07,-9.385988996073951e-05,0.004066320488337845,5,9,0.9765625,-0.004663303834196923,0.005400212037941486
trajectory_3year_vs_incumbent_lightgbm,trajectory_3year_lightgbm,incumbent_lightgbm,3.1231681088290904,3.1229738660388224,0.0001942427902679178,-6.85874777865969e-05,0.0028378979774414206,5,9,0.96875,-0.004738330330248915,0.0051856099926591015
trajectory_1year_vs_incumbent_random_forest,trajectory_1year_random_forest,incumbent_random_forest,3.1248441016414015,3.124253466483619,0.0005906351577826818,0.000561063001629404,0.0013548589061002463,4,9,0.7890625,-0.003183699082629724,0.004407017994355406
trajectory_1year_vs_incumbent_tree_average,trajectory_1year_tree_average,incumbent_tree_average,3.1151218114533914,3.114326838449257,0.0007949730041345582,0.0007359361397954641,0.0032596961556969895,4,9,0.703125,-0.002558110948714952,0.004306540586639053
