method,slice_type,slice_value,metric,n_rows,value
incumbent_lasso,pooled,all,rmse,3696,3.1584532391209064
incumbent_lasso,pooled,all,mae,3696,2.4477827442713624
incumbent_lasso,pooled,all,bias,3696,0.002905395150819813
incumbent_lasso,pooled,all,spearman,3696,0.7984587871769212
incumbent_lightgbm,pooled,all,rmse,3696,3.1229738660388224
incumbent_lightgbm,pooled,all,mae,3696,2.446552841786182
incumbent_lightgbm,pooled,all,bias,3696,0.2105187734884606
incumbent_lightgbm,pooled,all,spearman,3696,0.8040038793357315
incumbent_random_forest,pooled,all,rmse,3696,3.124253466483619
incumbent_random_forest,pooled,all,mae,3696,2.4435278256238586
incumbent_random_forest,pooled,all,bias,3696,0.20265677251737918
incumbent_random_forest,pooled,all,spearman,3696,0.8046584274701288
trajectory_1year_lasso,pooled,all,rmse,3696,3.153894544756958
trajectory_1year_lasso,pooled,all,mae,3696,2.4424707538576
trajectory_1year_lasso,pooled,all,bias,3696,-0.003908263564349239
trajectory_1year_lasso,pooled,all,spearman,3696,0.7989471594177403
trajectory_1year_lightgbm,pooled,all,rmse,3696,3.122973610433986
trajectory_1year_lightgbm,pooled,all,mae,3696,2.448442583531251
trajectory_1year_lightgbm,pooled,all,bias,3696,0.21117013420165448
trajectory_1year_lightgbm,pooled,all,spearman,3696,0.8042004891028961
trajectory_1year_random_forest,pooled,all,rmse,3696,3.1248441016414015
trajectory_1year_random_forest,pooled,all,mae,3696,2.441854118631638
trajectory_1year_random_forest,pooled,all,bias,3696,0.2006451169787301
trajectory_1year_random_forest,pooled,all,spearman,3696,0.8049748081674455
trajectory_3year_lasso,pooled,all,rmse,3696,3.1515154972525394
trajectory_3year_lasso,pooled,all,mae,3696,2.440309912200331
trajectory_3year_lasso,pooled,all,bias,3696,-0.009183697947549977
trajectory_3year_lasso,pooled,all,spearman,3696,0.7994294069843124
trajectory_3year_lightgbm,pooled,all,rmse,3696,3.1231681088290904
trajectory_3year_lightgbm,pooled,all,mae,3696,2.4465323076439374
trajectory_3year_lightgbm,pooled,all,bias,3696,0.2115640240984128
trajectory_3year_lightgbm,pooled,all,spearman,3696,0.8045177100924011
trajectory_3year_random_forest,pooled,all,rmse,3696,3.1223033833300664
trajectory_3year_random_forest,pooled,all,mae,3696,2.4407056049822327
trajectory_3year_random_forest,pooled,all,bias,3696,0.19119517595240162
trajectory_3year_random_forest,pooled,all,spearman,3696,0.8049325042558066
incumbent_tree_average,pooled,all,rmse,3696,3.114326838449257
incumbent_tree_average,pooled,all,mae,3696,2.437970563252986
incumbent_tree_average,pooled,all,bias,3696,0.2065877730029199
incumbent_tree_average,pooled,all,spearman,3696,0.805570929492496
incumbent_equal_thirds,pooled,all,rmse,3696,3.100055612217786
incumbent_equal_thirds,pooled,all,mae,3696,2.4151353792936665
incumbent_equal_thirds,pooled,all,bias,3696,0.13869364705221982
incumbent_equal_thirds,pooled,all,spearman,3696,0.8054716592159998
trajectory_1year_tree_average,pooled,all,rmse,3696,3.1151218114533914
trajectory_1year_tree_average,pooled,all,mae,3696,2.438116107819875
trajectory_1year_tree_average,pooled,all,bias,3696,0.2059076255901923
trajectory_1year_tree_average,pooled,all,spearman,3696,0.8058615156829576
trajectory_1year_equal_thirds,pooled,all,rmse,3696,3.098483169784393
trajectory_1year_equal_thirds,pooled,all,mae,3696,2.4130257681070852
trajectory_1year_equal_thirds,pooled,all,bias,3696,0.13596899587201175
