season,total_provider_rows,complete_provider_rows,complete_rate,sack_imputed_rows
2017,352,200,0.5682,150
2018,393,199,0.5064,149
2019,391,199,0.5089,149
2020,356,199,0.5590,149
2021,345,200,0.5797,150
2022,322,200,0.6211,150
2023,336,200,0.5952,150
2024,393,312,0.7939,198
2025,553,439,0.7939,322
2026,437,380,0.8696,265
