league,identities,aliases,source_observations,outcomes,projection_values,market_values,spine_rows,feature_rows,current_candidates,current_centers
dk,6655,55964,52526,9934,31848,31834,13909,13909,745,715
beta,6655,55964,52526,9934,31848,31834,13909,13909,745,673
