league,method,baseline_method,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta,bootstrap_low,bootstrap_high,player_clusters,draws
beta,current_plus_extra_trees_equal4,current_single,1226.0,2.8926109190650937,2.255844710160956,0.3133674342231486,0.7981569302585217,2.886341287519034,2.2546459024966823,0.3310669025209672,0.7983747545653007,-0.006269631546059529,-0.0011988076642737155,0.0176994682978186,0.0002178243067789687,-0.0120029179663986,-0.0004715378758257,604,20000
beta,expanded_catboost_equal4,current_single,1226.0,2.8926109190650937,2.255844710160956,0.3133674342231486,0.7981569302585217,2.8953685910730567,2.262082551077275,0.344558103542371,0.7982802370495834,0.0027576720079629524,0.006237840916318849,0.031190669319222375,0.00012330679106165032,-0.0017332095894284,0.0072990052967302,604,20000
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,1226.0,2.886341287519034,2.2546459024966823,0.3310669025209672,0.7983747545653007,2.886755732924393,2.2549852867516296,0.3334372098492861,0.7984934053211054,0.00041444540535895413,0.00033938425494728364,0.002370307328318888,0.00011865075580463902,-0.0009727202262983,0.0018436792793656,604,20000
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,1226.0,2.8926109190650937,2.255844710160956,0.3133674342231486,0.7981569302585217,2.886755732924393,2.2549852867516296,0.3334372098492861,0.7984934053211054,-0.0058551861407005745,-0.0008594234093264319,0.020069775626137487,0.0003364750625836077,-0.0118034249921189,9.90306227375976e-05,604,20000
beta,expanded_lgbm_replacement_equal3,current_single,1226.0,2.8926109190650937,2.255844710160956,0.3133674342231486,0.7981569302585217,2.893193884876597,2.256992999819245,0.3165278439942404,0.7982318077709731,0.0005829658115032998,0.001148289658289059,0.0031604097710917767,7.487751245138785e-05,-0.0012962104275341,0.0025576167825839,604,20000
dk,current_plus_extra_trees_equal4,current_single,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0875341733402983,2.4287332820555125,0.4074863754242079,0.81210726462043,-0.0034605502606632754,0.0013796932400458317,0.017258192023990926,0.00014604895033720755,-0.0093648602961787,0.0025400652215057,612,20000
dk,expanded_catboost_equal4,current_single,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0903085807368025,2.434012977232892,0.4140596018336847,0.8118472585627303,-0.0006861428641591338,0.006659388417425305,0.0238314184334677,-0.00011395710736250564,-0.0056891319527338,0.0041225049475662,612,20000
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,1237.0,3.0875341733402983,2.4287332820555125,0.4074863754242079,0.81210726462043,3.0875341733402983,2.4287332820555125,0.4074863754242079,0.81210726462043,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,612,20000
dk,expanded_lgbm_plus_extra_trees_equal4,current_single,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0875341733402983,2.4287332820555125,0.4074863754242079,0.81210726462043,-0.0034605502606632754,0.0013796932400458317,0.017258192023990926,0.00014604895033720755,-0.0094450689821915,0.0026338374387779,612,20000
dk,expanded_lgbm_replacement_equal3,current_single,1237.0,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,3.0909947236009616,2.4273535888154667,0.390228183400217,0.8119612156700928,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,612,20000
