league,method,baseline_method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,current_plus_extra_trees_equal4,current_single,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.74886006176332,2.9257881544596835,0.0915524145304411,0.5212030890123288,-0.03262403503144995,-0.03646136965360025,0.03438390107858601,-0.001558054464164793
beta,current_plus_extra_trees_equal4,current_single,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.351903262852443,2.639565459532676,0.1916556075566027,0.7650902670023932,-0.0028167403779884026,0.006295490921159885,0.0188593359048429,-0.0006920548822001438
beta,current_plus_extra_trees_equal4,current_single,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.987989566380372,1.5943344470997596,0.2523173946867121,0.7081356305239213,-0.0022632507394999557,-0.0014761100655291681,0.007484188378601014,-0.00030732364262053835
beta,current_plus_extra_trees_equal4,current_single,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.72375566555898,2.196781214605679,0.5191854960526283,0.7370067199228185,-0.0021972324119019504,0.0025157870493011103,0.01838673199978269,0.00039543007320108625
beta,expanded_catboost_equal4,current_single,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.781675904930924,2.9560032809011854,0.0943461899078797,0.5288307817368918,0.00019180813615404801,-0.006246243212098435,0.0371776764560246,0.006069638260398191
beta,expanded_catboost_equal4,current_single,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.3547890101184814,2.6421296558219294,0.2078664725815022,0.7664807258941533,6.900688805000499e-05,0.008859687210413192,0.03507020092974242,0.0006984040095598942
beta,expanded_catboost_equal4,current_single,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.9948057284495933,1.602287955311544,0.272543799461269,0.7114076871602484,0.004552911329721354,0.006477398146255364,0.02771059315315791,0.002964732993706587
beta,expanded_catboost_equal4,current_single,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.7311231096360253,2.201660025931472,0.5299130203828304,0.7358387657197265,0.005170211665143309,0.007394598375094041,0.029114256329984767,-0.000772524129890928
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,QB,121.0,3.74886006176332,2.9257881544596835,0.0915524145304411,0.5212030890123288,3.7556388687048217,2.93257485059656,0.1028441932843069,0.5229575938219753,0.0067788069415017915,0.006786696136876547,0.011291778753865792,0.001754504809646451
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,RB,327.0,3.351903262852443,2.639565459532676,0.1916556075566027,0.7650902670023932,3.35260796904016,2.640160692810206,0.1921327356833813,0.7647783017715873,0.000704706187717008,0.0005952332775298608,0.0004771281267786087,-0.00031196523080589955
