league,method,baseline_method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,current_plus_extra_trees_equal4,current_single,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.954153319099594,2.2693982318990886,0.4633178795889628,0.7899411463413132,-0.0030174141258978437,0.0009631687307605219,0.02341675780994651,0.00015905656526449263
beta,current_plus_extra_trees_equal4,current_single,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.970591121343836,2.382081902730988,0.2396773905127625,0.7990355594641205,-0.006929571568639048,0.003373244992449731,0.00824824843507349,0.0012189541452336528
beta,current_plus_extra_trees_equal4,current_single,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.7321696507500723,2.1159464862137494,0.2918235062225561,0.8071973986026232,-0.008994546213283439,-0.007760566900387733,0.021371127676123813,-0.000856108868511285
beta,expanded_catboost_equal4,current_single,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.9620057670681885,2.274727436619989,0.4592560720697342,0.7902494321783362,0.004835033842696568,0.006292373451660893,0.019354950290717876,0.00046734240228751833
beta,expanded_catboost_equal4,current_single,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.981516730636553,2.3846031170180075,0.253136295775084,0.7975756117367753,0.003996037724077972,0.005894459279469189,0.02170715369739501,-0.00024099358211160382
beta,expanded_catboost_equal4,current_single,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.7404355697659595,2.1302270618195966,0.3223928984184855,0.8079672465016144,-0.0007286271973963032,0.006520008705459546,0.051940519872053226,-8.626096952002449e-05
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,2023,404.0,2.954153319099594,2.2693982318990886,0.4633178795889628,0.7899411463413132,2.9538949361237767,2.2696885306772945,0.4669984309564123,0.7899216737412179,-0.0002583829758173728,0.00029029877820585526,0.0036805513674494916,-1.947260009527163e-05
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,2024,406.0,2.970591121343836,2.382081902730988,0.2396773905127625,0.7990355594641205,2.970221113905703,2.3824219313649864,0.243060440848101,0.7993766084173766,-0.00037000743813297987,0.00034002863399829053,0.0033830503353385055,0.0003410489532560401
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,2025,416.0,2.7321696507500723,2.1159464862137494,0.2918235062225561,0.8071973986026232,2.734123292133403,2.1163329111290543,0.2919329667896758,0.8071178051476555,0.001953641383330762,0.0003864249153049393,0.00010946056711969021,-7.959345496766357e-05
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.9538949361237767,2.2696885306772945,0.4669984309564123,0.7899216737412179,-0.0032757971017152165,0.0012534675089663772,0.027097309177396,0.000139583965169221
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.970221113905703,2.3824219313649864,0.243060440848101,0.7993766084173766,-0.007299579006772028,0.0037132736264480215,0.011631298770411996,0.0015600030984896929
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.734123292133403,2.1163329111290543,0.2919329667896758,0.8071178051476555,-0.007040904829952677,-0.007374141985082794,0.021480588243243504,-0.0009357023234789485
beta,expanded_lgbm_replacement_equal3,current_single,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.956727376192032,2.2693524636737754,0.4448085236022823,0.7896593396006816,-0.0004433570334598791,0.0009174005054473078,0.004907401823265989,-0.00012275017536711452
beta,expanded_lgbm_replacement_equal3,current_single,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.976947093161598,2.3796713651214594,0.2359398758581405,0.7982620131001108,-0.0005735997508771185,0.0009627073829210353,0.004510733780451498,0.00044540778122392766
beta,expanded_lgbm_replacement_equal3,current_single,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.744048336112474,2.1252606928242246,0.2705983259692587,0.8077170480180406,0.0028841391491183366,0.0015536397100874844,0.00014594742282642015,-0.0003364594530939069
dk,current_plus_extra_trees_equal4,current_single,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.175803738637156,2.444978369672401,0.4719391369294657,0.8099647216179413,-0.005626644333840858,-0.0030649656650720836,0.019300393177217323,0.0001787788941592927
dk,current_plus_extra_trees_equal4,current_single,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.13394933226003,2.5389282446970385,0.3007937219946967,0.8105690901352132,-0.004161282789854059,0.008248908206798689,0.006672193153304085,-0.000136253058685476
dk,current_plus_extra_trees_equal4,current_single,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.95016308233186,2.3050916250270315,0.4477859424365332,0.8162256145682515,-0.00042787738595118086,-0.000922768063682966,0.025567718316765575,-0.0016463922334836179
dk,expanded_catboost_equal4,current_single,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.178437555678714,2.4523541413193857,0.4687166803064957,0.810657095905993,-0.002992827292283007,0.00431080598191258,0.01607793655424733,0.0008711531822109819
dk,expanded_catboost_equal4,current_single,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.1404298235515595,2.5384795843184578,0.3123140803397152,0.8096217264450064,0.0023192085016754405,0.007800247828217977,0.018192551498322607,-0.0010836167488922355
dk,expanded_catboost_equal4,current_single,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.9492448160030595,2.313886334903042,0.4592323928139593,0.8171215028283876,-0.001346143714751502,0.007871941812327421,0.03701416869419166,-0.0007505039733475272
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,2023,413.0,3.175803738637156,2.444978369672401,0.4719391369294657,0.8099647216179413,3.175803738637156,2.444978369672401,0.4719391369294657,0.8099647216179413,0.0,0.0,0.0,0.0
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,2024,407.0,3.13394933226003,2.5389282446970385,0.3007937219946967,0.8105690901352132,3.13394933226003,2.5389282446970385,0.3007937219946967,0.8105690901352132,0.0,0.0,0.0,0.0
