league,model_family,candidate_id,candidate_source,selection_score,parameters_json,original_winner_id,original_winner_score,original_winner_parameters_json,selection_score_delta_vs_original
beta,conditional_ppg_catboost_expanded,4,original,3.0836235786454305,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""random_strength"": 0.5}",4,3.0836235786454305,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""random_strength"": 0.5}",0.0
beta,conditional_ppg_lightgbm_expanded,8,expanded,3.0871082354154167,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}",7,3.0890054430249227,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}",-0.0018972076095060686
dk,conditional_ppg_catboost_expanded,4,original,3.3435008689995684,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""random_strength"": 0.5}",4,3.3435008689995684,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""random_strength"": 0.5}",0.0
dk,conditional_ppg_lightgbm_expanded,7,original,3.337501945926292,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}",7,3.3375019459262916,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}",4.440892098500626e-16
