candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
asymmetric_add_w025,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.00017642266242723565,-9.49770138355864e-05,0.00041065775089045163,0.0825
asymmetric_add_w025,incumbent,recent_2020_2025,extended_absence_brier_row,1080,6,2.297840874085481e-05,-0.00028613383024166843,0.00024610530640794366,0.401
asymmetric_add_w025,incumbent,temporal_2023_2025,ppg_crps,540,3,0.0006056331610387409,-8.146953609910406e-05,0.001610387326920547,0.034
asymmetric_add_w025,incumbent,temporal_2023_2025,contribution_crps,540,3,-0.013007109707230487,-0.04125102047539981,0.01782376936032794,0.863
asymmetric_add_w025,incumbent,temporal_2023_2025,played_crps,540,3,-0.0034627219314946334,-0.006026097333151258,0.0008983270315731899,0.9635
asymmetric_add_w025,incumbent,temporal_2023_2025,plus3_brier_row,540,3,-0.0007740207334673863,-0.001003017264885539,-0.00031835072521856024,1.0
asymmetric_add_w025,incumbent,temporal_2023_2025,plus5_brier_row,540,3,8.830382833752125e-05,-1.9481484262515581e-07,0.0002102298219278178,0.034
asymmetric_add_w025,incumbent,temporal_2023_2025,impact_brier_row,540,3,0.0009377078294626405,0.00027582559033318245,0.0015667263099118616,0.0
asymmetric_add_w025,incumbent,temporal_2023_2025,zero_brier_row,540,3,0.00040991551496409666,0.00030677040384850064,0.000463023368076221,0.0
asymmetric_add_w025,incumbent,temporal_2023_2025,extended_absence_brier_row,540,3,0.00020637536534331486,-7.79446355824179e-06,0.00042152987246582964,0.0365
bull_replace_symmetric_w075,incumbent,full_2017_2025,ppg_crps,1620,9,-0.0017479551537115006,-0.003493252373316398,-0.00010617918285548038,0.984
bull_replace_symmetric_w075,incumbent,full_2017_2025,contribution_crps,1620,9,-0.020414894863666933,-0.05236268035408696,0.011668201875651108,0.9085
bull_replace_symmetric_w075,incumbent,full_2017_2025,played_crps,1620,9,0.002072486407000929,-0.0031655311515045898,0.006641351600344279,0.221
bull_replace_symmetric_w075,incumbent,full_2017_2025,plus3_brier_row,1620,9,-0.0005439468044606937,-0.0009818242137388117,-0.00015893008032054473,0.998
bull_replace_symmetric_w075,incumbent,full_2017_2025,plus5_brier_row,1620,9,0.00019854637846448327,4.491005246238082e-05,0.0003521705217385274,0.0025
bull_replace_symmetric_w075,incumbent,full_2017_2025,impact_brier_row,1620,9,-0.00010889339285804917,-0.0009540754713919521,0.0006021938839540239,0.593
bull_replace_symmetric_w075,incumbent,full_2017_2025,zero_brier_row,1620,9,0.00014583215584422618,-0.00011025931352428656,0.0004122220506282344,0.1375
bull_replace_symmetric_w075,incumbent,full_2017_2025,extended_absence_brier_row,1620,9,0.00023620623876915054,-0.0002187085411472392,0.0006067931570479275,0.162
bull_replace_symmetric_w075,incumbent,recent_2020_2025,ppg_crps,1080,6,-0.0013942181042905792,-0.0035887824716560185,0.0006513236480559903,0.9055
bull_replace_symmetric_w075,incumbent,recent_2020_2025,contribution_crps,1080,6,-0.03462680455233354,-0.06917943978975535,0.002752735140666235,0.9665
bull_replace_symmetric_w075,incumbent,recent_2020_2025,played_crps,1080,6,0.0012781316916050498,-0.004881772063927168,0.005546649161836853,0.2805
bull_replace_symmetric_w075,incumbent,recent_2020_2025,plus3_brier_row,1080,6,-0.0007542538432939778,-0.0013086381948093496,-0.0003063193662769779,1.0
bull_replace_symmetric_w075,incumbent,recent_2020_2025,plus5_brier_row,1080,6,0.00032446587583606824,0.00019360512942952855,0.00046311731985356814,0.0
bull_replace_symmetric_w075,incumbent,recent_2020_2025,impact_brier_row,1080,6,-0.00016821314396302158,-0.0014015279053244914,0.0008855661479948287,0.6015
bull_replace_symmetric_w075,incumbent,recent_2020_2025,zero_brier_row,1080,6,0.0001968294302017333,-0.00013869028943139976,0.000569661066308071,0.1275
bull_replace_symmetric_w075,incumbent,recent_2020_2025,extended_absence_brier_row,1080,6,0.00034584995992201553,-0.00027961976352727466,0.000829734915016914,0.1265
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,ppg_crps,540,3,0.0003105016667797331,-0.0009737736609820876,0.002154711859070197,0.2865
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,contribution_crps,540,3,-0.013311755489252963,-0.06018124733261881,0.04762010629179706,0.7435
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,played_crps,540,3,0.0037407103437604194,-0.00036927317216450383,0.005920007800548755,0.045
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,plus3_brier_row,540,3,-0.000733252912253026,-0.0010865983796886417,-0.00012985650325938178,1.0
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,plus5_brier_row,540,3,0.0002827453111246738,4.852699825529643e-05,0.00043526429769991885,0.0
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,impact_brier_row,540,3,0.000920285769161776,0.00010907647024873224,0.0017802874379455565,0.0
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,zero_brier_row,540,3,0.0005640409824804322,0.00018927194190623101,0.0009437373877487982,0.0
bull_replace_symmetric_w075,incumbent,temporal_2023_2025,extended_absence_brier_row,540,3,0.0006649501126995326,7.453201666076077e-05,0.001033266539294554,0.0
