period,method,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons
full_2017_2025,asymmetric_add_w025,1620.0,1.912853113151604,2.6907231020629454,-0.07218291835789763,0.8240740740740741,0.5099841603857267,0.02591658328951385,20.619764968231067,29.61457742997294,-0.49062540183084324,0.8203703703703704,0.5041241101330652,0.016610392381452344,0.18888888888888888,0.1859934010695087,0.15292829625104956,0.554737318570249,0.07469135802469136,0.08280327494193424,0.06915270697255883,0.5948704094740846,0.11419753086419752,0.12124691525448528,0.09770432305736164,0.6809228740936057,0.03209876543209877,0.03414453906712363,0.029500059692273893,0.7217793367346939,0.5483995549627194,-0.02361444503138658,-0.22496009555876484,58.70105450162364,0.050000000000000024,1.5162240121529995,2.2934684141953063,0.1109625246365025,0.9117283950617284,0.12777777777777777,0.12260965248510786,0.10809290036084283,0.6016629571508183,4.379052169478724,0.4829943614476044,0.06934252640683017
full_2017_2025,bull_add_w050,1620.0,1.9130817687467383,2.6907902962013113,-0.07226978528971038,0.8222222222222222,0.5098839687148198,0.028951788945480228,20.622610368158973,29.61674155502374,-0.5103883061185247,0.8191358024691358,0.5042398564894087,0.017288132956137625,0.18888888888888888,0.18626665830872444,0.15281663895984446,0.5582639448473453,0.07469135802469136,0.08253354489393282,0.06934610275677816,0.5874963474272105,0.11419753086419752,0.12127886293705606,0.09749553438733337,0.6844373293153782,0.03209876543209877,0.03446750769295311,0.029546171907712682,0.7214297978806907,0.5507792664444303,-0.019816741675727292,-0.22407754320580625,58.37102714154654,0.050000000000000024,1.5181739100410063,2.2974727765583647,0.10367174973635367,0.9117283950617284,0.12777777777777777,0.12319896650771281,0.10833213549458907,0.5977961715061318,4.364302826132329,0.48457636996923026,0.06831177292100597
full_2017_2025,bull_replace_symmetric_w075,1620.0,1.9130244379757237,2.6907452513378685,-0.07236609086125072,0.8191358024691358,0.5101376841324726,0.027598214177721125,20.62214139604831,29.620875514351397,-0.5167980869853607,0.8203703703703704,0.5045913028659316,0.018395963272986454,0.18888888888888888,0.1860752139082623,0.15273585170593262,0.5610394842868655,0.07469135802469136,0.0823604608644982,0.06943827832896922,0.5817101207967846,0.11419753086419752,0.12138634544368869,0.09753164891683103,0.6829418966004331,0.03209876543209877,0.03479169196363075,0.029590632057340967,0.7213071526687598,0.5500337851710959,-0.02165958194054531,-0.2263426830439546,58.15017226448016,0.050000000000000024,1.5194577734354295,2.2975009073789305,0.09967157341747794,0.9111111111111111,0.12777777777777777,0.12340692251756928,0.108327965418186,0.5968696472711981,4.3931042989068185,0.4817669781202944,0.07056948627237543
full_2017_2025,incumbent,1620.0,1.9147723931294351,2.69075278003105,-0.07249764061800623,0.8265432098765432,0.5104951748256824,0.025342786804045003,20.642556290911973,29.65578452355906,-0.28156067224235337,0.825925925925926,0.5047659283937693,0.02064821528860883,0.18888888888888888,0.18586116277324793,0.15327979851039333,0.5455054167785836,0.07469135802469136,0.08325160054056491,0.06923973195050474,0.5927119457048501,0.11419753086419752,0.12240511366398416,0.09764054230968906,0.6812392880685564,0.03209876543209877,0.03445024526888646,0.029444799901496736,0.7213500784929356,0.5510975781840854,-0.021441508731741655,-0.19349559247658313,59.29869624411506,0.050000000000000024,1.5173852870284283,2.2862433630384067,0.14087556372702498,0.9080246913580247,0.12777777777777777,0.12199817577348541,0.10809175917941684,0.6000287188323743,5.019394600975753,0.41361171973482325,0.11499788234276682
recent_2020_2025,asymmetric_add_w025,1080.0,1.9147304990907494,2.699559405340882,-0.005427265023682668,0.8240740740740741,0.5057047164395401,0.019322406830622335,20.53519723618818,29.71044668610667,0.4683271539856099,0.8175925925925925,0.49671399843993747,0.021797492079002723,0.18518518518518517,0.18712735926616036,0.15020866137996458,0.5681477272727272,0.06759259259259259,0.07922641263951528,0.06352592109048064,0.5975160180109099,0.1111111111111111,0.12136409977350669,0.0961310809051633,0.6731944444444444,0.03333333333333333,0.0347193802001914,0.029962708307745535,0.756651766709238,0.5535777083763573,-0.025444494836958306,-0.35892138707214677,59.84191721772417,0.050000000000000024,1.5344976344431902,2.3004326252660228,0.1604445444930084,0.9083333333333333,0.13333333333333333,0.12336863537606614,0.10992934652245294,0.6239909781576448,4.8076383936833285,0.4148851883578649,0.09014631138523731
recent_2020_2025,bull_add_w050,1080.0,1.9143371813577106,2.6996544562577776,-0.005538019342691156,0.8203703703703704,0.5058989536056268,0.024828025239921142,20.53337486792618,29.710445152488763,0.4403719637479744,0.8166666666666667,0.4971488550280894,0.022517642355063927,0.18518518518518517,0.18761845969865082,0.14998937696282738,0.5741420454545455,0.06759259259259259,0.07892693219896885,0.06375137689750963,0.5870549985716423,0.1111111111111111,0.12162504517194538,0.09574753059789934,0.6805729166666666,0.03333333333333333,0.035016158409370834,0.02992082741625906,0.7612547892720306,0.5552895477936215,-0.02566363082730123,-0.3561210011284631,59.48713743579988,0.050000000000000024,1.5363415143216053,2.303220153021762,0.15341944388165962,0.9083333333333333,0.13333333333333333,0.12381951272624668,0.11014600184072229,0.6215945512820513,4.788380031159977,0.4166950019611555,0.08867876040687026
recent_2020_2025,bull_replace_symmetric_w075,1080.0,1.9140195442854204,2.6995513353162877,-0.00568202367168048,0.8148148148148148,0.5059581465350206,0.02237754074322021,20.527701982045865,29.713470230492586,0.4355019400531976,0.8166666666666667,0.4974896402780231,0.020251456789590616,0.18518518518518517,0.18762623137929627,0.14994483031413158,0.574965909090909,0.06759259259259259,0.07897670939068709,0.06394122034509338,0.5756349389887228,0.1111111111111111,0.12177360226292037,0.09566278613199108,0.68078125,0.03333333333333333,0.0354326308796092,0.02998311507552004,0.761095146871009,0.55349658346726,-0.02986075567242046,-0.3625643465302,59.20360652489633,0.050000000000000024,1.538776012798754,2.3044645044930787,0.14787225696647102,0.9083333333333333,0.13333333333333333,0.12434038136115445,0.1102522180736341,0.617914589268756,4.81236407978246,0.41577621041056223,0.09153916850125719
recent_2020_2025,incumbent,1080.0,1.9154137623897107,2.6996913494279027,-0.005612590403055881,0.8222222222222222,0.5061094677969341,0.020924485593511316,20.5623287865982,29.76555757112207,0.6795098751952705,0.8231481481481482,0.4972018652411967,0.020899146007637315,0.18518518518518517,0.18742714404057442,0.15069908415742556,0.5554659090909091,0.06759259259259259,0.07955082072014574,0.0636167544692573,0.5930881092625594,0.1111111111111111,0.12284945317961107,0.0958309992759541,0.6784114583333334,0.03333333333333333,0.0351877936283218,0.029786285645318298,0.7536451681566624,0.5529718864932552,-0.03162776107394544,-0.30342877705065974,60.22096087520508,0.05000000000000002,1.537497881107149,2.2979789964465103,0.18862680794255318,0.9037037037037037,0.13333333333333333,0.12303420440201136,0.10990636811371209,0.6229671177587844,5.533507389447381,0.3563921424400594,0.15349291156044878
temporal_2023_2025,asymmetric_add_w025,540.0,1.9947015986999017,2.83326349878774,0.09522770568086347,0.7925925925925926,0.4935335562384499,0.04351646195799269,20.975972972453366,30.63469504221768,0.07279835339431599,0.7981481481481482,0.49385370934178924,0.03833151764257264,0.2,0.1837641743571584,0.161888424387332,0.5406592935528121,0.07407407407407407,0.07598842324896654,0.06907228088130245,0.6018,0.1111111111111111,0.1177636464574961,0.09945037249760096,0.6152777777777778,0.03888888888888889,0.03687459958858278,0.035201511786995376,0.7124506835489495,0.5319758577608731,-0.016655063974842163,-0.5139514604038503,60.89844813383949,0.050000000000000024,1.517956937913887,2.338656133641973,-0.017123508183433243,0.9074074074074074,0.1259259259259259,0.12287873442223679,0.10588258112130697,0.5913509471585244,5.305292388781667,0.3722822127315473,0.11564029423641806
temporal_2023_2025,bull_add_w050,540.0,1.9954812596177447,2.8333819319325526,0.09499708213815741,0.7888888888888889,0.4945228717426386,0.035778102064785766,20.98701373663778,30.638233722754645,0.03741693324183083,0.7981481481481482,0.4935303297093242,0.03927970228906802,0.2,0.18450711651931986,0.16179749707592816,0.5411736968449932,0.07407407407407407,0.0754968390807974,0.06922213470988214,0.59225,0.1111111111111111,0.11831862225478854,0.09932838114999248,0.6157638888888889,0.03888888888888889,0.036845196823609296,0.03511690576399345,0.7164877511698321,0.535788857204228,-0.014884062626338837,-0.505462255356345,60.582144735622045,0.05000000000000002,1.5228372737371008,2.3455418244878143,-0.020583887589370603,0.9055555555555556,0.1259259259259259,0.12305605431266921,0.10623134257026322,0.5872694416749751,5.291543429031274,0.3724923585366112,0.11395292673838768
