PID,Player,Pos,Team,FF Pts,ADP,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,BYE,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Health,C
allenj3,Josh Allen,QB,BUF,344.962,25,322.410,498.653,3812.635,28.690,9.595,106.962,532.181,8.176,0.000,0.000,0.000,7,183.225,34.645,0.000,2.694,0.000,0.000,A,-
jacksl1,Lamar Jackson,QB,BAL,344.315,24,276.177,406.673,3608.616,27.720,5.896,115.700,839.838,3.658,0.000,0.000,0.000,7,169.322,54.673,0.000,2.525,0.000,0.000,A,+
hurtsj1,Jalen Hurts,QB,PHI,335.589,37,305.151,456.252,3454.876,23.460,10.856,130.479,591.057,11.950,0.000,0.000,0.000,9,167.869,38.478,0.000,2.770,0.000,0.000,A,+
daniej1,Jayden Daniels,QB,WAS,329.395,31,330.650,483.335,3547.612,27.232,9.844,127.944,805.845,4.026,0.000,0.000,0.000,12,174.823,52.461,0.000,3.245,0.000,0.000,A,+
burroj1,Joe Burrow,QB,CIN,304.897,42,407.739,576.030,4173.948,32.844,9.568,40.876,191.376,2.046,0.000,0.000,0.000,10,208.334,12.459,0.000,2.857,0.000,0.000,B,-
mayfib1,Baker Mayfield,QB,TB,304.337,72,344.677,499.956,3923.524,33.580,12.788,53.699,325.796,1.925,0.000,0.000,0.000,9,190.377,21.209,0.000,2.739,0.000,0.000,A,+
mahomp1,Patrick Mahomes,QB,KC,282.734,58,381.296,565.833,3912.944,29.164,12.604,56.635,301.245,1.700,0.000,0.000,0.000,10,195.173,19.611,0.000,2.778,0.000,0.000,A,-
fieldj1,Justin Fields,QB,NYJ,281.781,100,251.479,402.095,2834.336,18.400,8.556,171.441,850.632,5.705,0.000,0.000,0.000,9,137.879,55.376,0.000,3.687,0.000,0.000,C,-
nixb1,Bo Nix,QB,DEN,280.391,77,338.069,501.965,3392.960,28.336,13.248,86.254,393.846,3.996,0.000,0.000,0.000,12,170.289,25.639,0.000,2.768,0.000,0.000,A,+
murrak1,Kyler Murray,QB,ARI,276.044,87,336.193,489.002,3529.304,20.148,10.856,73.859,530.577,4.769,0.000,0.000,0.000,8,174.946,34.541,0.000,2.840,0.000,0.000,A,+
lovej1,Jordan Love,QB,GB,270.127,121,302.786,480.582,3542.092,29.072,10.672,52.426,192.552,3.137,0.000,0.000,0.000,5,170.683,12.535,0.000,2.289,0.000,0.000,A,+
purdyb1,Brock Purdy,QB,SF,268.778,95,298.230,440.386,4075.016,24.288,12.584,45.287,241.427,2.416,0.000,0.000,0.000,14,189.278,15.717,0.000,2.423,0.000,0.000,A,+
goffj1,Jared Goff,QB,DET,267.394,101,369.611,528.260,4267.488,30.240,12.000,14.921,43.404,0.000,0.000,0.000,0.000,8,206.319,2.826,0.000,2.303,0.000,0.000,A,-
herbej1,Justin Herbert,QB,LAC,263.051,111,312.229,468.467,3544.208,24.748,5.520,61.304,288.150,1.650,0.000,0.000,0.000,12,172.095,18.759,0.000,2.692,0.000,0.000,A,-
prescd1,Dak Prescott,QB,DAL,262.349,97,359.674,535.917,3912.852,27.416,10.764,26.566,113.028,1.980,0.000,0.000,0.000,10,192.112,7.358,0.000,2.742,0.000,0.000,B,-
willic6,Caleb Williams,QB,CHI,262.065,112,313.070,505.540,3579.996,19.780,10.488,81.592,490.074,3.145,0.000,0.000,0.000,5,173.506,31.904,0.000,3.578,0.000,0.000,A,+
mayed1,Drake Maye,QB,NE,258.153,116,351.308,528.417,3505.292,23.460,16.468,61.315,474.683,2.684,0.000,0.000,0.000,14,176.216,30.902,0.000,3.267,0.000,0.000,C,+
strouc1,C.J. Stroud,QB,HOU,255.276,120,337.948,526.170,3899.328,23.460,10.120,44.492,212.278,1.764,0.000,0.000,0.000,6,188.552,13.819,0.000,3.054,0.000,0.000,A,-
mccarj2,J.J. McCarthy,QB,MIN,254.199,123,326.287,535.520,3929.136,27.232,15.916,78.418,216.638,0.917,0.000,0.000,0.000,6,187.979,14.103,0.000,3.614,0.000,0.000,C,-
lawret1,Trevor Lawrence,QB,JAX,251.331,137,333.793,530.613,3647.064,20.700,13.616,46.258,207.102,5.796,0.000,0.000,0.000,8,178.857,13.482,0.000,2.803,0.000,0.000,B,-
smithg1,Geno Smith,QB,LV,248.301,161,357.203,522.145,3797.576,21.804,12.328,53.915,311.160,1.376,0.000,0.000,0.000,8,187.601,20.257,0.000,2.767,0.000,0.000,A,+
tagovt1,Tua Tagovailoa,QB,MIA,238.326,153,377.499,520.497,4124.360,23.644,12.328,21.069,62.990,0.396,0.000,0.000,0.000,12,202.268,4.101,0.000,2.621,0.000,0.000,B,-
darnos1,Sam Darnold,QB,SEA,228.817,178,310.440,498.003,3575.488,21.436,12.788,59.813,199.563,1.911,0.000,0.000,0.000,8,172.971,12.992,0.000,2.896,0.000,0.000,A,+
youngb1,Bryce Young,QB,CAR,228.060,156,309.754,517.355,3003.524,20.424,11.592,50.681,284.548,4.550,0.000,0.000,0.000,14,152.226,18.524,0.000,3.174,0.000,0.000,A,-
penixm1,Michael Penix Jr.,QB,ATL,226.131,155,292.216,508.736,3750.840,19.596,15.456,47.946,142.155,3.267,0.000,0.000,0.000,5,176.725,9.254,0.000,2.596,0.000,0.000,C,-
staffm1,Matthew Stafford,QB,LAR,220.277,159,339.309,528.546,3615.821,24.288,10.212,12.151,36.260,0.000,0.000,0.000,0.000,8,178.509,2.361,0.000,2.355,0.000,0.000,A,-
wardc1,Cam Ward,QB,TEN,213.213,157,292.663,497.626,3365.360,19.780,14.352,49.726,234.075,1.884,0.000,0.000,0.000,10,162.872,15.238,0.000,3.264,0.000,0.000,C,-
rodgea1,Aaron Rodgers,QB,PIT,205.302,183,293.785,467.754,3155.968,22.448,9.660,23.477,116.490,0.298,0.000,0.000,0.000,5,155.472,7.583,0.000,2.423,0.000,0.000,C,+
jonesd4,Daniel Jones,QB,IND,192.076,224,288.132,421.350,2416.344,15.048,11.248,97.251,398.160,3.978,0.000,0.000,0.000,11,127.972,25.920,0.000,2.979,0.000,0.000,C,+
shougt1,Tyler Shough,QB,NO,184.373,261,274.393,479.582,3170.228,18.124,14.076,31.152,156.744,0.540,0.000,0.000,0.000,11,153.244,10.204,0.000,2.847,0.000,0.000,C,-
wilsor1,Russell Wilson,QB,NYG,137.255,215,198.415,283.767,2201.302,11.024,5.671,28.354,105.894,1.596,0.000,0.000,0.000,14,107.523,6.894,0.000,1.858,0.000,0.000,B,+
dartj1,Jaxson Dart,QB,NYG,111.431,211,153.943,257.077,1619.826,8.112,4.173,37.263,185.315,1.264,0.000,0.000,0.000,14,80.243,12.064,0.000,1.790,0.000,0.000,C,-
richaa2,Anthony Richardson,QB,IND,93.887,205,60.568,117.550,763.056,4.752,3.552,47.352,284.400,4.193,0.000,0.000,0.000,11,36.111,18.514,0.000,1.069,0.000,0.000,C,-
flaccj1,Joe Flacco,QB,CLE,80.132,233,150.322,216.047,1596.704,8.651,8.077,0.000,0.000,0.000,0.000,0.000,0.000,9,78.897,0.000,0.000,1.093,0.000,0.000,C,-
gabrid1,Dillon Gabriel,QB,CLE,54.536,,81.522,140.315,876.240,4.748,4.433,16.370,78.332,0.540,0.000,0.000,0.000,9,43.159,5.099,0.000,0.856,0.000,0.000,C,-
sandes2,Shedeur Sanders,QB,CLE,52.801,231,83.333,143.433,895.712,4.853,4.531,12.277,58.749,0.405,0.000,0.000,0.000,9,44.118,3.825,0.000,0.841,0.000,0.000,C,-
pickek1,Kenny Pickett,QB,CLE,35.624,,46.224,72.906,525.744,2.849,2.660,22.918,68.541,0.473,0.000,0.000,0.000,9,25.515,4.462,0.000,0.587,0.000,0.000,C,-
