PID,Player,Pos,Team,FF Pts,ADP,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,BYE,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Health,C
allenj3,Josh Allen,QB,BUF,342.478,28,311.304,458.512,3670.248,24.564,8.740,96.606,505.460,10.148,0.000,0.000,0.000,7,176.514,32.905,0.000,2.641,0.000,0.000,A,+
jacksl1,Lamar Jackson,QB,BAL,318.693,49,263.735,411.768,3422.676,27.232,6.624,124.629,707.800,2.387,0.000,0.000,0.000,13,160.851,46.078,0.000,2.810,0.000,0.000,B,-
mayed1,Drake Maye,QB,NE,297.140,58,324.099,451.465,3752.956,25.576,11.040,98.356,422.845,3.201,0.000,0.000,0.000,11,181.309,27.527,0.000,2.866,0.000,0.000,A,+
daniej1,Jayden Daniels,QB,WAS,295.111,64,307.246,461.707,3389.004,22.448,9.016,125.432,646.164,3.510,0.000,0.000,0.000,7,165.788,42.065,0.000,3.451,0.000,0.000,B,-
hurtsj1,Jalen Hurts,QB,PHI,294.740,68,290.826,439.099,3079.792,21.804,6.348,115.579,456.700,8.492,0.000,0.000,0.000,10,152.303,29.731,0.000,2.971,0.000,0.000,A,-
burroj1,Joe Burrow,QB,CIN,293.886,61,402.545,572.803,4121.730,31.680,9.450,43.546,135.354,0.686,0.000,0.000,0.000,6,205.714,8.812,0.000,2.952,0.000,0.000,B,-
willic6,Caleb Williams,QB,CHI,286.901,73,318.261,536.733,3756.268,25.300,6.992,72.472,336.357,2.509,0.000,0.000,0.000,10,180.603,21.897,0.000,3.124,0.000,0.000,A,+
herbej1,Justin Herbert,QB,LAC,286.694,83,325.440,486.776,3884.884,24.196,8.832,68.915,382.280,1.917,0.000,0.000,0.000,7,186.262,24.886,0.000,3.191,0.000,0.000,A,-
lawret1,Trevor Lawrence,QB,JAX,286.078,86,301.758,509.632,3552.948,23.828,12.604,73.923,340.412,5.510,0.000,0.000,0.000,7,170.930,22.161,0.000,2.925,0.000,0.000,A,-
prescd1,Dak Prescott,QB,DAL,285.763,79,371.051,547.501,4137.056,28.520,11.960,42.754,156.008,1.310,0.000,0.000,0.000,14,201.814,10.156,0.000,2.650,0.000,0.000,A,+
purdyb1,Brock Purdy,QB,SF,282.305,100,328.197,487.806,4012.184,24.992,15.400,56.064,240.354,3.097,0.000,0.000,0.000,8,191.247,15.647,0.000,2.684,0.000,0.000,B,-
dartj1,Jaxson Dart,QB,NYG,281.704,91,282.099,440.048,2885.488,18.860,7.176,96.916,544.104,8.295,0.000,0.000,0.000,8,144.055,35.421,0.000,3.080,0.000,0.000,A,+
mahomp1,Patrick Mahomes,QB,KC,279.606,104,350.241,536.397,3747.804,23.460,11.592,71.326,379.004,2.607,0.000,0.000,0.000,5,184.820,24.673,0.000,3.048,0.000,0.000,A,-
nixb1,Bo Nix,QB,DEN,276.756,109,352.841,538.016,3462.696,24.104,11.592,75.866,323.024,4.437,0.000,0.000,0.000,10,174.895,21.029,0.000,2.750,0.000,0.000,A,-
staffm1,Matthew Stafford,QB,LAR,271.065,99,345.925,520.163,4105.868,29.900,8.188,0.000,0.000,0.000,0.000,0.000,0.000,11,197.136,0.000,0.000,2.291,0.000,0.000,A,+
goffj1,Jared Goff,QB,DET,270.004,115,423.200,603.800,4388.400,26.864,11.700,12.697,38.814,0.000,0.000,0.000,0.000,6,218.262,2.527,0.000,2.585,0.000,0.000,A,+
lovej1,Jordan Love,QB,GB,264.597,130,305.050,466.643,3734.740,25.208,9.568,50.877,221.441,1.113,0.000,0.000,0.000,11,177.958,14.416,0.000,2.439,0.000,0.000,A,-
mayfib1,Baker Mayfield,QB,TB,264.350,126,335.136,498.411,3617.992,24.196,12.788,51.434,357.030,0.931,0.000,0.000,0.000,10,177.998,23.243,0.000,2.827,0.000,0.000,A,+
shougt1,Tyler Shough,QB,NO,257.130,132,315.075,466.117,3452.208,18.676,9.292,84.440,315.612,4.691,0.000,0.000,0.000,8,169.176,20.546,0.000,3.039,0.000,0.000,C,-
murrak1,Kyler Murray,QB,MIN,256.406,123,323.225,461.116,3359.590,18.576,9.030,70.155,408.463,3.680,0.000,0.000,0.000,6,166.985,26.591,0.000,3.089,0.000,0.000,B,-
willim10,Malik Willis,QB,MIA,252.846,138,285.970,410.887,3022.936,17.112,8.924,101.530,437.966,5.695,0.000,0.000,0.000,6,149.564,28.512,0.000,2.781,0.000,0.000,C,-
strouc1,C.J. Stroud,QB,HOU,252.643,154,335.391,519.920,3764.916,22.724,11.868,57.395,229.263,0.988,0.000,0.000,0.000,8,183.338,14.925,0.000,2.918,0.000,0.000,A,-
darnos1,Sam Darnold,QB,SEA,245.378,160,289.556,428.551,3710.360,25.116,12.052,26.316,85.676,0.708,0.000,0.000,0.000,11,174.887,5.578,0.000,2.132,0.000,0.000,A,-
jonesd4,Daniel Jones,QB,IND,239.959,148,315.215,468.326,3636.116,19.044,10.304,37.113,139.360,3.267,0.000,0.000,0.000,13,175.835,9.072,0.000,2.448,0.000,0.000,C,-
youngb1,Bryce Young,QB,CAR,238.425,173,305.238,488.396,3140.880,23.460,12.236,47.945,214.973,2.537,0.000,0.000,0.000,5,156.546,13.995,0.000,2.767,0.000,0.000,A,+
rodgea1,Aaron Rodgers,QB,PIT,236.939,212,341.699,537.501,3635.748,24.564,9.936,15.840,47.995,0.626,0.000,0.000,0.000,9,179.567,3.124,0.000,2.683,0.000,0.000,A,-
wardc1,Cam Ward,QB,TEN,233.971,158,308.854,521.918,3400.688,19.780,6.624,42.462,174.429,2.460,0.000,0.000,0.000,9,166.437,11.355,0.000,3.378,0.000,0.000,A,-
brissj1,Jacoby Brissett,QB,ARI,230.873,213,307.399,478.722,3227.752,20.856,7.656,46.153,241.650,1.248,0.000,0.000,0.000,14,159.988,15.731,0.000,2.829,0.000,0.000,A,-
smithg1,Geno Smith,QB,NYJ,221.583,220,372.968,530.487,3643.476,19.320,17.388,53.414,161.679,1.054,0.000,0.000,0.000,13,184.267,10.525,0.000,3.270,0.000,0.000,A,+
mendof1,Fernando Mendoza,QB,LV,211.906,181,269.283,458.592,3083.528,16.400,12.382,52.801,251.944,2.660,0.000,0.000,0.000,13,149.392,16.402,0.000,2.904,0.000,0.000,C,-
sandes2,Shedeur Sanders,QB,CLE,166.161,227,191.634,338.103,2344.370,12.950,17.220,36.490,291.028,2.232,0.000,0.000,0.000,11,111.729,18.946,0.000,2.344,0.000,0.000,C,-
penixm1,Michael Penix Jr.,QB,ATL,151.365,281,197.859,349.000,2549.700,11.460,6.120,20.615,67.050,1.110,0.000,0.000,0.000,11,120.021,4.365,0.000,1.854,0.000,0.000,C,+
tagovt1,Tua Tagovailoa,QB,ATL,93.886,225,153.941,241.200,1699.800,7.640,4.080,6.544,19.157,0.000,0.000,0.000,0.000,11,83.130,1.247,0.000,1.251,0.000,0.000,A,-
watsod1,Deshaun Watson,QB,CLE,47.979,241,58.071,106.322,669.820,3.700,4.920,28.250,84.492,0.792,0.000,0.000,0.000,11,32.392,5.500,0.000,0.948,0.000,0.000,C,-
mccarj2,J.J. McCarthy,QB,MIN,39.337,287,39.475,66.784,546.910,3.024,1.470,12.520,59.775,0.320,0.000,0.000,0.000,6,25.325,3.891,0.000,0.531,0.000,0.000,C,-
cousik1,Kirk Cousins,QB,LV,37.594,194,62.717,94.408,676.872,3.600,2.718,0.000,0.000,0.000,0.000,0.000,0.000,13,33.303,0.000,0.000,0.581,0.000,0.000,B,-
jonesm5,Mac Jones,QB,SF,32.643,,46.003,68.194,547.116,3.408,2.100,0.000,0.000,0.000,0.000,0.000,0.000,8,26.256,0.000,0.000,0.387,0.000,0.000,C,-
flaccj1,Joe Flacco,QB,CIN,30.531,,47.355,74.597,457.970,3.520,1.050,0.000,0.000,0.000,0.000,0.000,0.000,6,23.229,0.000,0.000,0.409,0.000,0.000,C,-
lancet1,Trey Lance,QB,LAC,28.732,,37.060,61.624,337.816,2.104,0.768,13.058,60.360,0.426,0.000,0.000,0.000,7,17.435,3.929,0.000,0.510,0.000,0.000,C,-
fieldj1,Justin Fields,QB,KC,27.744,,35.259,54.003,325.896,2.040,1.008,12.759,55.464,0.474,0.000,0.000,0.000,5,16.750,3.611,0.000,0.417,0.000,0.000,C,-
mariom1,Marcus Mariota,QB,WAS,27.151,,24.254,36.093,294.696,1.952,0.784,11.246,71.796,0.312,0.000,0.000,0.000,7,14.068,4.674,0.000,0.356,0.000,0.000,C,+
richaa2,Anthony Richardson,QB,IND,24.609,,36.185,65.774,316.184,1.656,0.896,13.872,42.880,0.484,0.000,0.000,0.000,13,16.531,2.791,0.000,0.479,0.000,0.000,C,-
bagent1,Tyson Bagent,QB,CHI,24.165,,22.039,27.567,326.632,2.200,0.608,10.655,34.796,0.000,0.000,0.000,0.000,10,14.908,2.265,0.000,0.286,0.000,0.000,C,-
simpst1,Ty Simpson,QB,LAR,23.315,,33.175,59.437,357.032,2.600,0.712,0.000,0.000,0.000,0.000,0.000,0.000,11,17.580,0.000,0.000,0.327,0.000,0.000,C,-
howels1,Sam Howell,QB,DAL,22.626,,33.049,60.199,359.744,2.480,1.040,0.000,0.000,0.000,0.000,0.000,0.000,14,17.660,0.000,0.000,0.322,0.000,0.000,C,-
millsd1,Davis Mills,QB,HOU,21.962,,32.309,56.480,327.384,1.976,1.032,4.332,18.341,0.152,0.000,0.000,0.000,8,16.387,1.194,0.000,0.376,0.000,0.000,C,-
