PID,Player,Pos,Team,FF Pts,ADP,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,BYE,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Health,C
allenj3,Josh Allen,QB,BUF,342.478,28,311.304,458.512,3670.248,24.564,8.740,96.606,505.460,10.148,0.000,0.000,0.000,7,176.514,32.905,0.000,2.641,0.000,0.000,A,+
jacksl1,Lamar Jackson,QB,BAL,318.687,51,263.735,411.768,3422.676,27.232,6.624,124.930,707.800,2.387,0.000,0.000,0.000,13,160.851,46.078,0.000,2.813,0.000,0.000,B,-
mayed1,Drake Maye,QB,NE,297.104,59,324.099,451.465,3752.956,25.576,11.040,99.827,422.845,3.201,0.000,0.000,0.000,11,181.309,27.527,0.000,2.884,0.000,0.000,A,+
daniej1,Jayden Daniels,QB,WAS,295.015,65,307.246,461.707,3389.004,22.448,9.016,129.460,646.164,3.510,0.000,0.000,0.000,7,165.788,42.065,0.000,3.499,0.000,0.000,B,-
hurtsj1,Jalen Hurts,QB,PHI,294.740,68,290.826,439.099,3079.792,21.804,6.348,115.579,456.700,8.492,0.000,0.000,0.000,10,152.303,29.731,0.000,2.971,0.000,0.000,A,-
burroj1,Joe Burrow,QB,CIN,293.886,60,402.545,572.803,4121.730,31.680,9.450,43.546,135.354,0.686,0.000,0.000,0.000,6,205.714,8.812,0.000,2.952,0.000,0.000,B,-
herbej1,Justin Herbert,QB,LAC,286.641,84,325.440,486.776,3884.884,24.196,8.832,70.303,382.280,1.917,0.000,0.000,0.000,7,186.262,24.886,0.000,3.218,0.000,0.000,A,-
lawret1,Trevor Lawrence,QB,JAX,286.078,83,301.758,509.632,3552.948,23.828,12.604,73.923,340.412,5.510,0.000,0.000,0.000,7,170.930,22.161,0.000,2.925,0.000,0.000,A,-
prescd1,Dak Prescott,QB,DAL,285.763,79,371.051,547.501,4137.056,28.520,11.960,42.754,156.008,1.310,0.000,0.000,0.000,14,201.814,10.156,0.000,2.650,0.000,0.000,A,+
willic6,Caleb Williams,QB,CHI,284.088,72,318.261,536.733,3685.796,25.300,6.992,74.159,336.357,2.509,0.000,0.000,0.000,10,178.059,21.897,0.000,3.121,0.000,0.000,A,+
purdyb1,Brock Purdy,QB,SF,282.293,100,328.197,487.806,4012.184,24.992,15.400,56.387,240.354,3.097,0.000,0.000,0.000,8,191.247,15.647,0.000,2.690,0.000,0.000,B,-
dartj1,Jaxson Dart,QB,NYG,281.712,98,282.099,440.048,2885.488,18.860,7.176,96.916,544.104,8.295,0.000,0.000,0.000,8,144.055,35.421,0.000,3.076,0.000,0.000,A,+
mahomp1,Patrick Mahomes,QB,KC,279.730,106,350.241,536.397,3747.804,23.460,11.592,66.829,379.004,2.607,0.000,0.000,0.000,5,184.820,24.673,0.000,2.986,0.000,0.000,A,-
nixb1,Bo Nix,QB,DEN,276.756,108,352.841,538.016,3462.696,24.104,11.592,75.866,323.024,4.437,0.000,0.000,0.000,10,174.895,21.029,0.000,2.750,0.000,0.000,A,-
goffj1,Jared Goff,QB,DET,271.144,116,387.615,541.798,4388.400,26.864,10.764,12.697,38.814,0.000,0.000,0.000,0.000,6,213.230,2.527,0.000,2.483,0.000,0.000,A,+
staffm1,Matthew Stafford,QB,LAR,271.065,99,345.925,520.163,4105.868,29.900,8.188,0.000,0.000,0.000,0.000,0.000,0.000,11,197.136,0.000,0.000,2.291,0.000,0.000,A,+
lovej1,Jordan Love,QB,GB,264.597,132,305.050,466.643,3734.740,25.208,9.568,50.877,221.441,1.113,0.000,0.000,0.000,11,177.958,14.416,0.000,2.439,0.000,0.000,A,-
mayfib1,Baker Mayfield,QB,TB,264.352,128,335.136,498.411,3617.992,24.196,12.788,51.380,357.030,0.931,0.000,0.000,0.000,10,177.998,23.243,0.000,2.826,0.000,0.000,A,+
shougt1,Tyler Shough,QB,NO,257.130,133,315.075,466.117,3452.208,18.676,9.292,84.440,315.612,4.691,0.000,0.000,0.000,8,169.176,20.546,0.000,3.039,0.000,0.000,C,-
murrak1,Kyler Murray,QB,MIN,256.398,124,323.225,461.116,3359.590,18.576,9.030,70.357,408.463,3.680,0.000,0.000,0.000,6,166.985,26.591,0.000,3.093,0.000,0.000,B,-
willim10,Malik Willis,QB,MIA,252.840,140,285.970,410.887,3022.936,17.112,8.924,101.865,437.966,5.695,0.000,0.000,0.000,6,149.564,28.512,0.000,2.784,0.000,0.000,C,-
strouc1,C.J. Stroud,QB,HOU,252.643,152,335.391,519.920,3764.916,22.724,11.868,57.395,229.263,0.988,0.000,0.000,0.000,8,183.338,14.925,0.000,2.918,0.000,0.000,A,-
darnos1,Sam Darnold,QB,SEA,245.378,157,289.556,428.551,3710.360,25.116,12.052,26.316,85.676,0.708,0.000,0.000,0.000,11,174.887,5.578,0.000,2.132,0.000,0.000,A,-
